unit_id,time_to_first_spike
3000000,0.069
3000001,0.103
3000002,0.11
3000003,0.086
3000004,0.147
3000005,0.095
3000006,0.151
3000007,0.0795
3000008,0.125
3000009,0.079
3000010,0.108
3000011,0.139
3000012,0.1
3000013,0.102
3000014,0.131
3000015,0.178
3000016,0.069
3000017,0.082
3000018,0.09
3000019,0.067
3000020,0.087
3000021,0.0965
3000022,0.127
3000023,0.09
3000024,0.08
3000025,0.116
3000026,0.095
3000027,0.132
3000028,0.12
3000029,0.148
3000030,0.086
3000031,0.115
3000032,0.111
3000033,0.114
3000034,0.101
3000035,0.104
3000036,0.092
3000037,0.129
3000038,0.1315
3000039,0.105
3000040,0.114
3000041,0.107
3000042,0.103
3000043,0.096
3000044,0.0995
3000045,0.0795
3000046,0.112
3000047,0.072
3000048,
3000049,
3000050,0.1115
3000051,0.077
3000052,0.125
3000053,0.128
3000054,0.1085
3000055,0.155
3000056,0.097
3000057,0.089
3000058,0.108
3000059,
3000060,
3000061,0.123
3000062,0.12
3000063,0.11
3000064,0.148
3000065,0.097
3000066,0.089
3000067,0.094
3000068,
3000069,0.132
3000070,0.086
3000071,0.11
3000072,0.104
3000073,0.11
3000074,0.085
3000075,0.1075
3000076,0.051
3000077,0.118
3000078,0.109
3000079,0.13
3000080,0.147
3000081,0.116
3000082,0.078
3000083,0.0905
3000084,0.11
3000085,0.135
3000086,0.104
3000087,0.1175
3000088,0.099
3000089,0.117
3000090,0.116
3000091,0.105
3000092,0.107
3000093,0.111
3000094,
3000095,0.0775
3000096,0.0895
3000097,0.1135
3000098,0.121
3000099,0.1115
3000100,0.097
3000101,0.115
3000102,0.072
3000103,0.099
3000104,0.105
3000105,0.094
3000106,0.1
3000107,0.097
3000108,0.102
3000109,0.1045
3000110,0.0985
3000111,0.1205
3000112,0.121
3000113,0.124
3000114,0.11
3000115,0.065
3000116,0.105
3000117,0.1125
3000118,0.101
3000119,0.095
3000120,0.115
3000121,0.0705
3000122,0.106
3000123,0.1005
3000124,0.116
3000125,0.1
3000126,0.1115
3000127,0.1
3000128,0.079
3000129,0.129
3000130,0.098
3000131,0.111
3000132,0.0875
3000133,0.1005
3000134,0.097
3000135,0.0885
3000136,0.1
3000137,0.084
3000138,0.127
3000139,0.075
3000140,0.053
3000141,0.092
3000142,0.142
3000143,0.09
3000144,0.0905
3000145,0.102
3000146,0.111
3000147,0.094
3000148,0.0995
3000149,0.066
3000150,0.086
3000151,0.083
3000152,0.122
3000153,0.086
3000154,0.078
3000155,0.095
3000156,0.147
3000157,0.1085
3000158,0.102
3000159,0.147
3000160,0.1265
3000161,0.073
3000162,0.063
3000163,0.0855
3000164,0.0825
3000165,0.099
3000166,0.047
3000167,0.118
3000168,0.0995
