unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
3000000,-19.28,,V1_site3_A
3000001,2403.36,,V1_site3_A
3000002,2326.01,,V1_site3_A
3000003,45.52,,V1_site3_A
3000004,94.74,,V1_site3_A
3000005,2417.52,,V1_site3_A
3000006,126.84,,V1_site3_A
3000007,2412.69,,V1_site3_A
3000008,2670.16,,V1_site3_A
3000009,166.49,,V1_site3_A
3000010,599.97,,V1_site3_A
3000011,2417.83,,V1_site3_A
3000012,213.65,,V1_site3_A
3000013,205.82,,V1_site3_A
3000014,2417.24,,V1_site3_A
3000015,259.49,,V1_site3_A
3000016,248.26,,V1_site3_A
3000017,288.7,,V1_site3_A
3000018,2408.75,,V1_site3_A
3000019,2430.32,,V1_site3_A
3000020,2407.01,,V1_site3_A
3000021,2417.63,,V1_site3_A
3000022,369.32,,V1_site3_A
3000023,415.48,,V1_site3_A
3000024,2423.86,,V1_site3_A
3000025,2415.38,,V1_site3_A
3000026,814.18,,V1_site3_A
3000027,824.06,,V1_site3_A
3000028,504.2,,V1_site3_A
3000029,550.82,,V1_site3_A
3000030,524.89,,V1_site3_A
3000031,607.16,,V1_site3_A
3000032,580.41,,V1_site3_A
3000033,783.13,,V1_site3_A
3000034,585.3,,V1_site3_A
3000035,725.48,,V1_site3_A
3000036,624.51,,V1_site3_A
3000037,599.97,,V1_site3_A
3000038,639.02,,V1_site3_A
3000039,668.53,,V1_site3_A
3000040,2422.63,,V1_site3_A
3000041,709.1,,V1_site3_A
3000042,711.53,,V1_site3_A
3000043,709.91,,V1_site3_A
3000044,739.05,,V1_site3_A
3000045,744.53,,V1_site3_A
3000046,735.95,,V1_site3_A
3000047,739.41,,V1_site3_A
3000048,757.74,,V1_site3_A
3000049,757.9,,V1_site3_A
3000050,799.37,,V1_site3_A
3000051,754.66,,V1_site3_A
3000052,761.24,,V1_site3_A
3000053,751.01,,V1_site3_A
3000054,779.16,,V1_site3_A
3000055,761.41,,V1_site3_A
3000056,778.42,,V1_site3_A
3000057,773.75,,V1_site3_A
3000058,811.44,,V1_site3_A
3000059,763.75,,V1_site3_A
3000060,762.24,,V1_site3_A
3000061,820.89,,V1_site3_A
3000062,792.04,,V1_site3_A
3000063,786.03,,V1_site3_A
3000064,830.22,,V1_site3_A
3000065,832.08,,V1_site3_A
3000066,796.25,,V1_site3_A
3000067,796.36,,V1_site3_A
3000068,840.08,,V1_site3_A
3000069,862.43,,V1_site3_A
3000070,850.02,,V1_site3_A
3000071,876.99,,V1_site3_A
3000072,855.96,,V1_site3_A
3000073,851.51,,V1_site3_A
3000074,832.29,,V1_site3_A
3000075,893.71,,V1_site3_A
3000076,909.25,,V1_site3_A
3000077,894.97,,V1_site3_A
3000078,894.61,,V1_site3_A
3000079,895.0,,V1_site3_A
3000080,888.35,,V1_site3_A
3000081,905.32,,V1_site3_A
3000082,880.72,,V1_site3_A
3000083,892.54,,V1_site3_A
3000084,929.77,,V1_site3_A
3000085,941.69,,V1_site3_A
3000086,920.36,,V1_site3_A
3000087,934.97,,V1_site3_A
3000088,930.42,,V1_site3_A
3000089,940.94,,V1_site3_A
3000090,923.86,,V1_site3_A
3000091,939.75,,V1_site3_A
3000092,920.19,,V1_site3_A
3000093,956.27,,V1_site3_A
3000094,971.92,,V1_site3_A
3000095,964.26,,V1_site3_A
3000096,947.24,,V1_site3_A
3000097,973.65,,V1_site3_A
3000098,903.29,,V1_site3_A
3000099,966.84,,V1_site3_A
3000100,961.86,,V1_site3_A
3000101,982.75,,V1_site3_A
3000102,972.07,,V1_site3_A
3000103,958.01,,V1_site3_A
3000104,1015.7,,V1_site3_A
3000105,1010.47,,V1_site3_A
3000106,1004.39,,V1_site3_A
3000107,2417.94,,V1_site3_A
3000108,1051.9,,V1_site3_A
3000109,1092.98,,V1_site3_A
3000110,840.47,,V1_site3_A
3000111,1134.26,,V1_site3_A
3000112,832.78,,V1_site3_A
3000113,838.15,,V1_site3_A
3000114,1176.7,,V1_site3_A
3000115,1158.73,,V1_site3_A
3000116,1215.45,,V1_site3_A
3000117,2423.34,,V1_site3_A
3000118,2443.87,,V1_site3_A
3000119,1304.66,,V1_site3_A
3000120,1292.34,,V1_site3_A
3000121,1281.42,,V1_site3_A
3000122,1340.75,,V1_site3_A
3000123,1341.74,,V1_site3_A
3000124,1380.32,,V1_site3_A
3000125,1382.74,,V1_site3_A
3000126,1384.33,,V1_site3_A
3000127,1486.57,,V1_site3_A
3000128,1423.89,,V1_site3_A
3000129,1420.38,,V1_site3_A
3000130,1421.73,,V1_site3_A
3000131,1422.3,,V1_site3_A
3000132,1417.17,,V1_site3_A
3000133,1440.33,,V1_site3_A
3000134,1457.01,,V1_site3_A
3000135,1460.38,,V1_site3_A
3000136,1447.64,,V1_site3_A
3000137,1504.06,,V1_site3_A
3000138,1503.72,,V1_site3_A
3000139,1481.43,,V1_site3_A
3000140,1500.03,,V1_site3_A
3000141,1497.07,,V1_site3_A
3000142,1526.99,,V1_site3_A
3000143,1488.92,,V1_site3_A
3000144,1488.18,,V1_site3_A
3000145,1472.09,,V1_site3_A
3000146,1479.39,,V1_site3_A
3000147,1500.78,,V1_site3_A
3000148,1523.82,,V1_site3_A
3000149,1545.19,,V1_site3_A
3000150,1545.78,,V1_site3_A
3000151,1514.37,,V1_site3_A
3000152,1539.3,,V1_site3_A
3000153,1556.41,,V1_site3_A
3000154,1532.56,,V1_site3_A
3000155,1589.91,,V1_site3_A
3000156,1590.07,,V1_site3_A
3000157,1580.21,,V1_site3_A
3000158,1605.25,,V1_site3_A
3000159,1539.14,,V1_site3_A
3000160,1586.88,,V1_site3_A
3000161,1593.59,,V1_site3_A
3000162,1576.55,,V1_site3_A
3000163,1602.28,,V1_site3_A
3000164,1614.16,,V1_site3_A
3000165,1621.08,,V1_site3_A
3000166,1651.92,,V1_site3_A
3000167,1613.02,,V1_site3_A
3000168,1628.24,,V1_site3_A
3000169,1605.11,,V1_site3_A
3000170,1614.23,,V1_site3_A
3000171,1626.75,,V1_site3_A
3000172,1617.93,,V1_site3_A
3000173,1619.83,,V1_site3_A
3000174,1647.76,,V1_site3_A
3000175,1598.36,,V1_site3_A
3000176,1625.79,,V1_site3_A
3000177,1635.25,,V1_site3_A
3000178,1635.68,,V1_site3_A
3000179,1615.31,,V1_site3_A
3000180,1642.42,,V1_site3_A
3000181,1649.44,,V1_site3_A
3000182,1687.68,,V1_site3_A
3000183,1646.59,,V1_site3_A
3000184,1651.7,,V1_site3_A
3000185,1653.71,,V1_site3_A
3000186,1653.77,,V1_site3_A
3000187,1672.03,,V1_site3_A
3000188,1644.31,,V1_site3_A
3000189,1683.49,,V1_site3_A
3000190,1671.89,,V1_site3_A
3000191,1682.76,,V1_site3_A
3000192,1655.74,,V1_site3_A
3000193,1643.26,,V1_site3_A
3000194,1668.8,,V1_site3_A
3000195,1647.36,,V1_site3_A
3000196,1646.24,,V1_site3_A
3000197,1686.36,,V1_site3_A
3000198,1726.97,,V1_site3_A
3000199,1743.55,,V1_site3_A
3000200,1689.47,,V1_site3_A
3000201,1699.45,,V1_site3_A
3000202,1701.38,,V1_site3_A
3000203,1701.84,,V1_site3_A
3000204,1689.38,,V1_site3_A
3000205,1701.07,,V1_site3_A
3000206,1658.32,,V1_site3_A
3000207,1698.47,,V1_site3_A
3000208,1733.33,,V1_site3_A
3000209,1725.46,,V1_site3_A
3000210,1731.98,,V1_site3_A
3000211,1707.47,,V1_site3_A
3000212,1738.14,,V1_site3_A
3000213,1726.1,,V1_site3_A
