unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
5000000,16.92,,V1_site5_A
5000001,26.53,,V1_site5_A
5000002,-16.6,,V1_site5_A
5000003,20.39,,V1_site5_A
5000004,24.55,,V1_site5_A
5000005,-1.54,,V1_site5_A
5000006,28.9,,V1_site5_A
5000007,27.71,,V1_site5_A
5000008,8.74,,V1_site5_A
5000009,29.3,,V1_site5_A
5000010,17.92,,V1_site5_A
5000011,13.51,,V1_site5_A
5000012,4.66,,V1_site5_A
5000013,34.95,,V1_site5_A
5000014,67.05,,V1_site5_A
5000015,42.85,,V1_site5_A
5000016,48.08,,V1_site5_A
5000017,37.98,,V1_site5_A
5000018,53.3,,V1_site5_A
5000019,52.99,,V1_site5_A
5000020,52.09,,V1_site5_A
5000021,56.95,,V1_site5_A
5000022,48.9,,V1_site5_A
5000023,54.52,,V1_site5_A
5000024,65.71,,V1_site5_A
5000025,103.44,,V1_site5_A
5000026,99.09,,V1_site5_A
5000027,85.17,,V1_site5_A
5000028,99.88,,V1_site5_A
5000029,93.37,,V1_site5_A
5000030,70.28,,V1_site5_A
5000031,140.01,,V1_site5_A
5000032,151.02,,V1_site5_A
5000033,152.74,,V1_site5_A
5000034,147.93,,V1_site5_A
5000035,154.08,,V1_site5_A
5000036,150.5,,V1_site5_A
5000037,125.72,,V1_site5_A
5000038,134.53,,V1_site5_A
5000039,134.02,,V1_site5_A
5000040,122.47,,V1_site5_A
5000041,111.25,,V1_site5_A
5000042,132.75,,V1_site5_A
5000043,138.98,,V1_site5_A
5000044,172.65,,V1_site5_A
5000045,172.35,,V1_site5_A
5000046,192.53,,V1_site5_A
5000047,144.57,,V1_site5_A
5000048,148.8,,V1_site5_A
5000049,180.02,,V1_site5_A
5000050,172.23,,V1_site5_A
5000051,188.94,,V1_site5_A
5000052,159.33,,V1_site5_A
5000053,191.32,,V1_site5_A
5000054,259.38,,V1_site5_A
5000055,175.64,,V1_site5_A
5000056,187.48,,V1_site5_A
5000057,177.41,,V1_site5_A
5000058,150.61,,V1_site5_A
5000059,167.0,,V1_site5_A
5000060,196.44,,V1_site5_A
5000061,219.42,,V1_site5_A
5000062,197.76,,V1_site5_A
5000063,227.96,,V1_site5_A
5000064,214.72,,V1_site5_A
5000065,218.56,,V1_site5_A
5000066,227.76,,V1_site5_A
5000067,223.9,,V1_site5_A
5000068,197.2,,V1_site5_A
5000069,205.33,,V1_site5_A
5000070,199.1,,V1_site5_A
5000071,205.36,,V1_site5_A
5000072,222.65,,V1_site5_A
5000073,266.6,,V1_site5_A
5000074,230.27,,V1_site5_A
5000075,242.85,,V1_site5_A
5000076,246.95,,V1_site5_A
5000077,238.95,,V1_site5_A
5000078,244.99,,V1_site5_A
5000079,266.7,,V1_site5_A
5000080,264.24,,V1_site5_A
5000081,264.16,,V1_site5_A
5000082,260.04,,V1_site5_A
5000083,231.97,,V1_site5_A
5000084,249.23,,V1_site5_A
5000085,253.03,,V1_site5_A
5000086,282.44,,V1_site5_A
5000087,285.18,,V1_site5_A
5000088,296.43,,V1_site5_A
5000089,311.04,,V1_site5_A
5000090,294.52,,V1_site5_A
5000091,296.24,,V1_site5_A
5000092,279.67,,V1_site5_A
5000093,297.13,,V1_site5_A
5000094,289.25,,V1_site5_A
5000095,275.79,,V1_site5_A
5000096,295.05,,V1_site5_A
5000097,283.91,,V1_site5_A
5000098,289.78,,V1_site5_A
5000099,286.41,,V1_site5_A
5000100,337.94,,V1_site5_A
5000101,340.86,,V1_site5_A
5000102,538.48,,V1_site5_A
5000103,349.63,,V1_site5_A
5000104,344.31,,V1_site5_A
5000105,397.53,,V1_site5_A
5000106,387.2,,V1_site5_A
5000107,382.34,,V1_site5_A
5000108,383.76,,V1_site5_A
5000109,375.47,,V1_site5_A
5000110,349.83,,V1_site5_A
5000111,390.06,,V1_site5_A
5000112,375.6,,V1_site5_A
5000113,563.03,,V1_site5_A
5000114,417.78,,V1_site5_A
5000115,411.34,,V1_site5_A
5000116,429.73,,V1_site5_A
5000117,418.27,,V1_site5_A
5000118,401.48,,V1_site5_A
5000119,402.86,,V1_site5_A
5000120,429.74,,V1_site5_A
5000121,403.34,,V1_site5_A
5000122,410.34,,V1_site5_A
5000123,396.99,,V1_site5_A
5000124,421.49,,V1_site5_A
5000125,415.27,,V1_site5_A
5000126,433.09,,V1_site5_A
5000127,439.89,,V1_site5_A
5000128,438.87,,V1_site5_A
5000129,428.07,,V1_site5_A
5000130,457.06,,V1_site5_A
5000131,428.67,,V1_site5_A
5000132,438.86,,V1_site5_A
5000133,474.91,,V1_site5_A
5000134,468.02,,V1_site5_A
5000135,348.1,,V1_site5_A
5000136,440.15,,V1_site5_A
5000137,437.49,,V1_site5_A
5000138,433.32,,V1_site5_A
5000139,458.63,,V1_site5_A
5000140,466.3,,V1_site5_A
5000141,459.37,,V1_site5_A
5000142,422.64,,V1_site5_A
5000143,455.19,,V1_site5_A
5000144,459.39,,V1_site5_A
5000145,502.12,,V1_site5_A
5000146,481.44,,V1_site5_A
5000147,497.67,,V1_site5_A
5000148,474.49,,V1_site5_A
5000149,499.96,,V1_site5_A
5000150,499.19,,V1_site5_A
5000151,476.37,,V1_site5_A
5000152,489.33,,V1_site5_A
5000153,468.37,,V1_site5_A
5000154,508.21,,V1_site5_A
5000155,474.49,,V1_site5_A
5000156,495.35,,V1_site5_A
5000157,469.67,,V1_site5_A
5000158,488.29,,V1_site5_A
5000159,508.22,,V1_site5_A
5000160,502.08,,V1_site5_A
5000161,495.28,,V1_site5_A
5000162,496.48,,V1_site5_A
5000163,474.44,,V1_site5_A
5000164,538.99,,V1_site5_A
5000165,535.02,,V1_site5_A
5000166,532.46,,V1_site5_A
5000167,516.12,,V1_site5_A
5000168,538.03,,V1_site5_A
5000169,545.69,,V1_site5_A
5000170,560.51,,V1_site5_A
5000171,576.82,,V1_site5_A
5000172,552.12,,V1_site5_A
5000173,563.57,,V1_site5_A
5000174,568.82,,V1_site5_A
5000175,603.42,,V1_site5_A
5000176,628.16,,V1_site5_A
5000177,620.07,,V1_site5_A
5000178,602.11,,V1_site5_A
5000179,613.96,,V1_site5_A
5000180,595.0,,V1_site5_A
5000181,621.13,,V1_site5_A
5000182,561.06,,V1_site5_A
5000183,598.91,,V1_site5_A
5000184,621.04,,V1_site5_A
5000185,643.35,,V1_site5_A
5000186,633.27,,V1_site5_A
5000187,646.57,,V1_site5_A
5000188,625.64,,V1_site5_A
5000189,660.03,,V1_site5_A
5000190,683.54,,V1_site5_A
5000191,706.09,,V1_site5_A
5000192,696.68,,V1_site5_A
5000193,713.01,,V1_site5_A
5000194,703.5,,V1_site5_A
5000195,677.06,,V1_site5_A
5000196,668.95,,V1_site5_A
5000197,678.07,,V1_site5_A
5000198,693.07,,V1_site5_A
5000199,731.02,,V1_site5_A
5000200,733.33,,V1_site5_A
5000201,729.22,,V1_site5_A
5000202,710.01,,V1_site5_A
5000203,711.02,,V1_site5_A
5000204,748.85,,V1_site5_A
5000205,731.05,,V1_site5_A
5000206,739.75,,V1_site5_A
5000207,740.01,,V1_site5_A
5000208,710.88,,V1_site5_A
5000209,720.59,,V1_site5_A
5000210,718.15,,V1_site5_A
5000211,715.59,,V1_site5_A
5000212,726.11,,V1_site5_A
5000213,735.28,,V1_site5_A
5000214,727.22,,V1_site5_A
5000215,730.89,,V1_site5_A
5000216,778.87,,V1_site5_A
5000217,771.24,,V1_site5_A
5000218,764.24,,V1_site5_A
5000219,773.84,,V1_site5_A
5000220,779.04,,V1_site5_A
5000221,761.97,,V1_site5_A
5000222,751.56,,V1_site5_A
5000223,771.07,,V1_site5_A
5000224,755.29,,V1_site5_A
5000225,796.26,,V1_site5_A
5000226,790.0,,V1_site5_A
5000227,797.64,,V1_site5_A
5000228,543.84,,V1_site5_A
5000229,791.24,,V1_site5_A
5000230,803.11,,V1_site5_A
5000231,818.75,,V1_site5_A
5000232,849.65,,V1_site5_A
5000233,851.6,,V1_site5_A
5000234,858.01,,V1_site5_A
5000235,848.15,,V1_site5_A
5000236,844.82,,V1_site5_A
5000237,850.69,,V1_site5_A
5000238,832.74,,V1_site5_A
5000239,856.82,,V1_site5_A
5000240,548.17,,V1_site5_A
5000241,893.84,,V1_site5_A
5000242,936.84,,V1_site5_A
5000243,935.05,,V1_site5_A
5000244,2287.1,,V1_site5_A
5000245,967.74,,V1_site5_A
5000246,1007.27,,V1_site5_A
5000247,1006.9,,V1_site5_A
5000248,2284.05,,V1_site5_A
5000249,1060.79,,V1_site5_A
5000250,1046.83,,V1_site5_A
5000251,2286.76,,V1_site5_A
5000252,2296.56,,V1_site5_A
5000253,1092.59,,V1_site5_A
5000254,1091.2,,V1_site5_A
5000255,1135.85,,V1_site5_A
5000256,2272.6,,V1_site5_A
5000257,1178.98,,V1_site5_A
5000258,1185.96,,V1_site5_A
5000259,1164.35,,V1_site5_A
5000260,1178.85,,V1_site5_A
5000261,2258.29,,V1_site5_A
5000262,1220.93,,V1_site5_A
5000263,361.65,,V1_site5_A
5000264,1222.93,,V1_site5_A
5000265,1256.39,,V1_site5_A
5000266,1262.79,,V1_site5_A
5000267,1242.9,,V1_site5_A
5000268,1263.83,,V1_site5_A
5000269,1279.99,,V1_site5_A
5000270,1302.61,,V1_site5_A
5000271,1277.28,,V1_site5_A
5000272,1275.08,,V1_site5_A
5000273,1295.29,,V1_site5_A
5000274,1306.13,,V1_site5_A
5000275,1297.65,,V1_site5_A
5000276,1289.84,,V1_site5_A
5000277,1337.97,,V1_site5_A
5000278,1340.06,,V1_site5_A
5000279,1323.01,,V1_site5_A
5000280,1377.61,,V1_site5_A
5000281,1393.69,,V1_site5_A
5000282,1372.7,,V1_site5_A
5000283,1448.26,,V1_site5_A
5000284,1426.47,,V1_site5_A
5000285,1417.09,,V1_site5_A
5000286,1410.05,,V1_site5_A
5000287,1422.4,,V1_site5_A
5000288,1402.49,,V1_site5_A
5000289,1414.2,,V1_site5_A
5000290,1400.17,,V1_site5_A
5000291,1419.53,,V1_site5_A
5000292,1432.9,,V1_site5_A
5000293,1416.92,,V1_site5_A
5000294,1424.11,,V1_site5_A
5000295,1416.08,,V1_site5_A
5000296,1452.49,,V1_site5_A
5000297,1465.77,,V1_site5_A
5000298,1444.55,,V1_site5_A
5000299,1474.08,,V1_site5_A
5000300,1457.15,,V1_site5_A
5000301,1410.68,,V1_site5_A
5000302,1435.71,,V1_site5_A
5000303,1465.12,,V1_site5_A
5000304,1455.49,,V1_site5_A
5000305,1452.43,,V1_site5_A
5000306,1473.92,,V1_site5_A
5000307,1449.53,,V1_site5_A
5000308,1505.34,,V1_site5_A
5000309,1472.25,,V1_site5_A
5000310,1484.43,,V1_site5_A
5000311,1500.96,,V1_site5_A
5000312,1503.2,,V1_site5_A
5000313,1523.07,,V1_site5_A
5000314,1496.06,,V1_site5_A
5000315,1477.59,,V1_site5_A
5000316,1491.8,,V1_site5_A
5000317,1492.79,,V1_site5_A
5000318,1508.53,,V1_site5_A
5000319,1491.82,,V1_site5_A
5000320,1536.15,,V1_site5_A
