site,site_number,subject_id,probe,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site2,2,816305,A,743,143,318,143,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,1.5,0.3006993006993007,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,B,641,160,350,160,10.0,10.0,20.0,15.0,10.0,20.0,1.0166666666666666,0.34375,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,C,855,175,431,175,0.0,-10.0,0.0,10.0,0.0,20.0,1.1,0.5028571428571429,-10.0,10.0,-10.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,E,493,78,230,78,-20.0,-20.0,-10.0,0.0,0.0,5.0,2.3,0.3333333333333333,-10.0,0.0,-15.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,A,565,160,341,160,-10.0,-20.0,0.0,-20.0,-20.0,-20.0,1.5666666666666667,0.38125,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,B,554,167,341,167,20.0,20.0,30.0,0.0,0.0,0.0,1.1666666666666667,0.32335329341317365,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,C,567,161,365,161,-10.0,-10.0,0.0,20.0,20.0,20.0,1.6333333333333333,0.2795031055900621,-10.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,E,565,150,362,150,-20.0,-30.0,0.0,-10.0,-10.0,-10.0,1.2166666666666668,0.4866666666666667,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,A,617,161,345,161,-10.0,-10.0,0.0,-20.0,-30.0,-20.0,1.4666666666666666,0.5279503105590062,0.0,-20.0,-10.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,B,610,167,349,167,30.0,20.0,30.0,-10.0,-10.0,0.0,1.1333333333333333,0.6586826347305389,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,C,512,79,230,79,0.0,-10.0,0.0,10.0,10.0,20.0,1.15,0.26582278481012656,0.0,20.0,-10.0,15.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,E,463,80,252,80,-15.0,-20.0,10.0,0.0,-10.0,10.0,2.783333333333333,0.425,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,A,757,176,358,176,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.3166666666666669,0.3409090909090909,-20.0,-20.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,B,695,233,441,233,30.0,30.0,40.0,0.0,0.0,0.0,1.0333333333333334,0.6008583690987125,30.0,0.0,30.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,C,866,240,516,240,0.0,0.0,0.0,20.0,20.0,30.0,1.0750000000000002,0.4041666666666667,0.0,20.0,0.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,E,678,185,396,185,-20.0,-20.0,-20.0,10.0,0.0,10.0,1.2,0.3567567567567568,-20.0,10.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,A,609,111,320,111,-20.0,-30.0,-10.0,-20.0,-30.0,-20.0,1.8,0.5675675675675675,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,B,618,145,334,145,20.0,10.0,20.0,0.0,0.0,10.0,1.3166666666666669,0.5310344827586206,10.0,0.0,10.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,C,612,77,275,77,-10.0,-10.0,0.0,20.0,10.0,20.0,1.4833333333333334,0.24675324675324675,-10.0,10.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
