site,subject_id,probe,metric,reason,eligible_n,excluded_n
site2,816305,A,all,missing_from_four_way_metric_join,743,0
site2,816305,A,all,failed_or_missing_default_qc,743,425
site2,816305,A,ttfs,nonfinite_metric_or_required_auxiliary,743,60
site2,816305,A,ttfs,failed_current_metric_threshold,683,227
site2,816305,A,f1_f0,nonfinite_metric_or_required_auxiliary,743,8
site2,816305,A,f1_f0,failed_current_metric_threshold,735,0
site2,816305,A,timescale,nonfinite_metric_or_required_auxiliary,743,0
site2,816305,A,timescale,failed_current_metric_threshold,743,632
site2,816305,B,all,missing_from_four_way_metric_join,641,0
site2,816305,B,all,failed_or_missing_default_qc,641,291
site2,816305,B,ttfs,nonfinite_metric_or_required_auxiliary,641,75
site2,816305,B,ttfs,failed_current_metric_threshold,566,234
site2,816305,B,f1_f0,nonfinite_metric_or_required_auxiliary,641,3
site2,816305,B,f1_f0,failed_current_metric_threshold,638,0
site2,816305,B,timescale,nonfinite_metric_or_required_auxiliary,641,0
site2,816305,B,timescale,failed_current_metric_threshold,641,488
site2,816305,C,all,missing_from_four_way_metric_join,855,0
site2,816305,C,all,failed_or_missing_default_qc,855,424
site2,816305,C,ttfs,nonfinite_metric_or_required_auxiliary,855,81
site2,816305,C,ttfs,failed_current_metric_threshold,774,253
site2,816305,C,f1_f0,nonfinite_metric_or_required_auxiliary,855,9
site2,816305,C,f1_f0,failed_current_metric_threshold,846,0
site2,816305,C,timescale,nonfinite_metric_or_required_auxiliary,855,0
site2,816305,C,timescale,failed_current_metric_threshold,855,659
site2,816305,E,all,missing_from_four_way_metric_join,493,0
site2,816305,E,all,failed_or_missing_default_qc,493,263
site2,816305,E,ttfs,nonfinite_metric_or_required_auxiliary,493,42
site2,816305,E,ttfs,failed_current_metric_threshold,451,171
site2,816305,E,f1_f0,nonfinite_metric_or_required_auxiliary,493,5
site2,816305,E,f1_f0,failed_current_metric_threshold,488,0
site2,816305,E,timescale,nonfinite_metric_or_required_auxiliary,493,0
site2,816305,E,timescale,failed_current_metric_threshold,493,442
site3,810531,A,all,missing_from_four_way_metric_join,565,0
site3,810531,A,all,failed_or_missing_default_qc,565,224
site3,810531,A,ttfs,nonfinite_metric_or_required_auxiliary,565,12
site3,810531,A,ttfs,failed_current_metric_threshold,553,214
site3,810531,A,f1_f0,nonfinite_metric_or_required_auxiliary,565,0
site3,810531,A,f1_f0,failed_current_metric_threshold,565,0
site3,810531,A,timescale,nonfinite_metric_or_required_auxiliary,565,0
site3,810531,A,timescale,failed_current_metric_threshold,565,456
