session,probe,n_units,n_units_in_run,depth_span_um,median_depth_um
715093703,810755801,11,11,300.0,2700.0
719161530,729445652,19,19,524.0,2840.0
721123822,760213145,11,11,260.0,2260.0
732592105,733744649,19,18,469.0,2650.0
746083955,760647909,18,18,301.0,2220.0
750332458,757904550,15,15,382.0,2500.0
754312389,756781557,16,14,388.0,2010.0
754829445,760640039,26,26,470.0,2920.0
755434585,760642628,13,13,384.0,2460.0
756029989,760640090,10,10,437.0,2660.0
757216464,769322749,19,19,502.0,2780.0
757970808,769322856,29,29,463.99999999999955,2380.0
758798717,770930073,11,10,342.0,2540.0
759883607,769322793,11,11,360.0,2300.0
760693773,769322827,21,21,380.0,2280.0
761418226,768908585,20,20,262.0,2140.0
762120172,768908152,12,10,217.0,2530.0
762602078,768909182,15,15,404.0,2300.0
763673393,773463017,20,20,445.0,2310.0
766640955,773592320,13,13,344.0,2380.0
768515987,773549848,14,12,356.0,2370.0
771160300,773621942,39,39,640.0,2120.0
771990200,773654728,13,13,356.0,2220.0
773418906,792676158,12,12,327.0,2090.0
774875821,792602654,13,11,290.0,1580.0
778240327,792607549,20,20,386.0,2200.0
778998620,792626847,11,11,450.0,2580.0
779839471,792645497,33,33,388.0,2020.0
786091066,792623921,14,14,502.0,2000.0
787025148,792586842,11,11,260.0,2540.0
791319847,805008604,18,11,330.0,2240.0
793224716,805124806,20,20,406.0,2190.0
794812542,810758781,15,14,376.0,2360.0
797828357,805579741,30,26,405.0,2860.0
799864342,805579703,17,17,348.0,2120.0
816200189,836943717,11,11,360.0,2380.0
821695405,822645897,22,22,513.0,2860.0
829720705,832129154,23,20,326.0,2060.0
831882777,832810578,14,14,467.0,2410.0
835479236,837761710,58,58,683.0,2510.0
839068429,868929138,20,19,411.9999999999998,1500.0
