site,probe,reversal_depth_um,combined_magnitude,n_trials
site2,A,2226.589528908169,14.602165012950909,300
site2,B,2102.2742247723736,24.90904373511752,300
site2,C,2693.5245917924885,25.0955046965078,300
site2,E,464.28226545250425,14.36378382774901,300
site3,A,2381.6391979670507,14.644067820774069,300
site3,B,2232.7574400884664,19.11189161928031,300
site3,C,2599.4515138089705,18.252175623568196,300
site3,E,2661.788772340442,13.946102612389334,300
site4,A,2932.805219653692,10.692083569047337,300
site4,B,2718.1933883717743,23.016643695776065,300
site4,C,2435.761923621863,19.84790226488971,300
site4,E,2786.072661627031,10.535844418580107,300
site5,A,2857.17163767745,15.341981795503937,300
site5,B,2782.698660413499,51.91515931390176,300
site5,C,2713.618189900381,27.805906020334113,300
site5,E,2309.71876179212,15.481822924086357,300
site6,A,2739.3164600751547,23.052854112929342,300
site6,B,2752.918651167027,24.081700404787735,300
site6,C,2597.8847299774397,14.946161028454771,300
site6,E,2651.372675158153,10.653911590860444,300
site7,A,2076.5258952301233,10.878977314512552,300
site7,B,2692.135913668807,28.33722734123694,300
site7,C,2531.264489700559,21.616247281355697,300
site7,E,2276.657769539271,17.110283835818535,300
site8,A,2002.1868742177621,8.523433686443411,300
site8,B,2084.6601055222122,12.988686252352876,300
site8,C,2627.9916576663863,6.193511505167354,300
site8,E,2895.420447796174,11.645264718128615,300
site9,A,2349.1195827033293,33.82059589859322,300
site9,B,2577.602856151395,30.496790071451926,300
site9,C,2510.8330194684672,16.148252907114657,300
site9,E,2365.813580364327,27.285733267808766,300
