site,probe,n_units,n_units_in_run,depth_span_um,median_depth_um,ratio_to_allen,estimated_angle_from_vertical_deg
site2,A,34,34,581.2729999999997,2428.06,1.5137317708333324,48.65290007330955
site2,B,37,37,740.2759999999998,1671.49,1.927802083333333,58.753204136229805
site2,C,15,13,351.0559999999996,2512.53,0.9142083333333323,23.906451103598798
site2,E,17,17,364.40800000000036,2317.81,0.9489791666666676,18.381266365948935
site3,A,43,43,575.6879999999996,2423.69,1.499187499999999,48.16190529628043
site3,B,67,67,683.9789999999998,2513.89,1.7811953124999995,55.845891197861114
site3,C,63,63,782.8969999999999,2540.35,2.0387942708333333,60.62747155712455
site3,E,13,11,482.39500000000044,2565.31,1.2562369791666679,37.24752475494795
site4,A,24,20,430.4524999999999,2388.0699999999997,1.120970052083333,26.863636624026693
site4,B,21,13,327.8180000000002,2694.61,0.8536927083333339,31.384390461882237
site4,C,25,25,648.9960000000001,2594.98,1.6900937500000002,53.723458916626335
site5,A,50,50,796.7649999999999,2384.125,2.0749088541666665,61.18723597062378
site5,B,28,21,579.3600000000001,2446.19,1.5087500000000003,48.48620670683494
site5,C,63,62,771.3340000000003,2562.025,2.0086822916666676,60.142880528527265
site5,E,58,55,841.1610000000001,2370.13,2.1905234375,62.83774568088918
site6,A,18,14,406.4760000000001,2071.235,1.0585312500000004,19.142624230519544
site6,B,25,15,371.2710000000002,2331.98,0.9668515625000005,14.793679353334033
site6,C,33,33,722.0819999999999,1853.6,1.8804218749999997,57.873146099649425
site6,E,13,13,574.8780000000002,2428.25,1.4970781250000005,48.089587320687336
site7,B,14,12,361.2734999999998,2250.505,0.9408164062499994,19.81088374965221
site7,C,49,48,866.0459999999998,2452.05,2.2553281249999997,63.67933743459914
site8,A,20,20,688.6979999999999,2390.73,1.7934843749999996,56.11182072820998
site8,B,17,11,195.83000000000038,2624.91,0.5099739583333344,59.337904864222715
site8,C,26,26,549.9825000000001,2677.715,1.4322460937500001,45.71690961187184
site9,A,44,44,655.9599999999996,2469.205,1.7082291666666656,54.16863733511023
site9,B,16,12,364.6444999999999,2593.755,0.9495950520833331,18.26903159280221
site9,C,42,30,654.9694999999997,2691.63,1.7056497395833325,54.106048362375375
site9,E,41,40,880.4474999999998,2682.075,2.2928320312499992,64.14202626135216
