domain,ecephys_session_id,split_distance_deg
cortex,829720705,4.911379742721421
cortex,744228101,3.2328709820887376
cortex,797828357,3.42960141773535
cortex,754829445,2.8034087872691935
cortex,793224716,1.9016280593513406
cortex,839068429,4.142962383996246
cortex,840012044,3.7851449770108814
cortex,768515987,1.3139185738304793
cortex,799864342,1.7944072788165037
cortex,789848216,60.63499811616639
cortex,831882777,2.5227370840858745
cortex,773418906,3.562754545889751
cortex,781842082,5.941317347697025
cortex,756029989,12.513255146049287
cortex,791319847,1.7052340079627148
cortex,750332458,3.0054297140970303
cortex,774875821,1.9266482720522355
cortex,821695405,11.007908662725544
cortex,763673393,2.0429137384919795
cortex,771990200,1.795183159112038
cortex,819186360,2.3199424620036684
cortex,719161530,2.898204350090492
cortex,766640955,5.922567479961947
cortex,767871931,3.3248272670324615
cortex,786091066,1.551347565495327
cortex,758798717,1.4083579273193063
cortex,798911424,0.2535453516101141
cortex,816200189,0.3971784169291732
cortex,835479236,2.6003586003561434
cortex,754312389,0.8677178784232182
cortex,715093703,4.030207141250372
cortex,778240327,1.0640593897884314
cortex,757216464,4.377806030134267
cortex,847657808,41.73881184573347
cortex,759883607,1.3276527502937987
cortex,755434585,0.6396321461122653
cortex,751348571,4.425578695213013
cortex,778998620,0.28201597100943093
cortex,750749662,1.376079812197265
cortex,762602078,2.3105667673917685
cortex,819701982,4.589858338413667
cortex,760345702,9.256592013303646
cortex,771160300,1.321594194413898
cortex,721123822,14.358817282165157
cortex,779839471,4.660499961662306
cortex,743475441,4.723708000213435
cortex,761418226,4.168458762921992
cortex,746083955,9.491208757087215
cortex,757970808,1.074136851341688
cortex,787025148,0.9264910302335667
cortex,839557629,2.488686810323371
cortex,794812542,0.2943936013068481
lgd,754829445,13.71088500896926
lgd,768515987,4.809384064424574
lgd,799864342,5.002945579692739
lgd,756029989,5.695396967074476
lgd,763673393,11.391362645332071
lgd,819186360,5.053709608943223
lgd,771990200,8.635719265783491
lgd,719161530,11.50466343283946
lgd,766640955,5.570910863221081
lgd,754312389,32.58532681770426
lgd,715093703,8.656793157508837
lgd,755434585,7.457229466848389
lgd,751348571,9.416714103607376
lgd,750749662,24.178578418627353
lgd,760345702,3.039785491449918
lgd,779839471,18.157576051580072
lgd,743475441,7.319198079897668
lgd,746083955,12.651866514761856
lgd,757970808,6.633775741163123
