ecephys_session_id,valid_cells,shift_az_deg,shift_el_deg,domain
715093703,64,-33.412689808781096,7.570205682845717,cortex
719161530,81,26.69037452448945,-7.714466500056323,cortex
721123822,84,12.03843715264111,7.144915305365474,cortex
743475441,53,-17.72971653415051,-25.185921086891472,cortex
744228101,40,-26.114433661057998,21.740386871421848,cortex
746083955,22,10.529608261319634,40.2542004036111,cortex
750332458,54,-34.27789991465335,11.057421718161487,cortex
750749662,52,-24.77503290638813,-3.4533450196476454,cortex
751348571,113,-35.03166900883756,-3.6184026308508126,cortex
754312389,143,-14.55448363714311,-3.8358704340554235,cortex
754829445,105,17.322533793586697,-6.072302836882422,cortex
755434585,142,2.065674322923064,-3.0485059092682905,cortex
756029989,16,-31.731261634844383,-10.25829271140492,cortex
757216464,81,-30.99316571031678,23.784768852958173,cortex
757970808,146,-20.999536511369406,-0.517745543880084,cortex
758798717,83,-6.982234860922681,2.7418809542604605,cortex
759883607,91,-8.976437985901429,-1.543697239416994,cortex
760345702,136,-15.047630219661878,-0.26506663142694475,cortex
761418226,135,-20.880695416782853,-33.98546784770342,cortex
762602078,67,-43.85224581437945,-13.80029508449522,cortex
763673393,104,-15.361279138433623,-2.913836741242985,cortex
766640955,80,28.94497753270253,4.307789044371649,cortex
767871931,43,-34.78034592558936,-26.975012617361926,cortex
768515987,161,10.927307046197267,-0.05592477132087678,cortex
771160300,139,-18.275139890180263,-13.884365547156259,cortex
771990200,96,-18.373278381635735,6.287202627731645,cortex
773418906,166,8.831546494232384,-8.477231958023067,cortex
774875821,134,-16.692077797449162,-2.7487735899173624,cortex
778240327,129,-16.3922252439997,-9.28809345245511,cortex
778998620,123,-6.338226004574526,-4.433758461918919,cortex
779839471,146,-4.216500622307963,-6.881526061224819,cortex
781842082,159,6.6824953987692455,-15.675090898611998,cortex
786091066,135,-9.89966518492084,-1.6092947698339033,cortex
787025148,105,-2.3721432079027354,-6.644414255067629,cortex
789848216,24,-32.49123995214666,3.7692201155294844,cortex
791319847,126,5.540869051393192,-3.748069745365716,cortex
793224716,126,10.935374689230226,1.82278119515771,cortex
794812542,111,5.182674736561163,-2.121358989679944,cortex
797828357,116,8.255323800765938,4.619953792903383,cortex
798911424,126,0.28173044302398687,4.68153346907331,cortex
799864342,127,-5.838382867271924,5.528796130723398,cortex
816200189,93,2.953711488483312,4.664424424425972,cortex
819186360,125,-25.85418085473584,11.112737090942208,cortex
819701982,152,-27.466532990897086,21.70115102175931,cortex
821695405,48,-3.6269724150819846,11.190839788938293,cortex
829720705,262,-15.68487193547049,-9.299752397058226,cortex
831882777,77,15.650759971891237,4.096256544692971,cortex
835479236,91,30.171919794316597,8.5593431640817,cortex
839068429,112,-7.38654941511128,9.52793610351556,cortex
839557629,83,-17.807075854319613,12.273667281157127,cortex
840012044,44,-21.302583790662435,-26.158019074260057,cortex
847657808,65,31.85348936074811,12.254357369184106,cortex
715093703,58,-28.141708800033523,5.370798985703959,lgd
719161530,26,3.148464590925763,-21.72212072656354,lgd
743475441,31,34.49321348117613,-10.793589739034589,lgd
744228101,6,,,lgd
746083955,30,10.922202870192272,8.736778466376148,lgd
750332458,5,,,lgd
750749662,19,-4.864029751716341,12.402546592136686,lgd
751348571,46,-13.580798682384696,6.207925813646554,lgd
754312389,22,-20.20609492169594,-0.34933307045240547,lgd
754829445,39,13.035075963546785,-0.7892277657138705,lgd
755434585,18,-13.388796296719903,-9.09667885255098,lgd
756029989,18,-24.57205780693975,-15.58816377872433,lgd
757216464,5,,,lgd
757970808,20,-30.7512942909573,-1.0200599707110278,lgd
759883607,3,,,lgd
760345702,20,-21.57836185280858,32.556497993871986,lgd
761418226,11,-37.77183794992197,-4.603515969252268,lgd
763673393,22,-30.52900189114363,-0.15449192522251565,lgd
766640955,37,-8.010479548525526,-13.138036423475153,lgd
768515987,29,-18.20035881180811,-7.429071143760034,lgd
771160300,6,,,lgd
771990200,38,10.045866796056378,-23.393669426454633,lgd
778240327,5,,,lgd
779839471,17,11.025137941273654,-18.33538790854564,lgd
781842082,9,-7.907209186014452,-9.006860757624825,lgd
791319847,8,8.128354292096542,-23.56376176284113,lgd
799864342,32,17.637064542388615,-17.36113512758486,lgd
819186360,20,-18.068272890446714,26.854996733504397,lgd
819701982,11,-17.213651655558007,25.55385756854783,lgd
835479236,3,,,lgd
839068429,9,3.035406533833942,1.0221120293596044,lgd
839557629,3,,,lgd
