stimulus_presentation_id,stimulus_block,start_time,stop_time,color,size,Speed,stimulus_name,x_position,y_position,frame,temporal_frequency,Dir,phase,contrast,spatial_frequency,orientation,coherence,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2349,0.0,655.97073,656.22094,null,"[20.0, 20.0]",null,gabors,-40.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,243,,,0,,False,7,train,2
2350,0.0,656.22094,656.47115,null,"[20.0, 20.0]",null,gabors,0.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021242,41,,,0,,False,8,test,1
2351,0.0,656.47115,656.72136,null,"[20.0, 20.0]",null,gabors,-10.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,242,,,0,,False,7,train,2
2352,0.0,656.72136,656.97158,null,"[20.0, 20.0]",null,gabors,0.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,237,,,0,,False,6,train,2
2353,0.0,656.97158,657.22178,null,"[20.0, 20.0]",null,gabors,20.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020758,10,,,0,,False,11,test,0
2354,0.0,657.22178,657.47199,null,"[20.0, 20.0]",null,gabors,40.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020758,4,,,0,,False,9,train,0
2355,0.0,657.47199,657.7222,null,"[20.0, 20.0]",null,gabors,-10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020758,26,,,0,,False,8,test,2
2356,0.0,657.7222,657.97241,null,"[20.0, 20.0]",null,gabors,-30.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020758,87,,,0,,False,9,train,0
2357,0.0,657.97241,658.22261,null,"[20.0, 20.0]",null,gabors,40.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020492,4,,,0,,False,10,train,0
2358,0.0,658.22261,658.47282,null,"[20.0, 20.0]",null,gabors,-30.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020492,231,,,0,,False,8,test,2
2359,0.0,658.47282,658.72302,null,"[20.0, 20.0]",null,gabors,-40.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020492,56,,,0,,False,5,test,2
2360,0.0,658.72302,658.97323,null,"[20.0, 20.0]",null,gabors,-30.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020492,212,,,0,,False,8,test,2
2361,0.0,658.97323,659.22344,null,"[20.0, 20.0]",null,gabors,40.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021258,64,,,0,,False,8,test,2
2362,0.0,659.22344,659.47365,null,"[20.0, 20.0]",null,gabors,-20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,165,,,0,,False,12,train,0
2363,0.0,659.47365,659.72386,null,"[20.0, 20.0]",null,gabors,-20.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021258,118,,,0,,False,8,test,0
2364,0.0,659.72386,659.97408,null,"[20.0, 20.0]",null,gabors,40.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021258,140,,,0,,False,12,train,2
