ccf_ap_mm,ccf_ml_mm,normalized_rf_x,normalized_rf_y,cells,sessions,dominant_area
6.455,8.513,-8.253602299999997,-9.471455335,10,1,VISrl
6.455,8.663,4.710463200000003,-1.247024535,15,1,VISrl
6.605,7.163,38.53093809,15.278134855,29,1,VISam
6.755,7.613,21.32608784,-4.790025267500001,32,1,VISam
6.755,7.763,31.654995940000003,-10.26989534,9,1,VISam
6.905,7.463,17.131003890000002,-5.3570567553,8,1,VISam
7.055,7.463,20.777411400000002,5.3915599400000005,18,1,VISam
7.055,7.613,19.39279225,8.2240973,25,1,VISam
7.055,7.763,26.00731936,-3.90462473,18,2,VISam
7.055,8.363,-18.20800562,-16.93640624,46,4,VISrl
7.055,8.513,-16.29000706,-17.866391110000002,113,4,VISrl
7.055,8.663,-17.34212456,-10.49113739,41,3,VISrl
7.055,8.813,-17.6157324,-4.11114883,16,2,VISrl
7.055,8.963,-22.176205314999997,-17.74554883,14,2,VISrl
7.205,7.313,26.25379215,34.156036545,37,3,VISam
7.205,7.463,-1.326531835,2.0154003325,98,5,VISam
7.205,7.613,4.0256636,-0.35972165,89,6,VISam
7.205,7.763,-0.2578135000000001,-4.753087969999999,79,3,VISam
7.205,8.363,-11.21823711,-25.851344455000003,31,5,VISrl
7.205,8.513,-24.113731445,-8.016656999999997,44,4,VISrl
7.205,8.663,-16.49342108445,-10.89975745,134,8,VISrl
7.205,8.813,-19.233322699999995,-16.151440020000003,70,7,VISrl
7.205,8.963,-20.071528349999994,-20.196105862,16,4,VISrl
7.355,7.163,-6.02745183,26.78742125,17,2,VISpm
7.355,7.313,-6.43606127,23.8699662975,102,7,VISam
7.355,7.463,7.825442793000001,8.44267019,235,13,VISam
7.355,7.613,1.5687171800000002,3.631982250000002,287,14,VISam
7.355,7.763,1.966818898,-11.642481576,56,3,VISam
7.355,7.913,32.940638648000004,-28.13906281,47,3,VISrl
7.355,8.063,-2.88177306,-38.5836415275,8,3,VISrl
7.355,8.213,1.719833799999999,-33.09935921,42,2,VISrl
7.355,8.363,2.1828264975000002,-32.033483495,12,2,VISrl
7.355,8.513,-18.641256545,-16.216774739999998,95,12,VISrl
7.355,8.663,-18.854768926775,-18.13332355,138,9,VISrl
7.355,8.813,-21.8356977075,-22.620162356,74,5,VISrl
7.355,8.963,-15.379941830000002,-23.34733796,13,3,VISrl
7.505,7.163,-6.39799865,26.266768725,40,4,VISpm
7.505,7.313,-13.572400770000002,19.88783669,183,11,VISam
7.505,7.463,0.17961188449999993,11.282463989,420,14,VISam
7.505,7.613,-2.7730114,-0.7105181700000003,357,11,VISam
7.505,7.763,-0.013319067500000364,-8.525118670000001,130,5,VISam
7.505,7.913,16.1651883175,-13.174496415,68,2,VISam
7.505,8.063,-0.5922421250000003,-15.41793906,36,3,VISam
7.505,8.213,-37.28653689,-10.96788793,11,1,VISrl
7.505,8.363,-17.8812826,-18.22512541,47,9,VISrl
7.505,8.513,-16.887621885,-16.832769810000002,78,11,VISrl
7.505,8.663,-25.051842850000003,-17.6228661,57,8,VISrl
7.505,8.813,-22.36065994,-14.289963325,97,5,VISrl
7.505,8.963,-11.1810169,-4.32558315,75,4,VISrl
7.655,7.163,-25.00964089,30.68946297,113,5,VISpm
7.655,7.313,-5.077181415,11.668372080000001,164,9,VISpm
7.655,7.463,-7.3201985207,15.18521038,191,7,VISam
7.655,7.613,-0.23221215000000006,-7.602351769999999,110,6,VISam
7.655,7.763,2.131083100000001,-17.3330009835,73,3,VISam
7.655,8.513,-9.9325884,-23.845785635,97,4,VISrl
7.655,8.663,-33.33475372,-21.613509212,43,3,VISrl
7.655,8.813,-32.458232052,-26.704235370000003,13,2,VISrl
7.655,8.963,-54.227045450000006,-12.081544931,34,1,VISrl
7.655,9.113,-52.510721200000006,-7.908376141000001,43,3,VISrl
7.655,9.263,0.2081983899999999,10.34302325,37,4,VISal
7.655,9.413,16.36787418,14.50136289,19,2,VISal
7.655,9.563,24.30704618,22.64456776,17,1,VISal
7.655,9.713,9.13713448,25.68814216,30,1,VISal
7.655,9.863,2.399708669999999,26.92522956,21,1,VISal
7.805,7.013,-39.7028414,9.234444,27,2,VISpm
7.805,7.163,-12.83773201,36.79866793,70,4,VISpm
7.805,7.313,-8.92889382,24.40759765,236,4,VISpm
7.805,7.463,-17.35174019,17.91131013,263,8,VISpm
7.805,7.613,0.6961391399999997,6.279231785,69,3,VISam
7.805,7.763,7.11714351,-28.259812619999998,38,1,VISam
7.805,8.813,-32.3592691,-17.868869531,31,2,VISrl
7.805,8.963,-24.484054199999996,-21.58401595,38,4,VISrl
7.805,9.113,-15.26460652195,16.89081154,36,5,VISrl
7.805,9.263,7.195696335,15.529051095,32,4,VISal
7.805,9.413,24.89394231,18.032839414999998,72,5,VISal
7.955,7.313,31.390230495,1.882802045,44,1,VISpm
7.955,7.463,-17.60775138,-7.080888045,8,1,VISam
7.955,7.763,-9.142907087708934,-26.87265362,14,1,VISpm
7.955,9.113,21.186026175,18.62443516,69,5,VISal
7.955,9.263,-7.897328022499999,26.950067845,174,8,VISal
7.955,9.413,19.398331,23.80612299,157,9,VISal
7.955,9.563,34.1816252,1.99017978,87,5,VISal
7.955,9.713,24.46468817,25.6875414,39,3,VISal
7.955,9.863,33.49074777,29.42958324,14,3,VISal
7.955,10.013,42.2916801,-2.917725008,13,1,VISal
8.105,7.313,-6.03017142,18.21257103,75,1,VISpm
8.105,7.763,23.25215576,-25.56300417,70,1,VISpm
8.105,7.913,-2.9206184000000004,0.8630698499999987,72,1,VISp
