stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,contrast,temporal_frequency,x_position,size,coherence,stimulus_name,color,Dir,orientation,frame,Speed,spatial_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2750,0.0,763.35342,763.60363,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25020459,154,,,0,,False,8,test,0
2751,0.0,763.60363,763.85383,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,10.0,0.25020459,144,,,0,,False,8,test,1
2752,0.0,763.85383,764.10403,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-40.0,0.25020459,209,,,0,,False,10,train,2
2753,0.0,764.10403,764.35425,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,40.0,0.25021291,62,,,0,,False,13,train,0
2754,0.0,764.35425,764.60446,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,0.0,0.25021291,80,,,0,,False,11,test,0
2755,0.0,764.60446,764.85467,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25021291,117,,,0,,False,9,train,0
2756,0.0,764.85467,765.10489,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25021291,164,,,0,,False,11,test,0
2757,0.0,765.10489,765.3551,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25021209,75,,,0,,False,12,train,0
2758,0.0,765.3551,765.60531,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25021209,164,,,0,,False,12,train,0
2759,0.0,765.60531,765.85552,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-20.0,0.25021209,168,,,0,,False,9,train,0
2760,0.0,765.85552,766.10573,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-40.0,0.25021209,206,,,0,,False,11,test,0
2761,0.0,766.10573,766.35594,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,20.0,0.25020541,28,,,0,,False,10,train,1
2762,0.0,766.35594,766.60615,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-10.0,0.25020541,45,,,0,,False,12,train,0
2763,0.0,766.60615,766.85635,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020541,161,,,0,,False,11,test,2
2764,0.0,766.85635,767.10656,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25020541,192,,,0,,False,8,test,0
2765,0.0,767.10656,767.35677,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25020959,113,,,0,,False,12,train,0
2766,0.0,767.35677,767.60698,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,30.0,0.25020959,47,,,0,,False,12,train,1
2767,0.0,767.60698,767.85719,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,0.0,0.25020959,202,,,0,,False,9,train,2
2768,0.0,767.85719,768.10739,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020959,15,,,0,,False,13,train,2
2769,0.0,768.10739,768.35761,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-20.0,0.25021041,215,,,0,,False,10,train,1
2770,0.0,768.35761,768.60782,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,40.0,0.25021041,70,,,0,,False,10,train,0
2771,0.0,768.60782,768.85803,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-10.0,0.25021041,211,,,0,,False,8,test,1
2772,0.0,768.85803,769.10824,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-30.0,0.25021041,54,,,0,,False,6,train,1
2773,0.0,769.10824,769.35845,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,0.0,0.25020959,96,,,0,,False,10,train,0
2774,0.0,769.35845,769.60866,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,0.0,0.25020959,242,,,0,,False,9,train,2
2775,0.0,769.60866,769.85887,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,10.0,0.25020959,145,,,0,,False,8,test,2
2776,0.0,769.85887,770.10907,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-40.0,0.25020959,162,,,0,,False,11,test,0
2777,0.0,770.10907,770.35928,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,40.0,0.25020541,118,,,0,,False,13,train,1
2778,0.0,770.35928,770.60949,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25020541,75,,,0,,False,13,train,0
2779,0.0,770.60949,770.85969,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,30.0,0.25020541,198,,,0,,False,13,train,2
2780,0.0,770.85969,771.1099,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-40.0,0.25020541,196,,,0,,False,12,train,1
2781,0.0,771.1099,771.36012,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,40.0,0.25021959,27,,,0,,False,9,train,2
2782,0.0,771.36012,771.61034,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25021959,166,,,0,,False,10,train,0
2783,0.0,771.61034,771.86056,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-40.0,0.25021959,175,,,0,,False,12,train,2
2784,0.0,771.86056,772.11077,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,40.0,0.25021959,79,,,0,,False,11,test,0
2785,0.0,772.11077,772.36098,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,40.0,0.25020041,27,,,0,,False,10,train,2
2786,0.0,772.36098,772.61118,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020041,221,,,0,,False,9,train,2
2787,0.0,772.61118,772.86138,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,10.0,0.25020041,51,,,0,,False,13,train,2
2788,0.0,772.86138,773.11158,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,20.0,0.25020041,154,,,0,,False,9,train,0
2789,0.0,773.11158,773.36178,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-10.0,0.25020709,95,,,0,,False,13,train,2
2790,0.0,773.36178,773.61199,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25020709,110,,,0,,False,13,train,0
2791,0.0,773.61199,773.8622,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020709,119,,,0,,False,10,train,2
2792,0.0,773.8622,774.1124,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,0.0,0.25020709,107,,,0,,False,13,train,1
2793,0.0,774.1124,774.36262,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-40.0,0.25021041,87,,,0,,False,9,train,2
2794,0.0,774.36262,774.61283,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,0.0,0.25021041,96,,,0,,False,11,test,0
2795,0.0,774.61283,774.86304,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-20.0,0.25021041,111,,,0,,False,10,train,2
2796,0.0,774.86304,775.11325,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-40.0,0.25021041,6,,,0,,False,11,test,2
2797,0.0,775.11325,775.36346,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25021209,57,,,0,,False,12,train,0
2798,0.0,775.36346,775.61367,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-30.0,0.25021209,134,,,0,,False,11,test,2
2799,0.0,775.61367,775.86388,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-30.0,0.25021209,163,,,0,,False,12,train,0
2800,0.0,775.86388,776.11409,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-30.0,0.25021209,61,,,0,,False,10,train,0
2801,0.0,776.11409,776.3643,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-20.0,0.25020791,238,,,0,,False,11,test,1
2802,0.0,776.3643,776.61451,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-20.0,0.25020791,193,,,0,,False,11,test,0
2803,0.0,776.61451,776.86472,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-10.0,0.25020791,159,,,0,,False,8,test,0
2804,0.0,776.86472,777.11493,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25020791,161,,,0,,False,12,train,2
2805,0.0,777.11493,777.36514,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,30.0,0.25020959,140,,,0,,False,9,train,2
2806,0.0,777.36514,777.61535,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,30.0,0.25020959,198,,,0,,False,14,test,2
2807,0.0,777.61535,777.86556,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-30.0,0.25020959,217,,,0,,False,10,train,0
2808,0.0,777.86556,778.11576,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25020959,228,,,0,,False,11,test,0
2809,0.0,778.11576,778.36597,"[3644.93333333, 3644.93333333]",0.8,4.0,40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25020791,240,,,0,,False,10,train,0
2810,0.0,778.36597,778.61618,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-10.0,0.25020791,127,,,0,,False,10,train,2
