stimulus_presentation_id,stimulus_block,start_time,stop_time,color,Dir,Speed,phase,frame,coherence,x_position,stimulus_name,orientation,y_position,temporal_frequency,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.356384,75.58991,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.2335254,1,,,0,,False,0,train,0
2,0.0,75.58991,75.840115,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020578,2,,,0,,False,0,train,1
3,0.0,75.840115,76.090321,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020578,3,,,0,,False,0,train,0
4,0.0,76.090321,76.340527,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020578,4,,,0,,False,0,train,0
5,0.0,76.340527,76.590724,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,90.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019681,5,,,0,,False,0,train,2
6,0.0,76.590724,76.840921,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019681,6,,,0,,False,0,train,1
7,0.0,76.840921,77.091117,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,45.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019681,7,,,0,,False,0,train,1
8,0.0,77.091117,77.341314,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019681,8,,,0,,False,0,train,0
9,0.0,77.341314,77.591532,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,45.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021819,9,,,0,,False,0,train,1
10,0.0,77.591532,77.841751,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021819,10,,,0,,False,0,train,1
11,0.0,77.841751,78.091969,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021819,11,,,0,,False,0,train,2
12,0.0,78.091969,78.342187,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021819,12,,,0,,False,0,train,2
13,0.0,78.342187,78.592406,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,13,,,0,,False,0,train,0
14,0.0,78.592406,78.842626,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,45.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,14,,,0,,False,0,train,1
15,0.0,78.842626,79.092845,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,15,,,0,,False,0,train,0
16,0.0,79.092845,79.343064,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,16,,,0,,False,0,train,2
17,0.0,79.343064,79.593262,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,17,,,0,,False,0,train,2
18,0.0,79.593262,79.843461,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,45.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,18,,,0,,False,0,train,1
19,0.0,79.843461,80.093659,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,19,,,0,,False,0,train,0
20,0.0,80.093659,80.343857,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,20,,,0,,False,0,train,1
21,0.0,80.343857,80.594076,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,21,,,0,,False,0,train,0
22,0.0,80.594076,80.844296,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,22,,,0,,False,0,train,0
23,0.0,80.844296,81.094515,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,23,,,0,,False,0,train,2
24,0.0,81.094515,81.344734,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021931,24,,,0,,False,0,train,2
25,0.0,81.344734,81.594932,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,25,,,0,,False,0,train,2
26,0.0,81.594932,81.845131,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,15,,,0,,False,1,train,0
27,0.0,81.845131,82.095329,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,45.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,26,,,0,,False,0,train,1
28,0.0,82.095329,82.345527,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,90.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25019819,27,,,0,,False,0,train,2
29,0.0,82.345527,82.595744,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,45.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,28,,,0,,False,0,train,1
30,0.0,82.595744,82.845961,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,90.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,29,,,0,,False,0,train,2
31,0.0,82.845961,83.096177,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,30,,,0,,False,0,train,2
32,0.0,83.096177,83.346394,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,19,,,0,,False,1,train,0
33,0.0,83.346394,83.596597,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,31,,,0,,False,0,train,0
34,0.0,83.596597,83.846801,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,45.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,32,,,0,,False,0,train,1
35,0.0,83.846801,84.097004,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-20.0,gabors,0.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,33,,,0,,False,0,train,0
36,0.0,84.097004,84.347207,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,34,,,0,,False,0,train,2
37,0.0,84.347207,84.597419,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,0.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,35,,,0,,False,0,train,0
38,0.0,84.597419,84.847631,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,90.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,36,,,0,,False,0,train,2
39,0.0,84.847631,85.097842,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,8,,,0,,False,1,train,0
40,0.0,85.097842,85.348054,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-40.0,gabors,0.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021181,37,,,0,,False,0,train,0
41,0.0,85.348054,85.59826,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,90.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020569,38,,,0,,False,0,train,2
42,0.0,85.59826,85.848466,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020569,39,,,0,,False,0,train,0
43,0.0,85.848466,86.098671,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,0.0,0.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020569,40,,,0,,False,0,train,0
44,0.0,86.098671,86.348877,null,null,null,"[3644.93333333, 3644.93333333]",null,null,0.0,gabors,90.0,40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020569,41,,,0,,False,0,train,2
45,0.0,86.348877,86.599091,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-30.0,gabors,0.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,42,,,0,,False,0,train,0
46,0.0,86.599091,86.849306,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,0.0,10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,43,,,0,,False,0,train,0
47,0.0,86.849306,87.09952,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,90.0,-40.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,25,,,0,,False,1,train,2
48,0.0,87.09952,87.349734,null,null,null,"[3644.93333333, 3644.93333333]",null,null,30.0,gabors,0.0,-10.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021431,44,,,0,,False,0,train,0
49,0.0,87.349734,87.599937,null,null,null,"[3644.93333333, 3644.93333333]",null,null,20.0,gabors,90.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,45,,,0,,False,0,train,2
50,0.0,87.599937,87.850141,null,null,null,"[3644.93333333, 3644.93333333]",null,null,40.0,gabors,45.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,46,,,0,,False,0,train,1
51,0.0,87.850141,88.100344,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,0.0,-20.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,47,,,0,,False,0,train,0
52,0.0,88.100344,88.350547,null,null,null,"[3644.93333333, 3644.93333333]",null,null,10.0,gabors,90.0,-30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25020319,48,,,0,,False,0,train,2
53,0.0,88.350547,88.600764,null,null,null,"[3644.93333333, 3644.93333333]",null,null,-10.0,gabors,90.0,30.0,4.0,"[20.0, 20.0]",0.08,0.8,0.25021681,49,,,0,,False,0,train,2
