initialization,iterations,final_objective,final_median_movement_deg,final_maximum_movement_deg
zero,60,3.986764951143435,0.4375103402378012,1.75887716218555
v1_anatomy,60,4.010765812950211,1.0093635906715352,4.235302012073839
random_1,60,4.038146373629508,1.0743517602531583,3.219461481645632
random_2,60,4.045363450783109,0.5627191458747325,4.093237636521087
random_0,60,4.0626011744968915,1.1601530230488573,2.762625297780745
