initialization,ecephys_session_id,shift_az_deg,shift_el_deg,distance_from_best_deg
zero,715093703,24.19446417318536,-10.883429087729873,0.0
zero,719161530,-7.875514232945308,-6.549284515616749,0.0
zero,750749662,-8.091892071436636,-4.151797706860393,0.0
zero,751348571,-0.14530972465820358,17.020790663212555,0.0
zero,754312389,7.411850403422752,0.3132325309492342,0.0
zero,754829445,-30.004586349575753,28.574415302038982,0.0
zero,755434585,6.641775933211587,-27.32379581744266,0.0
zero,756029989,17.490784625355456,-6.029738519448251,0.0
zero,757970808,21.705575766153263,-11.942348686478118,0.0
zero,760345702,23.638595198840953,-27.885685482964373,0.0
zero,763673393,15.33315384866281,-13.190170023007525,0.0
zero,766640955,-10.694869942881677,-1.977395998856048,0.0
zero,768515987,0.16757733116545354,30.00227030562564,0.0
zero,771990200,-11.708975552016561,7.661741765818295,0.0
zero,779839471,-26.87501349204828,21.845913572347428,0.0
zero,799864342,-21.187615914435217,4.515281698411853,0.0
v1_anatomy,715093703,26.059804341088938,-11.178062779970793,1.8884657673884555
v1_anatomy,719161530,-18.33813454379289,-7.31405740014984,10.490533891746283
v1_anatomy,750749662,-8.251713331215777,2.054972440296683,6.208827465368776
v1_anatomy,751348571,4.936028494787395,16.890227537922566,5.083015328531291
v1_anatomy,754312389,16.078268691351795,-0.7157117953221899,8.727286655537167
v1_anatomy,754829445,-29.910981710826686,28.83371606329037,0.2756786411401743
v1_anatomy,755434585,-2.7493653848968855,-18.18772808463253,13.101956681167078
v1_anatomy,756029989,21.13427643034869,-7.785676412568059,4.044545761583975
v1_anatomy,757970808,17.953897517391553,-16.06288061610605,5.5726002068437515
v1_anatomy,760345702,17.72576492354798,-25.215773673584074,6.487679934636845
v1_anatomy,763673393,2.0516505629561204,-18.601191783753613,14.341460386707672
v1_anatomy,766640955,-10.362016288186469,-3.2903849976303805,1.3545226710344795
v1_anatomy,768515987,11.162774678598616,30.003671995852425,10.99519743677833
v1_anatomy,771990200,-7.13605486639209,8.197146066839284,4.604156965456755
v1_anatomy,779839471,-25.853683391708223,24.88653047130191,3.2075639198725567
v1_anatomy,799864342,-14.500516123052071,-2.514797031785708,9.702541449161279
random_0,715093703,25.69233065640638,-13.972463458893424,3.4330361704745704
random_0,719161530,-8.648237537134275,-6.837222619539591,0.8246269802325141
random_0,750749662,-9.971558546700521,-0.4246230959982724,4.174323494661879
random_0,751348571,4.519042553428727,15.685221795401825,4.85179620086829
random_0,754312389,10.086432132158032,1.7362930086830062,3.0296020443240512
random_0,754829445,-29.27642145234074,28.160002711720047,0.8378316731779298
random_0,755434585,6.7316666910784555,-21.301611330356362,6.022855331556018
random_0,756029989,20.090390808334295,-6.4019455365325175,2.626116975716919
random_0,757970808,14.743140718036164,-3.140885102139309,11.222355502553441
random_0,760345702,21.62502538248438,-26.616228300275594,2.3803329481445177
random_0,763673393,3.504434119893279,-20.92930346165226,14.135515441713848
random_0,766640955,-10.330200524182047,-2.3224600361959746,0.5020487773115843
random_0,768515987,3.3377923170800834,30.001129112136425,3.1702151913143495
random_0,771990200,-9.184314149186221,6.996768760007487,2.610766994083984
random_0,779839471,-25.300515147820676,20.64596811505236,1.9796247463745587
random_0,799864342,-17.61900802153532,-1.2786405614178444,6.8047408066889306
random_1,715093703,24.167435825353785,-9.311322581088465,1.5723388311082171
random_1,719161530,-11.639822205041686,-7.689765569285151,3.933282540393574
random_1,750749662,-9.41476559932632,-4.970285510565297,1.5556081304766236
random_1,751348571,0.4381064903003485,16.549483640182203,0.7500031932160665
random_1,754312389,9.70706143350326,-1.8057693499441598,3.1238057948331175
random_1,754829445,-30.00495721008215,28.461225944793412,0.113189964798919
random_1,755434585,-3.650599779993749,-20.91101272194452,12.126697194689319
random_1,756029989,19.33479860075019,-7.851617952942695,2.592225339672677
random_1,757970808,20.513691182126575,-6.650230755998693,5.424675202419247
random_1,760345702,23.807677309358308,-25.34048339179129,2.5508121147996827
random_1,763673393,17.361526383585694,-8.989286958273315,4.664945194104662
random_1,766640955,-10.47923139339549,-5.873292007183975,3.9018592608819174
random_1,768515987,2.637727829350377,30.004746768827193,2.4701517395806305
random_1,771990200,-9.907567611788945,6.030280104196617,2.430378102365241
random_1,779839471,-25.491574598124974,22.98996087342007,1.7952012144356788
random_1,799864342,-17.37950665657522,-4.642630532401922,9.918117389257274
random_2,715093703,24.096012872234596,-7.4120574873422616,3.472767404626538
random_2,719161530,-8.840089159006935,-2.5919542024483846,4.073188922147857
random_2,750749662,-11.190624903770312,1.0227114164234976,6.031392031126057
random_2,751348571,7.966209258560041,19.259607054781394,8.41481069604464
random_2,754312389,12.345796728315333,-0.7027705668045021,5.037468474498495
random_2,754829445,-30.01016243516952,29.669475498896524,1.0950743935789145
random_2,755434585,8.923002455161935,-24.741460845487403,3.4456419361031765
random_2,756029989,19.785281984350494,-3.7465372436880378,3.236931602006485
random_2,757970808,16.800763776012733,-19.475760552256016,8.989409046098055
random_2,760345702,22.308373965675894,-26.019870087089682,2.2914527314885196
random_2,763673393,1.348523450154711,-23.367791095726737,17.296064814943744
random_2,766640955,-11.578869284016632,-0.6425800180571559,1.6009961079662691
random_2,768515987,4.717015252479762,29.753528285215772,4.5562328729565875
random_2,771990200,-11.138708439372843,10.70464512144386,3.0958787785442
random_2,779839471,-28.484578133764764,21.15253328078719,1.7525622855088712
random_2,799864342,-17.0479473878445,-2.8617185586480636,8.459136380429614
