ecephys_session_id,median,max
715093703,20.0,44.94441010848846
719161530,22.80350850198276,28.071337695236398
750749662,26.076809620810597,26.90724809414742
751348571,21.633307652783937,40.496913462633174
754312389,26.90724809414742,34.9857113690718
754829445,4.47213595499958,58.82176467941097
755434585,12.806248474865697,19.697715603592208
756029989,2.0,14.560219778561036
757970808,21.540659228538015,51.264022471905186
760345702,0.0,50.635955604688654
763673393,10.0,36.76955262170047
766640955,26.832815729997478,34.23448553724738
768515987,34.40930106817051,42.42640687119285
771990200,20.09975124224178,30.59411708155671
779839471,4.0,6.324555320336759
799864342,21.2602916254693,24.73863375370596
