population,metric,valid_units,pooled_unit_mean,pooled_unit_median,valid_sessions,equal_session_mean,session_sd,session_min,session_max
Allen V1 — all,log10_mod_idx,4106,0.12990212289795738,0.16839445143924547,56,0.10803950928346324,0.1463336114055421,-0.19451556806190434,0.3916919481853897
Allen V1 — all,log10_f1_f0,4111,-0.20226520592797703,-0.17882034259411017,56,-0.21035103037667255,0.054599341843394794,-0.3438697758256146,-0.10910922755722903
Allen V1 — all,timescale_valid_ms,882,44.15140033166942,39.95748551460607,50,43.6118187073167,7.6189376829537645,27.951627862523683,60.11589460812064
Allen V1 — Brain Observatory 1.1,log10_mod_idx,2232,0.051411038037604224,0.06551190088310821,32,0.039777784703229284,0.10186585122842337,-0.15496544106587837,0.23471790811259735
Allen V1 — Brain Observatory 1.1,log10_f1_f0,2237,-0.2056379102745798,-0.18151062458699324,32,-0.21596080913162324,0.05272349678002779,-0.30859496052818525,-0.13404653766876426
Allen V1 — Brain Observatory 1.1,timescale_valid_ms,467,44.61992412822762,40.004179971916656,30,43.880242477064925,7.617286751733935,30.56008601501159,56.821200271114755
Allen V1 — Functional Connectivity,log10_mod_idx,1874,0.2233877693271507,0.3565106569382466,24,0.1990551420571085,0.14863819689569313,-0.19451556806190434,0.3916919481853897
Allen V1 — Functional Connectivity,log10_f1_f0,1874,-0.19823919759107714,-0.17012307384762573,24,-0.20287132537007166,0.05727027273024752,-0.3438697758256146,-0.10910922755722903
Allen V1 — Functional Connectivity,timescale_valid_ms,415,43.62416993891598,39.46352569305755,20,43.20918305269434,7.801112755044272,27.951627862523683,60.11589460812064
MouseV2 V1,log10_mod_idx,11242,-0.10601697432435593,-0.11057370246573245,8,-0.10744035767158056,0.024309061996150193,-0.13448494533730437,-0.06539010798283351
MouseV2 V1,log10_f1_f0,11242,-0.12788014453267293,-0.10141961679091047,8,-0.1298945245995641,0.033333723210051354,-0.17071668981242574,-0.07701663023400017
MouseV2 V1,timescale_valid_ms,2375,47.281891949125075,44.0696477918745,8,47.53275420809288,2.6262849741381697,44.5466269871151,51.221869689928326
