cohort,session_id,metric,n_units,mean,median
Allen Brain Observatory 1.1,715093703,log10_mod_idx,65,0.0100941462854738,0.05172916743362815
Allen Brain Observatory 1.1,715093703,log10_f1_f0,65,-0.29671239137717714,-0.3175602778349446
Allen Brain Observatory 1.1,715093703,timescale_valid_ms,18,56.14020702674727,50.29242231060914
Allen Brain Observatory 1.1,719161530,log10_mod_idx,57,0.0699944176593781,0.054080099247990746
Allen Brain Observatory 1.1,719161530,log10_f1_f0,57,-0.28922973919808553,-0.30728586496100785
Allen Brain Observatory 1.1,719161530,timescale_valid_ms,9,36.316063928722286,23.7460702401352
Allen Brain Observatory 1.1,721123822,log10_mod_idx,47,-0.13847859877007432,-0.09880051036201487
Allen Brain Observatory 1.1,721123822,log10_f1_f0,47,-0.3085949605281853,-0.34111342980542547
Allen Brain Observatory 1.1,721123822,timescale_valid_ms,9,36.837680978754136,40.05372329670885
Allen Brain Observatory 1.1,732592105,log10_mod_idx,120,-0.04219717642833289,-0.03988109627893732
Allen Brain Observatory 1.1,732592105,log10_f1_f0,120,-0.16109599119758786,-0.12358360411219055
Allen Brain Observatory 1.1,732592105,timescale_valid_ms,33,44.40275445106794,41.171595579035646
Allen Brain Observatory 1.1,737581020,log10_mod_idx,50,0.0344656555028432,0.10319872557360711
Allen Brain Observatory 1.1,737581020,log10_f1_f0,50,-0.2365693674493219,-0.17892836441756102
Allen Brain Observatory 1.1,737581020,timescale_valid_ms,10,39.934876110545204,28.298388439150003
Allen Brain Observatory 1.1,739448407,log10_mod_idx,21,0.15257950319688393,0.1672841561404486
Allen Brain Observatory 1.1,739448407,log10_f1_f0,21,-0.22193819837578518,-0.34661100053144184
Allen Brain Observatory 1.1,739448407,timescale_valid_ms,8,46.49808850250581,48.40993413681209
Allen Brain Observatory 1.1,742951821,log10_mod_idx,37,-0.08431975555180224,-0.07661310403793299
Allen Brain Observatory 1.1,742951821,log10_f1_f0,37,-0.22881672783303755,-0.23508346177291753
Allen Brain Observatory 1.1,743475441,log10_mod_idx,37,-0.15496544106587837,-0.09172977315239826
Allen Brain Observatory 1.1,743475441,log10_f1_f0,42,-0.29768588362460263,-0.2551501785489527
Allen Brain Observatory 1.1,744228101,log10_mod_idx,38,-0.07455491884006518,-0.059177349984856215
Allen Brain Observatory 1.1,744228101,log10_f1_f0,38,-0.20250571235543124,-0.19486031275592156
Allen Brain Observatory 1.1,744228101,timescale_valid_ms,8,32.66460240471359,26.83180384163486
Allen Brain Observatory 1.1,746083955,log10_mod_idx,14,0.19647785957184954,0.12051160165750219
Allen Brain Observatory 1.1,746083955,log10_f1_f0,14,-0.26470481352714176,-0.3352870880538993
Allen Brain Observatory 1.1,746083955,timescale_valid_ms,6,50.616097483320516,41.95529140843317
Allen Brain Observatory 1.1,750332458,log10_mod_idx,70,-0.05366370366384295,-0.016609876770259567
Allen Brain Observatory 1.1,750332458,log10_f1_f0,70,-0.16128826200965882,-0.1108052009053485
