protocol,duration_s,repeats,temporal_frequency_hz,simulated_rate_hz,simulated_modulation_depth,median,q10,q90
"Mouse-like: 1 s, 15 repeats",1,15,1,10.0,0.0,0.575841548436321,0.07881936735253842,0.9446921918265339
"Allen BO-like: 2 s, 15 repeats",2,15,1,10.0,0.0,0.6175005785251981,0.16599255142617178,1.2696838333135159
"Allen FC-like: 2 s, 75 repeats",2,75,1,10.0,0.0,0.6765578299517689,0.160857370029369,1.1600410584454428
"Mouse-like: 1 s, 15 repeats",1,15,1,10.0,0.25,0.8697397203833028,0.07842980125363905,3.726890527507999
"Allen BO-like: 2 s, 15 repeats",2,15,1,10.0,0.25,0.832025235737403,0.22476996684336153,2.0028384761477422
"Allen FC-like: 2 s, 75 repeats",2,75,1,10.0,0.25,2.104880506761697,0.27718232611276866,3.6785434754847346
"Mouse-like: 1 s, 15 repeats",1,15,1,10.0,0.5,5.59513173203686,2.370512124854107,9.512954127335435
"Allen BO-like: 2 s, 15 repeats",2,15,1,10.0,0.5,1.722375485096283,0.3796588994987307,4.5357466031846165
"Allen FC-like: 2 s, 75 repeats",2,75,1,10.0,0.5,4.884093363403709,3.1957206916804486,6.6598901470879746
"Mouse-like: 1 s, 15 repeats",1,15,1,10.0,1.0,16.00338803328431,12.679789004248624,17.96387024286825
"Allen BO-like: 2 s, 15 repeats",2,15,1,10.0,1.0,4.8662578282038575,3.2933131110398532,6.429833292076402
"Allen FC-like: 2 s, 75 repeats",2,75,1,10.0,1.0,5.644874808321637,4.77105833713364,6.418413650927792
"Mouse-like: 1 s, 15 repeats",1,15,2,10.0,0.0,0.6243277297923724,0.22950695349579966,1.9438260468742041
"Allen BO-like: 2 s, 15 repeats",2,15,2,10.0,0.0,0.6974002398393173,0.12209877242634064,1.2010797900885586
"Allen FC-like: 2 s, 75 repeats",2,75,2,10.0,0.0,0.8870984797848867,0.28600412361475674,1.486358971462658
"Mouse-like: 1 s, 15 repeats",1,15,2,10.0,0.25,1.3815295632422204,0.4435617328732246,4.075675650734245
"Allen BO-like: 2 s, 15 repeats",2,15,2,10.0,0.25,0.6373835930559962,0.07407301035783312,2.514757089737199
"Allen FC-like: 2 s, 75 repeats",2,75,2,10.0,0.25,2.759332033735663,1.1994286962909222,4.819993620793563
"Mouse-like: 1 s, 15 repeats",1,15,2,10.0,0.5,5.505251393634572,2.8488863710631347,10.149108567137354
"Allen BO-like: 2 s, 15 repeats",2,15,2,10.0,0.5,2.789246792438952,0.35308828033579115,4.993082605660935
"Allen FC-like: 2 s, 75 repeats",2,75,2,10.0,0.5,5.327370102814705,3.9776284304218374,6.975268441257246
