protocol,duration_s,repeats,temporal_frequency_hz,simulated_rate_hz,simulated_modulation_depth,median,q10,q90
"Mouse-like: 1 s, 15 repeats",1,15,2,10.0,1.0,15.880826801931743,12.950050692237237,17.89602680818495
"Allen BO-like: 2 s, 15 repeats",2,15,2,10.0,1.0,4.687769491412585,3.4733384753780587,6.22375464803766
"Allen FC-like: 2 s, 75 repeats",2,75,2,10.0,1.0,6.034393447340749,5.309980708740523,6.6925257718687075
"Mouse-like: 1 s, 15 repeats",1,15,4,10.0,0.0,0.6282665206686556,0.11500707987392607,1.0848403311448351
"Allen BO-like: 2 s, 15 repeats",2,15,4,10.0,0.0,0.730663716317314,0.12103216527197652,1.2377829982444752
"Allen FC-like: 2 s, 75 repeats",2,75,4,10.0,0.0,0.7567528650130904,0.2019081107025805,2.131533039053907
"Mouse-like: 1 s, 15 repeats",1,15,4,10.0,0.25,0.9309044835393334,0.3292501620792969,3.447865150777252
"Allen BO-like: 2 s, 15 repeats",2,15,4,10.0,0.25,0.7259860105373033,0.12618242443253283,2.5092409990619875
"Allen FC-like: 2 s, 75 repeats",2,75,4,10.0,0.25,3.0888247475412305,1.0545195528206213,5.38338673684838
"Mouse-like: 1 s, 15 repeats",1,15,4,10.0,0.5,5.07801720270149,1.834951680039916,9.413743678062533
"Allen BO-like: 2 s, 15 repeats",2,15,4,10.0,0.5,2.861022863442118,0.9716972747673728,5.058584385803151
"Allen FC-like: 2 s, 75 repeats",2,75,4,10.0,0.5,5.941415921872469,4.86909223489373,7.6791653157581985
"Mouse-like: 1 s, 15 repeats",1,15,4,10.0,1.0,15.663090374801747,13.713047332771763,18.06036344220715
"Allen BO-like: 2 s, 15 repeats",2,15,4,10.0,1.0,5.809543419335899,3.82541938608763,7.1490441758131995
"Allen FC-like: 2 s, 75 repeats",2,75,4,10.0,1.0,6.952685211599732,6.0279716855612495,7.742177654346494
"Mouse-like: 1 s, 15 repeats",1,15,8,10.0,0.0,0.644508977628998,0.24009684820614854,1.4462092092606387
"Allen BO-like: 2 s, 15 repeats",2,15,8,10.0,0.0,0.6273828934441887,0.2050261137333559,1.8644362321241308
"Allen FC-like: 2 s, 75 repeats",2,75,8,10.0,0.0,0.6092988013539421,0.1166719823722887,1.3131632134972853
"Mouse-like: 1 s, 15 repeats",1,15,8,10.0,0.25,0.9433291097827018,0.2268627945605784,3.6557283606693773
"Allen BO-like: 2 s, 15 repeats",2,15,8,10.0,0.25,0.8975480888075292,0.18740776993648978,3.595369081707982
"Allen FC-like: 2 s, 75 repeats",2,75,8,10.0,0.25,3.540644861124113,2.0010692261748555,5.648903624432327
"Mouse-like: 1 s, 15 repeats",1,15,8,10.0,0.5,5.75535247257608,1.0225095072008277,8.498839088487046
"Allen BO-like: 2 s, 15 repeats",2,15,8,10.0,0.5,3.4411315741535233,1.5273251601544282,5.458093643653777
"Allen FC-like: 2 s, 75 repeats",2,75,8,10.0,0.5,7.793350224917225,6.264605705553521,9.414007549987453
"Mouse-like: 1 s, 15 repeats",1,15,8,10.0,1.0,15.97732105276734,13.378092465029054,17.932943241666546
"Allen BO-like: 2 s, 15 repeats",2,15,8,10.0,1.0,7.629152748316561,6.157310751651838,9.34297934517197
"Allen FC-like: 2 s, 75 repeats",2,75,8,10.0,1.0,8.656220965566575,7.994970750130116,9.777258482442
"Mouse-like: 1 s, 15 repeats",1,15,15,10.0,0.0,0.5491191714787151,0.13916427990956126,1.0803322300928129
"Allen BO-like: 2 s, 15 repeats",2,15,15,10.0,0.0,0.7183409210407612,0.06218087595768986,1.2875052918751992
"Allen FC-like: 2 s, 75 repeats",2,75,15,10.0,0.0,0.6657993359741045,0.24368895227945297,1.4769016289503463
"Mouse-like: 1 s, 15 repeats",1,15,15,10.0,0.25,1.0992855666491246,0.26687648228431105,3.786825302978942
"Allen BO-like: 2 s, 15 repeats",2,15,15,10.0,0.25,0.9903413799900272,0.20263519538901284,3.2997943173974225
"Allen FC-like: 2 s, 75 repeats",2,75,15,10.0,0.25,5.269374369037084,2.9761153750576215,8.023692658216492
"Mouse-like: 1 s, 15 repeats",1,15,15,10.0,0.5,5.2762760478856565,0.6487910712414646,9.59005677026151
"Allen BO-like: 2 s, 15 repeats",2,15,15,10.0,0.5,4.171804585015571,1.8385317982840677,6.9352505778095335
"Allen FC-like: 2 s, 75 repeats",2,75,15,10.0,0.5,10.919333661553669,9.625211200857112,12.242202237838638
"Mouse-like: 1 s, 15 repeats",1,15,15,10.0,1.0,16.132935363868306,13.76699456368919,17.944547579419957
"Allen BO-like: 2 s, 15 repeats",2,15,15,10.0,1.0,11.425663315276143,9.12683230622992,12.614253874965152
"Allen FC-like: 2 s, 75 repeats",2,75,15,10.0,1.0,12.643691104765447,11.992493069411461,13.36396429451544
