dataset,psth_samples,welch_nperseg_effective,frequency_resolution_hz,requested_tf_hz,searchsorted_frequency_hz,nearest_frequency_hz
MouseV2,1000,1000,1.0,1.0,1.0,1.0
MouseV2,1000,1000,1.0,2.0,2.0,2.0
MouseV2,1000,1000,1.0,4.0,4.0,4.0
MouseV2,1000,1000,1.0,8.0,8.0,8.0
MouseV2,1000,1000,1.0,15.0,15.0,15.0
Allen,2000,1024,0.9765625,1.0,1.953125,0.9765625
Allen,2000,1024,0.9765625,2.0,2.9296875,1.953125
Allen,2000,1024,0.9765625,4.0,4.8828125,3.90625
Allen,2000,1024,0.9765625,8.0,8.7890625,7.8125
Allen,2000,1024,0.9765625,15.0,15.625,14.6484375
