preference,area,bandwidth_deg,source_units,source_sessions,supported_grid_fraction,surface_median_preference,surface_p10_preference,surface_p90_preference,shared_v1_grid_fraction,median_delta_from_v1_log2,p10_delta_from_v1_log2,p90_delta_from_v1_log2
sf,AL,8,2036,24,0.997026,0.0499157,0.0441183,0.0598474,0.681737,-0.193098,-0.562969,0.00278977
sf,AL,12,2036,24,1,0.0505125,0.0446257,0.0565175,0.94765,-0.200144,-0.474095,0.0374541
sf,AL,16,2036,24,1,0.050439,0.0449557,0.0556348,0.995836,-0.21468,-0.415612,-0.0589263
sf,AM,8,1737,25,0.983343,0.0501371,0.0434625,0.0715436,0.781083,-0.264913,-0.545116,0.192201
sf,AM,12,1737,25,0.999405,0.0494996,0.0449167,0.0661425,0.976205,-0.275598,-0.471871,0.106219
sf,AM,16,1737,25,1,0.0491243,0.0456475,0.0614938,0.99881,-0.286636,-0.426361,0.0102215
sf,HVA pooled,8,7733,31,1,0.0490762,0.0453764,0.0521736,0.851279,-0.298816,-0.525071,-0.139482
sf,HVA pooled,12,7733,31,1,0.0490266,0.0459848,0.0511599,0.989292,-0.281811,-0.453658,-0.211601
sf,HVA pooled,16,7733,31,1,0.0488002,0.0464648,0.05095,1,-0.27972,-0.38053,-0.234462
sf,LM,8,1211,23,0.998215,0.0498527,0.0454308,0.0577282,0.676978,-0.293581,-0.507045,-0.0425721
sf,LM,12,1211,23,1,0.0497324,0.0471965,0.0545723,0.932183,-0.293967,-0.456382,-0.142353
sf,LM,16,1211,23,1,0.0499328,0.0479717,0.0533494,0.992861,-0.284949,-0.394738,-0.166909
sf,PM,8,1107,19,0.76978,0.0536949,0.0468367,0.0631576,0.582391,-0.137574,-0.359253,0.15075
sf,PM,12,1107,19,0.955979,0.0536789,0.0497226,0.0615008,0.92564,-0.131583,-0.258913,0.0653506
sf,PM,16,1107,19,0.994646,0.0531643,0.0511659,0.0586044,0.994051,-0.145486,-0.205708,0.00305506
sf,RL,8,1642,27,0.759667,0.0414526,0.036011,0.0521029,0.585366,-0.659959,-0.789531,-0.267821
sf,RL,12,1642,27,0.971446,0.0417696,0.0384797,0.0528255,0.953599,-0.55121,-0.67862,-0.212204
sf,RL,16,1642,27,1,0.0419233,0.0399798,0.0492695,1,-0.518391,-0.601948,-0.271009
sf,V1,8,3186,31,0.851279,0.0600063,0.0546901,0.0690206,0.851279,0,0,0
sf,V1,12,3186,31,0.989292,0.0599237,0.0570617,0.0648917,0.989292,0,0,0
sf,V1,16,3186,31,1,0.0598139,0.0579256,0.0611094,1,0,0,0
tf,AL,8,2036,24,0.997026,3.10047,2.5624,4.05225,0.681737,0.578489,0.268002,1.00358
tf,AL,12,2036,24,1,3.1198,2.68571,4.0011,0.94765,0.591373,0.286594,0.966963
tf,AL,16,2036,24,1,3.09988,2.7683,3.93545,0.995836,0.623872,0.404057,0.975724
tf,AM,8,1737,25,0.983343,2.80379,2.2448,3.59585,0.781083,0.429937,-0.0265283,0.889027
tf,AM,12,1737,25,0.999405,2.79061,2.33465,3.49618,0.976205,0.409176,0.0688688,0.811651
tf,AM,16,1737,25,1,2.82206,2.39105,3.40578,0.99881,0.463342,0.18512,0.772782
tf,HVA pooled,8,7733,31,1,2.79622,2.4947,3.49973,0.851279,0.412938,0.129536,0.785335
tf,HVA pooled,12,7733,31,1,2.78547,2.54842,3.45795,0.989292,0.44202,0.237094,0.766424
tf,HVA pooled,16,7733,31,1,2.77817,2.60224,3.37152,1,0.471411,0.336159,0.760312
tf,LM,8,1211,23,0.998215,2.58952,2.20315,3.07886,0.676978,0.32498,0.0132616,0.724732
tf,LM,12,1211,23,1,2.5714,2.30615,2.94761,0.932183,0.323835,0.126154,0.634544
tf,LM,16,1211,23,1,2.57377,2.35019,2.8951,0.992861,0.391072,0.192774,0.595959
tf,PM,8,1107,19,0.76978,2.20575,1.95906,2.74385,0.582391,0.179612,-0.0604648,0.497373
tf,PM,12,1107,19,0.955979,2.26369,2.05203,2.68829,0.92564,0.13462,-0.050093,0.4262
tf,PM,16,1107,19,0.994646,2.2504,2.08495,2.5316,0.994051,0.144233,0.00777625,0.369269
tf,RL,8,1642,27,0.759667,3.14237,2.55046,4.01785,0.585366,0.663031,0.187915,1.08796
tf,RL,12,1642,27,0.971446,3.14441,2.68346,3.78452,0.953599,0.624757,0.264505,0.955706
tf,RL,16,1642,27,1,3.16365,2.79847,3.5718,1,0.660626,0.429507,0.862149
tf,V1,8,3186,31,0.851279,2.0432,1.82401,2.56556,0.851279,0,0,0
tf,V1,12,3186,31,0.989292,2.01683,1.86126,2.37326,0.989292,0,0,0
tf,V1,16,3186,31,1,1.99276,1.88099,2.14895,1,0,0,0
