stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,spatial_frequency,temporal_frequency,Speed,x_position,contrast,phase,coherence,y_position,size,Dir,color,frame,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,71.338174,71.571695,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.23352048,1,,,0,,False,0,train,1
2,0.0,71.571695,71.821895,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,2,,,0,,False,0,train,2
3,0.0,71.821895,72.072096,90.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,3,,,0,,False,0,train,2
4,0.0,72.072096,72.322296,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,4,,,0,,False,0,train,2
5,0.0,72.322296,72.572501,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,5,,,0,,False,0,train,1
6,0.0,72.572501,72.822705,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,6,,,0,,False,0,train,2
7,0.0,72.822705,73.07291,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,7,,,0,,False,0,train,1
8,0.0,73.07291,73.323114,45.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020449,8,,,0,,False,0,train,1
9,0.0,73.323114,73.573327,0.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021301,9,,,0,,False,0,train,0
10,0.0,73.573327,73.82354,0.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021301,10,,,0,,False,0,train,0
11,0.0,73.82354,74.073753,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021301,11,,,0,,False,0,train,2
12,0.0,74.073753,74.323966,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021301,12,,,0,,False,0,train,1
13,0.0,74.323966,74.574176,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,13,,,0,,False,0,train,2
14,0.0,74.574176,74.824385,45.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,14,,,0,,False,0,train,1
15,0.0,74.824385,75.074595,0.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,15,,,0,,False,0,train,0
16,0.0,75.074595,75.324804,45.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,16,,,0,,False,0,train,1
17,0.0,75.324804,75.575012,45.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,17,,,0,,False,0,train,1
18,0.0,75.575012,75.82522,45.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,18,,,0,,False,0,train,1
19,0.0,75.82522,76.075428,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,19,,,0,,False,0,train,1
20,0.0,76.075428,76.325636,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,20,,,0,,False,0,train,2
21,0.0,76.325636,76.575848,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,21,,,0,,False,0,train,2
22,0.0,76.575848,76.82606,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,22,,,0,,False,0,train,1
23,0.0,76.82606,77.076272,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,23,,,0,,False,0,train,1
24,0.0,77.076272,77.326484,45.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,24,,,0,,False,0,train,1
25,0.0,77.326484,77.57669,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,25,,,0,,False,0,train,0
26,0.0,77.57669,77.826895,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,26,,,0,,False,0,train,0
27,0.0,77.826895,78.077101,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,2,,,0,,False,1,train,2
28,0.0,78.077101,78.327306,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020551,27,,,0,,False,0,train,0
29,0.0,78.327306,78.577523,45.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,28,,,0,,False,0,train,1
30,0.0,78.577523,78.82774,45.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,29,,,0,,False,0,train,1
31,0.0,78.82774,79.077957,0.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,30,,,0,,False,0,train,0
32,0.0,79.077957,79.328174,45.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021699,31,,,0,,False,0,train,1
33,0.0,79.328174,79.578375,45.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,32,,,0,,False,0,train,1
34,0.0,79.578375,79.828575,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,33,,,0,,False,0,train,2
35,0.0,79.828575,80.078776,90.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,34,,,0,,False,0,train,2
36,0.0,80.078776,80.328976,0.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020051,35,,,0,,False,0,train,0
37,0.0,80.328976,80.579188,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,36,,,0,,False,0,train,2
38,0.0,80.579188,80.8294,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,36,,,0,,False,1,train,2
39,0.0,80.8294,81.079612,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,37,,,0,,False,0,train,2
40,0.0,81.079612,81.329824,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021199,38,,,0,,False,0,train,0
41,0.0,81.329824,81.580032,90.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,39,,,0,,False,0,train,2
42,0.0,81.580032,81.83024,0.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,40,,,0,,False,0,train,0
43,0.0,81.83024,82.080448,90.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,41,,,0,,False,0,train,2
44,0.0,82.080448,82.330656,90.0,0.08,4.0,null,10.0,0.8,"[3644.93333333, 3644.93333333]",null,-20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,42,,,0,,False,0,train,2
45,0.0,82.330656,82.580866,45.0,0.08,4.0,null,40.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,43,,,0,,False,0,train,1
46,0.0,82.580866,82.831075,45.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,23,,,0,,False,1,train,1
47,0.0,82.831075,83.081285,90.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,44,,,0,,False,0,train,2
48,0.0,83.081285,83.331494,0.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020949,25,,,0,,False,1,train,0
49,0.0,83.331494,83.581702,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,45,,,0,,False,0,train,2
50,0.0,83.581702,83.83191,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,46,,,0,,False,0,train,1
51,0.0,83.83191,84.082118,45.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,31,,,0,,False,1,train,1
52,0.0,84.082118,84.332326,90.0,0.08,4.0,null,20.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020801,37,,,0,,False,1,train,2
53,0.0,84.332326,84.582541,0.0,0.08,4.0,null,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,-30.0,"[20.0, 20.0]",null,null,null,gabors,0.25021449,47,,,0,,False,0,train,0
54,0.0,84.582541,84.832755,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021449,48,,,0,,False,0,train,1
55,0.0,84.832755,85.08297,90.0,0.08,4.0,null,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,-10.0,"[20.0, 20.0]",null,null,null,gabors,0.25021449,49,,,0,,False,0,train,2
56,0.0,85.08297,85.333184,90.0,0.08,4.0,null,0.0,0.8,"[3644.93333333, 3644.93333333]",null,-40.0,"[20.0, 20.0]",null,null,null,gabors,0.25021449,45,,,0,,False,1,train,2
57,0.0,85.333184,85.583387,0.0,0.08,4.0,null,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,"[20.0, 20.0]",null,null,null,gabors,0.25020301,50,,,0,,False,0,train,0
58,0.0,85.583387,85.83359,45.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,10.0,"[20.0, 20.0]",null,null,null,gabors,0.25020301,12,,,0,,False,1,train,1
59,0.0,85.83359,86.083793,45.0,0.08,4.0,null,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,20.0,"[20.0, 20.0]",null,null,null,gabors,0.25020301,51,,,0,,False,0,train,1
60,0.0,86.083793,86.333996,90.0,0.08,4.0,null,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,30.0,"[20.0, 20.0]",null,null,null,gabors,0.25020301,52,,,0,,False,0,train,2
