ecephys_unit_id,group,ecephys_structure_acronym,unit_split,candidate,gain_x,gain_y,control,shuffle,success,optimizer_status,center_bound,sigma_upper_bound,censored,baseline_spikes,mean_amplitude_spikes,peak_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,major_sigma_deg,halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,nominal_test_poisson_deviance,nominal_test_anscombe_rmse,nominal_halfmax_area_deg2,nominal_mean_amplitude_spikes,test_deviance_improvement,test_anscombe_rmse_improvement,log2_area_ratio,log2_amplitude_ratio,fit_scope
951868664,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.6778956,1.2666969,3.6483693,-2.5789563,-38.217983,7.2996905,3.9024839,7.2996905,124.06546,1.54652,1.5867943,1.1003693,1.1150248,1.5867943,1.1150248,124.06546,1.2666969,0,0,0,0,gain_sweep_qc
951868664,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.6798879,15.03651,25.561,-4.1418812,-45.937553,10.517851,2.3119104,10.517851,105.9018,1.5441719,1.5787256,1.0995476,1.1110813,1.5867943,1.1150248,124.06546,1.2666969,0.0080687679,0.0039435494,-0.2283744,3.5693254,gain_sweep_qc
951868685,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,6.1345269,3.3213655,9.9974353,-19.935364,38.040963,12.268362,3.7586691,12.268362,200.82881,1.7221628,1.8192503,1.2679469,1.3142329,1.8192503,1.3142329,200.82881,3.3213655,0,0,0,0,gain_sweep_qc
951868685,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,6.1275128,2.9885167,9.5334983,-19.232314,38.383761,13.326615,4.1749854,13.326615,242.31491,1.7222458,1.8193615,1.2678504,1.314267,1.8192503,1.3142329,200.82881,3.3213655,-0.0001111538,-3.4117765e-05,0.27091692,-0.15234685,gain_sweep_qc
951868732,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,4.2472582,6.1884014,12.862359,25.151071,60,25.281358,15.644801,25.281358,1722.5656,3.6977914,2.8575735,1.7973573,1.6599779,2.8575735,1.6599779,1722.5656,6.1884014,0,0,0,0,gain_sweep_qc
951868732,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,4.2432678,5.3003447,11.66376,25.455123,60,25.065904,16.930766,25.065904,1848.2695,3.7025252,2.8580878,1.7984275,1.6600788,2.8575735,1.6599779,1722.5656,6.1884014,-0.00051431726,-0.00010092878,0.10161625,-0.22348057,gain_sweep_qc
951868741,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,2.0643012,11.142774,14.64439,21.275576,59.476509,18.029468,16.477343,18.029468,1293.8247,1.394264,1.4641291,1.077065,1.106361,1.4641291,1.106361,1293.8247,11.142774,0,0,0,0,gain_sweep_qc
951868741,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,2.0650432,8.8020293,11.997441,21.336191,54.883745,18.097417,15.306798,18.097417,1206.4415,1.3986986,1.4646108,1.0790048,1.1066734,1.4641291,1.106361,1293.8247,11.142774,-0.00048168,-0.0003123818,-0.10088416,-0.34020036,gain_sweep_qc
951868760,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,2.6531094,3.3270536,6.3394999,42.197718,44.954905,33.954145,27.366678,33.954145,4046.8789,3.5205511,3.8003079,1.7205483,1.7876986,3.8003079,1.7876986,4046.8789,3.3270536,0,0,0,0,gain_sweep_qc
951868760,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,2.6477468,3.3097621,6.31668,42.221646,44.082326,34.137695,27.097112,34.137695,4028.6778,3.5197869,3.8004511,1.7201477,1.7875611,3.8003079,1.7876986,4046.8789,3.3270536,-0.00014323958,0.00013749214,-0.0065032427,-0.0075175904,gain_sweep_qc
