ecephys_session_id,target_subset,mode,shift_azimuth_deg,shift_elevation_deg,minimum_loss,basin_grid_points_delta_005,at_bound,split_half_vector_difference_deg
744228101,half_0,dispersion,-2.0,-30.0,1.2790434891930647,234,True,19.697715603592208
744228101,half_0,combined,-2.0,-30.0,0.8756261899429938,589,True,19.697715603592208
744228101,half_1,size,30.0,8.0,0.4064102823645668,961,True,45.65084884205331
744228101,half_1,dispersion,-10.0,-12.0,0.6447614049044021,303,False,19.697715603592208
744228101,half_1,combined,-10.0,-12.0,0.5372421266958565,555,False,19.697715603592208
746083955,full,size,-26.0,-22.0,0.4134337246957464,778,False,38.62641583165593
746083955,full,dispersion,10.0,-4.0,0.7119879176218118,242,False,24.73863375370596
746083955,full,combined,10.0,0.0,0.5793474603400252,360,False,20.0
746083955,half_0,size,-30.0,-18.0,0.4961300522144594,587,True,38.62641583165593
746083955,half_0,dispersion,24.0,-8.0,0.9775451105153985,191,False,24.73863375370596
746083955,half_0,combined,20.0,0.0,0.7652411104900099,281,False,20.0
746083955,half_1,size,-16.0,18.0,0.30686462134708015,679,False,38.62641583165593
746083955,half_1,dispersion,0.0,-2.0,0.6943652127911516,218,False,24.73863375370596
746083955,half_1,combined,0.0,0.0,0.5158730083883947,415,False,20.0
750332458,full,size,2.0,30.0,0.3566515999818364,961,True,10.0
750332458,full,dispersion,-16.0,-2.0,0.39503094281951023,196,False,19.79898987322333
750332458,full,combined,-16.0,4.0,0.38137330087397725,355,False,19.79898987322333
750332458,half_0,size,4.0,30.0,0.4068800954090471,961,True,10.0
750332458,half_0,dispersion,-6.0,14.0,0.7559955898449565,197,False,19.79898987322333
750332458,half_0,combined,-6.0,14.0,0.588147551851895,468,False,19.79898987322333
750332458,half_1,size,-6.0,30.0,0.30145601324036053,961,True,10.0
750332458,half_1,dispersion,-20.0,0.0,0.22672530481240138,134,False,19.79898987322333
750332458,half_1,combined,-20.0,0.0,0.2710596281181659,283,False,19.79898987322333
750749662,full,size,-20.0,-20.0,0.46237073659404715,960,False,44.27188724235731
750749662,full,dispersion,-14.0,-14.0,0.3004235135583964,241,False,26.076809620810597
750749662,full,combined,-12.0,-16.0,0.38436369189732245,474,False,28.635642126552707
750749662,half_0,size,14.0,-30.0,0.4137216474792308,921,True,44.27188724235731
750749662,half_0,dispersion,-18.0,4.0,0.3003664075124761,149,False,26.076809620810597
750749662,half_0,combined,-22.0,-18.0,0.36672607274093627,299,False,28.635642126552707
750749662,half_1,size,-28.0,-16.0,0.5023117117854596,961,False,44.27188724235731
750749662,half_1,dispersion,4.0,-10.0,0.4357916145657384,262,False,26.076809620810597
750749662,half_1,combined,4.0,-6.0,0.4747339970710469,435,False,28.635642126552707
751348571,full,size,6.0,30.0,0.3624733296133936,955,True,34.0
751348571,full,dispersion,-18.0,30.0,0.5627347332908597,57,True,4.0
751348571,full,combined,-24.0,30.0,0.4659203456226644,164,True,2.0
751348571,half_0,size,-30.0,30.0,0.3985406492187559,885,True,34.0
751348571,half_0,dispersion,-22.0,30.0,0.527826346596894,51,True,4.0
751348571,half_0,combined,-24.0,30.0,0.46707757415721407,115,True,2.0
751348571,half_1,size,4.0,30.0,0.3101123778333767,954,True,34.0
751348571,half_1,dispersion,-18.0,30.0,0.7723796816782871,56,True,4.0
751348571,half_1,combined,-26.0,30.0,0.5511396297644825,304,True,2.0
754312389,full,size,8.0,-28.0,0.37688854423883844,961,False,22.090722034374522
754312389,full,dispersion,0.0,10.0,0.26018927654319807,352,False,4.47213595499958
754312389,full,combined,0.0,10.0,0.32502443748189114,572,False,4.47213595499958
754312389,half_0,size,8.0,-28.0,0.4002315321107955,961,False,22.090722034374522
754312389,half_0,dispersion,0.0,10.0,0.3043023181238328,347,False,4.47213595499958
754312389,half_0,combined,0.0,10.0,0.35981732798799265,599,False,4.47213595499958
754312389,half_1,size,-14.0,-26.0,0.3507427793515542,947,False,22.090722034374522
754312389,half_1,dispersion,4.0,12.0,0.2548457028606262,306,False,4.47213595499958
754312389,half_1,combined,4.0,12.0,0.3096653479969803,525,False,4.47213595499958
754829445,full,size,26.0,14.0,0.45755799100194083,868,False,2.8284271247461903
754829445,full,dispersion,-30.0,30.0,0.7411012997602751,5,True,0.0
754829445,full,combined,-30.0,30.0,0.6167655109167172,13,True,0.0
754829445,half_0,size,26.0,14.0,0.45408071748317874,737,False,2.8284271247461903
754829445,half_0,dispersion,-30.0,30.0,0.5912024699591579,8,True,0.0
754829445,half_0,combined,-30.0,30.0,0.5380237913913186,27,True,0.0
754829445,half_1,size,28.0,12.0,0.459186011488859,922,False,2.8284271247461903
754829445,half_1,dispersion,-30.0,30.0,0.9871792220623881,4,True,0.0
754829445,half_1,combined,-30.0,30.0,0.7435609232742311,12,True,0.0
755434585,full,size,-30.0,-26.0,0.33534247954461216,961,True,4.47213595499958
755434585,full,dispersion,-6.0,0.0,0.3257103477131585,258,False,12.0
755434585,full,combined,-12.0,-6.0,0.3348282033853691,460,False,12.0
755434585,half_0,size,-26.0,-28.0,0.29198677482217456,961,False,4.47213595499958
755434585,half_0,dispersion,-4.0,-4.0,0.31619135154754835,241,False,12.0
755434585,half_0,combined,-4.0,-4.0,0.3078740195166203,433,False,12.0
755434585,half_1,size,-30.0,-26.0,0.37779213139854145,961,True,4.47213595499958
755434585,half_1,dispersion,-16.0,-4.0,0.4038171838073803,277,False,12.0
755434585,half_1,combined,-16.0,-4.0,0.39778053564213117,491,False,12.0
756029989,full,size,30.0,18.0,0.39281794817356375,961,True,60.530983801686226
756029989,full,dispersion,10.0,-30.0,0.18774171617039884,145,True,20.396078054371138
756029989,full,combined,10.0,-28.0,0.2979221897113802,553,False,20.396078054371138
756029989,half_0,size,30.0,20.0,0.384458039321124,961,True,60.530983801686226
756029989,half_0,dispersion,10.0,-26.0,0.3073965478926819,139,False,20.396078054371138
756029989,half_0,combined,10.0,-26.0,0.34936775383006635,555,False,20.396078054371138
756029989,half_1,size,-30.0,28.0,0.39623426617197816,961,True,60.530983801686226
756029989,half_1,dispersion,30.0,-30.0,0.40591211845287384,8,True,20.396078054371138
756029989,half_1,combined,30.0,-30.0,0.42112015793046076,534,True,20.396078054371138
757216464,full,size,-28.0,-30.0,0.4750539308164967,961,True,60.0
757216464,full,dispersion,-12.0,16.0,0.31775090278622903,174,False,36.05551275463989
757216464,full,combined,-8.0,16.0,0.4014334446348803,439,False,43.86342439892262
757216464,half_0,size,-28.0,-30.0,0.5229020993492759,961,True,60.0
757216464,half_0,dispersion,-24.0,-6.0,0.2585634396456368,132,False,36.05551275463989
757216464,half_0,combined,-22.0,-16.0,0.3959288349528431,281,False,43.86342439892262
757216464,half_1,size,8.0,18.0,0.4240791851894116,961,False,60.0
757216464,half_1,dispersion,-4.0,24.0,0.795405743573094,184,False,36.05551275463989
757216464,half_1,combined,-4.0,24.0,0.6109311830072518,448,False,43.86342439892262
757970808,full,size,-2.0,16.0,0.39642027309127825,961,False,41.7612260356422
757970808,full,dispersion,-2.0,2.0,0.26975820634425174,238,False,18.867962264113206
757970808,full,combined,-2.0,8.0,0.3346058359944001,413,False,18.867962264113206
757970808,half_0,size,-20.0,-28.0,0.37958362755606656,961,False,41.7612260356422
757970808,half_0,dispersion,8.0,16.0,0.20630525535210997,520,False,18.867962264113206
