ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
773418906,V1,sf,raw,0.804411,0.612594,374,1
773418906,V1,tf,raw,-0.919662,0.157886,364,1
773418906,HVA pooled,sf,raw,0.190361,0.210921,920,1
773418906,HVA pooled,tf,raw,-0.00247461,0.378132,1051,1
791319847,V1,sf,raw,0.927415,0.323062,488,1
791319847,V1,tf,raw,0.54559,0.135543,502,1
791319847,HVA pooled,sf,raw,0.168618,0.289909,1231,1
791319847,HVA pooled,tf,raw,0.36653,0.540719,1274,1
797828357,V1,sf,raw,0.715927,0.0660027,410,0.987952
797828357,V1,tf,raw,-0.733028,0.322978,477,1
797828357,HVA pooled,sf,raw,-0.0984334,0.33164,483,1
797828357,HVA pooled,tf,raw,-0.0158693,0.341098,1035,1
798911424,V1,sf,raw,0.79392,0.0935888,467,1
798911424,V1,tf,raw,0.760983,0.174294,491,1
798911424,HVA pooled,sf,raw,0.48866,0.316559,1534,1
798911424,HVA pooled,tf,raw,0.328475,0.296353,1635,1
799864342,V1,sf,raw,0.603366,0.347693,465,1
799864342,V1,tf,raw,0.445966,0.136563,475,1
799864342,HVA pooled,sf,raw,0.148888,0.254447,1029,1
799864342,HVA pooled,tf,raw,0.855378,0.468745,1153,1
715093703,V1,sf,v1_rf_center_translation,-0.402928,0.245223,446,1
715093703,V1,tf,v1_rf_center_translation,0.938259,0.128541,459,1
715093703,HVA pooled,sf,v1_rf_center_translation,0.312066,0.169312,1161,1
715093703,HVA pooled,tf,v1_rf_center_translation,0.513998,0.341773,1227,1
719161530,V1,sf,v1_rf_center_translation,0.177732,0.299406,324,1
719161530,V1,tf,v1_rf_center_translation,0.840433,0.128136,353,1
719161530,HVA pooled,sf,v1_rf_center_translation,0.111802,0.2766,553,1
719161530,HVA pooled,tf,v1_rf_center_translation,0.312947,0.548591,629,1
721123822,V1,sf,v1_rf_center_translation,-0.00440649,0.179372,310,1
721123822,V1,tf,v1_rf_center_translation,0.913136,0.0857686,400,1
721123822,HVA pooled,sf,v1_rf_center_translation,0.317519,0.25346,1444,1
721123822,HVA pooled,tf,v1_rf_center_translation,0.377303,0.438048,1454,1
732592105,V1,sf,v1_rf_center_translation,0.402156,0.054426,528,0.992481
732592105,V1,tf,v1_rf_center_translation,0.107032,0.0902109,563,1
732592105,HVA pooled,sf,v1_rf_center_translation,-0.0979867,0.269772,1194,1
732592105,HVA pooled,tf,v1_rf_center_translation,0.525435,0.353828,1339,1
737581020,V1,sf,v1_rf_center_translation,-0.674725,0.331856,406,1
737581020,V1,tf,v1_rf_center_translation,0.935333,0.107968,418,1
737581020,HVA pooled,sf,v1_rf_center_translation,-0.120651,0.262843,290,1
737581020,HVA pooled,tf,v1_rf_center_translation,0.818912,0.154955,317,1
739448407,V1,sf,v1_rf_center_translation,0.477146,0.348235,303,1
739448407,V1,tf,v1_rf_center_translation,-0.201418,0.220241,305,1
739448407,HVA pooled,sf,v1_rf_center_translation,-0.491728,0.373936,598,1
739448407,HVA pooled,tf,v1_rf_center_translation,0.445182,0.270465,573,1
742951821,V1,sf,v1_rf_center_translation,0.19888,0.17394,339,1
742951821,V1,tf,v1_rf_center_translation,0.936243,0.129198,370,1
742951821,HVA pooled,sf,v1_rf_center_translation,0.206158,0.469933,929,1
742951821,HVA pooled,tf,v1_rf_center_translation,0.00275758,0.338657,1021,1
744228101,V1,sf,v1_rf_center_translation,-0.0727788,0.252076,312,1
744228101,V1,tf,v1_rf_center_translation,0.915266,0.612289,382,1
744228101,HVA pooled,sf,v1_rf_center_translation,0.144352,0.243189,420,1
744228101,HVA pooled,tf,v1_rf_center_translation,0.291546,0.428477,676,1
746083955,V1,sf,v1_rf_center_translation,-0.63774,0.319076,272,1
746083955,V1,tf,v1_rf_center_translation,0.0631309,0.130065,290,1
746083955,HVA pooled,sf,v1_rf_center_translation,-0.195874,0.17244,756,1
746083955,HVA pooled,tf,v1_rf_center_translation,-0.475691,0.303034,874,1
750332458,V1,sf,v1_rf_center_translation,0.030167,0.133255,476,1
750332458,V1,tf,v1_rf_center_translation,0.767619,0.0991278,506,1
750332458,HVA pooled,sf,v1_rf_center_translation,0.0008013,0.209263,947,1
750332458,HVA pooled,tf,v1_rf_center_translation,0.418262,0.547423,988,1
750749662,V1,sf,v1_rf_center_translation,-0.565811,0.798298,391,1
750749662,V1,tf,v1_rf_center_translation,0.921638,0.237393,437,1
750749662,HVA pooled,sf,v1_rf_center_translation,-0.156023,0.150238,1034,1
750749662,HVA pooled,tf,v1_rf_center_translation,0.16996,0.564339,1153,1
751348571,V1,sf,v1_rf_center_translation,-0.805408,0.683453,367,1
751348571,V1,tf,v1_rf_center_translation,0.825186,0.309875,425,1
751348571,HVA pooled,sf,v1_rf_center_translation,-0.150968,0.287014,1048,1
751348571,HVA pooled,tf,v1_rf_center_translation,0.273675,0.459842,1173,1
754312389,V1,sf,v1_rf_center_translation,0.398868,0.323582,525,1
754312389,V1,tf,v1_rf_center_translation,0.94552,0.0788169,555,1
754312389,HVA pooled,sf,v1_rf_center_translation,0.0693165,0.21722,833,1
754312389,HVA pooled,tf,v1_rf_center_translation,0.848331,0.326023,1125,1
754829445,V1,sf,v1_rf_center_translation,-0.336062,0.322806,617,0.956589
754829445,V1,tf,v1_rf_center_translation,0.420009,0.323547,631,0.938988
754829445,HVA pooled,sf,v1_rf_center_translation,0.719199,0.802414,68,1
754829445,HVA pooled,tf,v1_rf_center_translation,-0.304801,0.248245,274,1
755434585,V1,sf,v1_rf_center_translation,-0.677563,0.166149,511,1
755434585,V1,tf,v1_rf_center_translation,0.363369,0.0708057,502,1
755434585,HVA pooled,sf,v1_rf_center_translation,0.194651,0.23955,1414,1
755434585,HVA pooled,tf,v1_rf_center_translation,0.233114,0.298546,1436,1
756029989,V1,sf,v1_rf_center_translation,0.135034,0.271886,409,1
756029989,V1,tf,v1_rf_center_translation,0.886694,0.171949,460,1
756029989,HVA pooled,sf,v1_rf_center_translation,-0.177864,0.425274,1252,1
756029989,HVA pooled,tf,v1_rf_center_translation,0.769336,0.297178,1286,1
757216464,V1,sf,v1_rf_center_translation,0.635152,0.323742,508,0.996078
757216464,V1,tf,v1_rf_center_translation,0.665056,0.166513,527,1
757216464,HVA pooled,sf,v1_rf_center_translation,-0.419188,0.290596,1148,1
757216464,HVA pooled,tf,v1_rf_center_translation,0.20855,0.452094,1289,1
757970808,V1,sf,v1_rf_center_translation,0.406243,0.358644,505,1
757970808,V1,tf,v1_rf_center_translation,-0.471679,0.170397,516,1
757970808,HVA pooled,sf,v1_rf_center_translation,0.0459327,0.209329,877,1
757970808,HVA pooled,tf,v1_rf_center_translation,0.911988,0.330995,987,1
758798717,V1,sf,v1_rf_center_translation,-0.141502,0.13157,412,1
758798717,V1,tf,v1_rf_center_translation,0.809978,0.0627863,454,1
758798717,HVA pooled,sf,v1_rf_center_translation,-0.0757129,0.216772,1104,1
758798717,HVA pooled,tf,v1_rf_center_translation,0.468078,0.344076,1219,1
759883607,V1,sf,v1_rf_center_translation,0.384111,0.378753,431,1
759883607,V1,tf,v1_rf_center_translation,-0.345836,0.204361,453,1
759883607,HVA pooled,sf,v1_rf_center_translation,0.267747,0.314573,1063,1
759883607,HVA pooled,tf,v1_rf_center_translation,0.345878,0.489902,1113,1
760345702,V1,sf,v1_rf_center_translation,0.253674,0.317615,449,1
760345702,V1,tf,v1_rf_center_translation,0.842044,0.0876654,472,1
760345702,HVA pooled,sf,v1_rf_center_translation,0.482018,0.209139,1160,1
