ecephys_session_id,v1_rf_center_azimuth_deg,v1_rf_center_elevation_deg,v1_rf_units,v1_rf_probes,reference_azimuth_deg,reference_elevation_deg,translation_azimuth_deg,translation_elevation_deg
715093703,50,-7.5,93,1,50,8.5415,0,16.0415
719161530,76.667,5,82,1,50,8.5415,-26.667,3.5415
721123822,55,5,58,1,50,8.5415,-5,3.5415
732592105,55,15,154,1,50,8.5415,-5,-6.4585
737581020,56.667,13.333,85,1,50,8.5415,-6.667,-4.7915
739448407,28.2855,18.333,40,1,50,8.5415,21.7145,-9.7915
742951821,65,5,81,1,50,8.5415,-15,3.5415
744228101,65,15,56,1,50,8.5415,-15,-6.4585
746083955,30,11.667,45,1,50,8.5415,20,-3.1255
750332458,46.667,15,103,1,50,8.5415,3.333,-6.4585
750749662,53.333,15,92,1,50,8.5415,-3.333,-6.4585
751348571,55,0,74,1,50,8.5415,-5,8.5415
754312389,45,5,144,1,50,8.5415,5,3.5415
754829445,65,5,141,2,50,8.5415,-15,3.5415
755434585,56.667,5,141,1,50,8.5415,-6.667,3.5415
756029989,54.5,2.5,90,1,50,8.5415,-4.5,6.0415
757216464,50,15,149,1,50,8.5415,0,-6.4585
757970808,31.667,8.5415,148,1,50,8.5415,18.333,0
758798717,46.667,13.333,83,1,50,8.5415,3.333,-4.7915
759883607,43.333,9.4735,90,1,50,8.5415,6.667,-0.932
760345702,45,0,92,1,50,8.5415,5,8.5415
760693773,45,0,153,1,50,8.5415,5,8.5415
761418226,30,3.452,58,1,50,8.5415,20,5.0895
762120172,46.667,5,127,1,50,8.5415,3.333,3.5415
762602078,35,22,106,1,50,8.5415,15,-13.4585
763673393,36.667,5,104,1,50,8.5415,13.333,3.5415
773418906,52.857,14,99,1,50,8.5415,-2.857,-5.4585
791319847,56.667,5,127,1,50,8.5415,-6.667,3.5415
797828357,63.333,15,117,1,50,8.5415,-13.333,-6.4585
798911424,56.667,14,127,1,50,8.5415,-6.667,-5.4585
799864342,50,15,127,1,50,8.5415,0,-6.4585
