ecephys_session_id,interior_v1_units,supported_grid_points,supported_grid_fraction,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound
715093703,61,371,0.386056,interior_v1_rf_size_translation,-19.9998,-9.36016,0,0,0,0,1.15675,0.527557,0.629197,-0.156754,0.667485,0,0.5,True
719161530,15,186,0.193548,interior_v1_rf_size_translation,-15.4725,-2.21787,0,0,0,0,0.959518,0.415516,0.544002,0.0404822,0.682211,1.5,2.5,False
721123822,47,492,0.511967,interior_v1_rf_size_translation,18.6745,6.66662,0,0,0,0,0.478128,0.367059,0.111069,0.522681,0.790214,21.5,1.5,False
732592105,136,722,0.751301,interior_v1_rf_size_translation,19.9837,-9.33346,0,0,0,0,1.6709,0.822203,0.848693,-0.670896,0.372382,0,1.5,True
737581020,76,530,0.551509,interior_v1_rf_size_translation,-17.3337,17.83,0,0,0,0,1.82869,0.699672,1.12901,-0.828686,0.547675,0.5,2,False
739448407,16,251,0.261186,interior_v1_rf_size_translation,3.45126,6.73831,0,0,0,0,0.774489,0.291274,0.483215,0.225511,0.731653,2,5.5,False
742951821,62,329,0.342352,interior_v1_rf_size_translation,-8.00012,0.00722308,0,0,0,0,1.31695,0.564159,0.752788,-0.311622,0.461442,,2.5,False
744228101,39,336,0.349636,interior_v1_rf_size_translation,6.66679,-18.6948,0,0,0,0,1.58152,0.777645,0.803879,-0.581524,0.379933,15,2.5,False
746083955,21,244,0.253902,interior_v1_rf_size_translation,-9.78416,6.66666,0,0,0,0,1.04697,0.359502,0.687472,-0.0469738,0.696567,1,1.5,False
750332458,89,647,0.673257,interior_v1_rf_size_translation,9.39766,-2.66805,0,0,0,0,0.554215,0.221385,0.33283,0.445785,0.816789,4,1.5,False
750749662,80,653,0.679501,interior_v1_rf_size_translation,1.33446,19.9893,0,0,0,0,1.12928,0.554637,0.574639,-0.129276,0.605905,2,1.5,True
751348571,62,571,0.594173,interior_v1_rf_size_translation,-1.33382,4.00163,0,0,0,0,0.36456,0.147632,0.216928,0.63579,0.859485,1.5,2.5,False
754312389,127,739,0.768991,interior_v1_rf_size_translation,-19.9961,-6.2142,0,0,0,0,1.21341,0.747759,0.465648,-0.212598,0.427624,0.5,4,True
754829445,85,771,0.802289,interior_v1_rf_size_translation,2.66894,0.000409016,0,0,0,0,0.364121,0.208462,0.155658,0.635879,0.794387,1,3,False
755434585,125,664,0.690947,interior_v1_rf_size_translation,-0.038314,5.33337,0,0,0,0,0.493875,0.389286,0.10459,0.507024,0.622093,1,4.5,False
756029989,78,548,0.570239,interior_v1_rf_size_translation,20,-18.4453,0,0,0,0,1.65628,0.507689,1.14859,-0.655551,0.788402,0.5,3,True
757216464,122,721,0.75026,interior_v1_rf_size_translation,3.10158,-6.66668,0,0,0,0,0.767263,0.344974,0.422289,0.232737,0.676652,1,3,False
757970808,89,481,0.50052,interior_v1_rf_size_translation,-17.3333,3.13053,0,0,0,0,0.853209,0.38363,0.469579,0.148441,0.740468,3.5,4,False
758798717,68,596,0.620187,interior_v1_rf_size_translation,-19.9909,-2.01543,0,0,0,0,0.733227,0.461007,0.27222,0.266773,0.700472,0.5,5.5,True
759883607,78,534,0.555671,interior_v1_rf_size_translation,14.6367,-1.33335,0,0,0,0,0.531246,0.385854,0.145393,0.468754,0.700551,3.5,0.5,False
760345702,83,538,0.559834,interior_v1_rf_size_translation,7.96247,1.40121,0,0,0,0,0.605012,0.377236,0.227776,0.394988,0.64891,6,5,False
760693773,129,710,0.738814,interior_v1_rf_size_translation,3.99802,0.000448662,0,0,0,0,0.61951,0.433291,0.186219,0.38049,0.573103,1.5,2.5,False
761418226,27,238,0.247659,interior_v1_rf_size_translation,12.0001,-17.3352,0,0,0,0,1.4016,0.568016,0.833584,-0.400764,0.609788,1,2,False
762120172,108,675,0.702393,interior_v1_rf_size_translation,-14.564,5.3334,0,0,0,0,0.750814,0.441167,0.309647,0.249186,0.655055,8.5,2.5,False
762602078,68,433,0.450572,interior_v1_rf_size_translation,3.99996,-16.9859,0,0,0,0,0.857206,0.28889,0.568316,0.142794,0.832918,2,2,False
763673393,76,558,0.580645,interior_v1_rf_size_translation,-19.9994,-11.9986,0,0,0,0,1.60203,0.865264,0.736768,-0.601319,0.352312,0,1,True
773418906,87,632,0.657648,interior_v1_rf_size_translation,2.39782,-2.66666,0,0,0,0,0.497193,0.408881,0.0883125,0.502807,0.596263,12,3,False
791319847,106,670,0.69719,interior_v1_rf_size_translation,-0.000564619,14.6836,0,0,0,0,0.63569,0.403515,0.232175,0.364608,0.682728,3.5,2,False
797828357,77,592,0.616025,interior_v1_rf_size_translation,0.0637315,-16,0,0,0,0,0.838276,0.489717,0.348559,0.161724,0.612685,1.5,2.5,False
798911424,112,741,0.771072,interior_v1_rf_size_translation,-1.33378,1.33672,0,0,0,0,0.498808,0.421651,0.077157,0.501998,0.579775,0,2.5,False
799864342,108,726,0.755463,interior_v1_rf_size_translation,-19.9992,-4.00234,0,0,0,0,1.06004,0.525132,0.534904,-0.0600364,0.641262,0,2,True
