stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
421,0.0,189.89,190.14023,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25022302,144,,,0,,False,3,train,1
422,0.0,190.14023,190.39045,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022302,42,,,0,,False,1,train,1
423,0.0,190.39045,190.64067,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25022302,161,,,0,,False,2,test,0
424,0.0,190.64067,190.8909,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,90.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022302,206,,,0,,False,1,train,2
425,0.0,190.8909,191.14109,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,45.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25019698,73,,,0,,False,2,test,1
426,0.0,191.14109,191.39129,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019698,71,,,0,,False,2,test,0
427,0.0,191.39129,191.64149,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,90.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25019698,134,,,0,,False,1,train,2
428,0.0,191.64149,191.89168,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019698,194,,,0,,False,2,test,0
429,0.0,191.89168,192.1419,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022052,168,,,0,,False,4,train,1
430,0.0,192.1419,192.39212,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,15,,,0,,False,2,test,0
431,0.0,192.39212,192.64234,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022052,203,,,0,,False,1,train,2
432,0.0,192.64234,192.89257,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,90.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022052,210,,,0,,False,0,train,2
433,0.0,192.89257,193.14276,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019698,173,,,0,,False,1,train,0
434,0.0,193.14276,193.39296,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25019698,177,,,0,,False,1,train,0
