iteration,ecephys_session_id,objective,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,determinant,minimum_singular_value,maximum_singular_value
1,715093703,0.684488,-14.9865,8.06666,1.22808,-0.0215706,0.0845948,-0.0360006,0.829004,0.833869,0.994165
1,719161530,0.36521,-12.5571,-3.23947,2.60703,-0.122703,-0.148065,0.109317,1.06008,0.950718,1.11503
1,721123822,0.762542,3.88497,-14.9429,-11.1976,-0.159372,-0.131308,0.0901405,0.726637,0.82892,0.876607
1,732592105,0.669465,-6.61001,-9.55609,10.7879,-0.112585,0.118576,-0.102673,0.755909,0.831732,0.908837
1,737581020,0.681942,-10.5645,14.9956,4.53468,0.00195453,0.128901,-0.0935965,0.795175,0.850918,0.934491
1,739448407,0.539261,8.33198,-4.78418,11.9315,-0.161734,-0.135951,0.0720784,0.841338,0.83556,1.00692
1,742951821,0.402595,-12.8792,4.57246,9.95342,-0.16,0.127546,0.0601472,0.978241,0.852391,1.14764
1,744228101,0.672315,-14.1606,-10.1468,-11.7784,0.130041,-0.162519,0.12,0.785609,0.842513,0.932458
1,746083955,0.927457,-7.88389,-14.7503,11.6836,-0.133721,-0.10803,-0.0497986,0.823354,0.838523,0.981909
1,750332458,0.819016,-1.50546,-13.8831,7.51753,-0.161818,0.0287954,-0.0337667,0.762945,0.834647,0.914093
1,750749662,0.807862,2.06695,-14.3916,-11.5319,0.118737,-0.147083,0.0612097,1.0553,0.935349,1.12824
1,751348571,0.963024,-14.6242,-7.49348,11.5696,0.0880389,-0.0135988,-0.102562,1.17235,1.01644,1.1534
1,754312389,0.254171,4.00042,9.36265,10.2177,-0.15271,-0.0972582,-0.0146797,0.856357,0.853032,1.0039
1,754829445,0.85254,-13.5781,-11.2177,11.7497,0.131231,0.00861574,-0.105803,1.18754,1.05348,1.12725
1,755434585,0.621045,-6.86399,14.8151,5.22042,-0.160643,-0.10569,-0.0755933,0.81093,0.842601,0.962413
1,756029989,0.442717,3.56399,10.0835,-6.0476,-0.0265594,-0.0528564,-0.0495479,0.792923,0.859845,0.922169
1,757216464,0.67825,-13.0503,-9.3465,0.458025,-0.162333,-0.162519,-0.0558702,0.723608,0.822803,0.879442
1,757970808,0.650722,-4.41205,10.7422,-7.01929,0.139762,-0.11424,-0.0361274,0.73812,0.811493,0.909582
