stimulus_presentation_id,stimulus_block,start_time,stop_time,coherence,frame,temporal_frequency,spatial_frequency,contrast,y_position,x_position,stimulus_name,color,size,phase,Dir,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.375849,75.609372,null,null,4.0,0.08,0.8,-30.0,-40.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.23352296,1,,,0,,False,0,train,0
2,0.0,75.609372,75.859575,null,null,4.0,0.08,0.8,-20.0,-30.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25020317,2,,,0,,False,0,train,0
3,0.0,75.859575,76.109778,null,null,4.0,0.08,0.8,-40.0,40.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,45.0,0.25020317,3,,,0,,False,0,train,1
4,0.0,76.109778,76.359981,null,null,4.0,0.08,0.8,40.0,10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,45.0,0.25020317,4,,,0,,False,0,train,1
5,0.0,76.359981,76.610188,null,null,4.0,0.08,0.8,-30.0,20.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25020688,5,,,0,,False,0,train,0
6,0.0,76.610188,76.860395,null,null,4.0,0.08,0.8,10.0,-10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,45.0,0.25020688,6,,,0,,False,0,train,1
7,0.0,76.860395,77.110602,null,null,4.0,0.08,0.8,10.0,-30.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25020688,7,,,0,,False,0,train,0
8,0.0,77.110602,77.360809,null,null,4.0,0.08,0.8,40.0,-10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020688,8,,,0,,False,0,train,2
9,0.0,77.360809,77.611017,null,null,4.0,0.08,0.8,40.0,40.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020812,9,,,0,,False,0,train,2
10,0.0,77.611017,77.861225,null,null,4.0,0.08,0.8,30.0,30.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020812,10,,,0,,False,0,train,2
11,0.0,77.861225,78.111433,null,null,4.0,0.08,0.8,40.0,30.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020812,11,,,0,,False,0,train,2
12,0.0,78.111433,78.361641,null,null,4.0,0.08,0.8,40.0,30.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020812,11,,,0,,False,1,train,2
13,0.0,78.361641,78.611853,null,null,4.0,0.08,0.8,-20.0,40.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,45.0,0.25021188,12,,,0,,False,0,train,1
14,0.0,78.611853,78.862065,null,null,4.0,0.08,0.8,40.0,10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25021188,13,,,0,,False,0,train,2
15,0.0,78.862065,79.112277,null,null,4.0,0.08,0.8,40.0,-10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25021188,14,,,0,,False,0,train,0
16,0.0,79.112277,79.362489,null,null,4.0,0.08,0.8,-40.0,40.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25021188,15,,,0,,False,0,train,0
17,0.0,79.362489,79.612697,null,null,4.0,0.08,0.8,10.0,-10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25020812,16,,,0,,False,0,train,0
18,0.0,79.612697,79.862905,null,null,4.0,0.08,0.8,30.0,-20.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,0.0,0.25020812,17,,,0,,False,0,train,0
19,0.0,79.862905,80.113113,null,null,4.0,0.08,0.8,-10.0,10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020812,18,,,0,,False,0,train,2
20,0.0,80.113113,80.363321,null,null,4.0,0.08,0.8,30.0,10.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,45.0,0.25020812,19,,,0,,False,0,train,1
21,0.0,80.363321,80.613531,null,null,4.0,0.08,0.8,20.0,0.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020938,20,,,0,,False,0,train,2
22,0.0,80.613531,80.86374,null,null,4.0,0.08,0.8,10.0,-20.0,gabors,null,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,null,90.0,0.25020938,21,,,0,,False,0,train,2
