site,subject_id,probe,metric,raw_units,joined_units,default_qc_units,metric_finite_units,current_unfiltered_valid_units,current_qc_valid_units
site2,816305,A,ttfs,743,743,318,683,456,214
site2,816305,A,f1_f0,743,743,318,735,735,318
site2,816305,A,timescale,743,743,318,743,111,34
site2,816305,B,ttfs,641,641,350,566,332,209
site2,816305,B,f1_f0,641,641,350,638,638,350
site2,816305,B,timescale,641,641,350,641,153,85
site2,816305,C,ttfs,855,855,431,774,521,302
site2,816305,C,f1_f0,855,855,431,846,846,431
site2,816305,C,timescale,855,855,431,855,196,103
site2,816305,E,ttfs,493,493,230,451,280,149
site2,816305,E,f1_f0,493,493,230,488,488,230
site2,816305,E,timescale,493,493,230,493,51,23
site3,810531,A,ttfs,565,565,341,553,339,230
site3,810531,A,f1_f0,565,565,341,565,565,341
site3,810531,A,timescale,565,565,341,565,109,72
site3,810531,B,ttfs,554,554,341,531,292,192
site3,810531,B,f1_f0,554,554,341,554,554,341
site3,810531,B,timescale,554,554,341,554,73,49
site3,810531,C,ttfs,567,567,365,556,345,235
site3,810531,C,f1_f0,567,567,365,567,567,365
site3,810531,C,timescale,567,567,365,567,156,100
site3,810531,E,ttfs,565,565,362,540,335,242
site3,810531,E,f1_f0,565,565,362,564,564,362
site3,810531,E,timescale,565,565,362,565,89,49
site4,810532,A,ttfs,617,617,345,605,398,258
site4,810532,A,f1_f0,617,617,345,617,617,345
site4,810532,A,timescale,617,617,345,617,124,68
site4,810532,B,ttfs,610,610,349,597,384,228
site4,810532,B,f1_f0,610,610,349,610,610,349
site4,810532,B,timescale,610,610,349,610,122,64
site4,810532,C,ttfs,512,512,230,455,264,145
site4,810532,C,f1_f0,512,512,230,500,500,230
site4,810532,C,timescale,512,512,230,512,126,48
site4,810532,E,ttfs,463,463,252,450,311,188
site4,810532,E,f1_f0,463,463,252,463,463,252
site4,810532,E,timescale,463,463,252,463,100,44
site5,813810,A,ttfs,757,757,358,736,491,259
site5,813810,A,f1_f0,757,757,358,756,756,358
site5,813810,A,timescale,757,757,358,757,167,106
site5,813810,B,ttfs,695,695,441,685,429,292
site5,813810,B,f1_f0,695,695,441,695,695,441
site5,813810,B,timescale,695,695,441,695,208,135
site5,813810,C,ttfs,866,866,516,830,562,337
site5,813810,C,f1_f0,866,866,516,862,862,516
site5,813810,C,timescale,866,866,516,866,253,136
site5,813810,E,ttfs,678,678,396,664,433,274
site5,813810,E,f1_f0,678,678,396,678,678,396
site5,813810,E,timescale,678,678,396,678,207,102
site6,815152,A,ttfs,609,609,320,567,358,203
site6,815152,A,f1_f0,609,609,320,604,604,320
site6,815152,A,timescale,609,609,320,609,144,72
site6,815152,B,ttfs,618,618,334,550,338,195
site6,815152,B,f1_f0,618,618,334,616,616,334
site6,815152,B,timescale,618,618,334,618,144,73
site6,815152,C,ttfs,612,612,275,544,348,175
site6,815152,C,f1_f0,612,612,275,612,612,275
site6,815152,C,timescale,612,612,275,612,145,64
site6,815152,E,ttfs,514,514,280,475,275,172
site6,815152,E,f1_f0,514,514,280,513,513,280
site6,815152,E,timescale,514,514,280,514,73,34
site7,816308,A,ttfs,553,553,321,530,371,214
site7,816308,A,f1_f0,553,553,321,552,552,321
site7,816308,A,timescale,553,553,321,553,182,95
site7,816308,B,ttfs,608,608,321,589,405,247
site7,816308,B,f1_f0,608,608,321,607,607,321
site7,816308,B,timescale,608,608,321,608,207,120
site7,816308,C,ttfs,818,818,538,769,560,382
site7,816308,C,f1_f0,818,818,538,816,816,538
site7,816308,C,timescale,818,818,538,818,291,155
site7,816308,E,ttfs,533,533,359,513,367,250
site7,816308,E,f1_f0,533,533,359,533,533,359
site7,816308,E,timescale,533,533,359,533,141,86
site8,817334,A,ttfs,721,721,359,683,420,236
site8,817334,A,f1_f0,721,721,359,720,720,359
site8,817334,A,timescale,721,721,359,721,142,73
site8,817334,B,ttfs,718,718,286,619,366,167
site8,817334,B,f1_f0,718,718,286,714,714,286
site8,817334,B,timescale,718,718,286,718,95,38
site8,817334,C,ttfs,837,837,380,747,414,232
site8,817334,C,f1_f0,837,837,380,829,829,380
site8,817334,C,timescale,837,837,380,837,64,39
site8,817334,E,ttfs,649,649,307,610,402,199
site8,817334,E,f1_f0,649,649,307,647,647,307
site8,817334,E,timescale,649,649,307,649,110,44
site9,817335,A,ttfs,554,554,323,546,346,211
site9,817335,A,f1_f0,554,554,323,554,554,323
site9,817335,A,timescale,554,554,323,554,137,86
site9,817335,B,ttfs,611,611,378,594,363,241
site9,817335,B,f1_f0,611,611,378,611,611,378
site9,817335,B,timescale,611,611,378,611,138,84
site9,817335,C,ttfs,609,609,411,579,325,234
site9,817335,C,f1_f0,609,609,411,606,606,411
site9,817335,C,timescale,609,609,411,609,175,112
site9,817335,E,ttfs,629,629,425,617,392,275
site9,817335,E,f1_f0,629,629,425,629,629,425
site9,817335,E,timescale,629,629,425,629,165,90
