site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site2,2,816305,A,72.0909090909091,209,-0.10753077090715046,318,41.03347555869573,38,743,143,318,143,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,1.5,0.3006993006993007,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,B,69.56862745098039,204,-0.09417354608694292,350,36.240255958190154,71,641,160,350,160,10.0,10.0,20.0,15.0,10.0,20.0,1.0166666666666666,0.34375,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,C,70.26027397260275,292,-0.15569948653879778,431,35.77623794036894,85,855,175,431,175,0.0,-10.0,0.0,10.0,0.0,20.0,1.1,0.5028571428571429,-10.0,10.0,-10.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,E,72.80067567567568,148,-0.19334124946152956,230,48.2141390679759,22,493,78,230,78,-20.0,-20.0,-10.0,0.0,0.0,5.0,2.3,0.3333333333333333,-10.0,0.0,-15.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,A,73.72127659574468,235,-0.13667547094203997,341,47.02869603235337,56,565,160,341,160,-10.0,-20.0,0.0,-20.0,-20.0,-20.0,1.5666666666666669,0.38125,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,B,70.17567567567568,185,-0.008933213119962384,341,43.46428295741271,57,554,167,341,167,20.0,20.0,30.0,0.0,0.0,0.0,1.1666666666666667,0.3233532934131736,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,C,72.7741935483871,248,-0.07041085540732143,365,45.01236483753723,73,567,161,365,161,-10.0,-10.0,0.0,20.0,20.0,20.0,1.6333333333333333,0.2795031055900621,-10.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,E,74.63842975206612,242,-0.12413961068252369,362,48.54398579965071,57,565,150,362,150,-20.0,-30.0,0.0,-10.0,-10.0,-10.0,1.2166666666666668,0.4866666666666667,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,A,71.81150793650794,252,-0.07193647101392196,345,44.98561693905436,54,617,161,345,161,-10.0,-10.0,0.0,-20.0,-30.0,-20.0,1.4666666666666666,0.5279503105590062,0.0,-20.0,-10.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,B,69.2311111111111,225,-0.0723727311275308,349,45.11832608462141,60,610,167,349,167,30.0,20.0,30.0,-10.0,-10.0,0.0,1.1333333333333333,0.6586826347305389,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,C,74.28776978417267,139,-0.17656644071410504,230,46.219912515582216,37,512,79,230,79,0.0,-10.0,0.0,10.0,10.0,20.0,1.15,0.2658227848101265,0.0,20.0,-10.0,15.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,E,71.3678756476684,193,-0.1570342231703853,252,40.39225071714057,40,463,80,252,80,-15.0,-20.0,10.0,0.0,-10.0,10.0,2.783333333333333,0.425,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,A,73.302734375,256,-0.07894377628646347,358,42.77258829549093,88,757,176,358,176,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.3166666666666669,0.3409090909090909,-20.0,-20.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,B,68.0993031358885,287,-0.0239793824438996,441,34.146797586267205,106,695,233,441,233,30.0,30.0,40.0,0.0,0.0,0.0,1.0333333333333334,0.6008583690987125,30.0,0.0,30.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,C,69.91692307692308,325,-0.05942159282108683,516,38.63529356436843,95,866,240,516,240,0.0,0.0,0.0,20.0,20.0,30.0,1.0750000000000002,0.4041666666666667,0.0,20.0,0.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
