stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,contrast,coherence,x_position,size,temporal_frequency,orientation,phase,Dir,spatial_frequency,y_position,frame,color,Speed,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3114,0.0,847.47183,847.72204,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020952,128,,,0,,False,13,train,0
3115,0.0,847.72204,847.97224,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020952,99,,,0,,False,10,train,1
3116,0.0,847.97224,848.22245,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25020952,212,,,0,,False,11,test,2
3117,0.0,848.22245,848.47267,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021548,185,,,0,,False,13,train,0
3118,0.0,848.47267,848.72289,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021548,9,,,0,,False,10,train,1
3119,0.0,848.72289,848.9731,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25021548,116,,,0,,False,14,test,2
3120,0.0,848.9731,849.22332,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021548,80,,,0,,False,13,train,0
3121,0.0,849.22332,849.47352,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25019952,137,,,0,,False,10,train,2
3122,0.0,849.47352,849.72372,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25019952,241,,,0,,False,14,test,1
3123,0.0,849.72372,849.97391,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25019952,181,,,0,,False,9,train,1
3124,0.0,849.97391,850.22411,gabors,0.8,null,-10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25019952,123,,,0,,False,13,train,1
3125,0.0,850.22411,850.47432,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020798,33,,,0,,False,12,train,0
3126,0.0,850.47432,850.72453,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25020798,205,,,0,,False,12,train,0
3127,0.0,850.72453,850.97474,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020798,99,,,0,,False,11,test,1
3128,0.0,850.97474,851.22495,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020798,1,,,0,,False,12,train,2
3129,0.0,851.22495,851.47516,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25020952,188,,,0,,False,10,train,1
3130,0.0,851.47516,851.72537,gabors,0.8,null,-10.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020952,198,,,0,,False,12,train,0
3131,0.0,851.72537,851.97557,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25020952,227,,,0,,False,11,test,2
3132,0.0,851.97557,852.22578,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25020952,2,,,0,,False,14,test,2
3133,0.0,852.22578,852.47599,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25020548,28,,,0,,False,13,train,2
3134,0.0,852.47599,852.7262,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25020548,218,,,0,,False,10,train,2
3135,0.0,852.7262,852.9764,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25020548,27,,,0,,False,13,train,1
3136,0.0,852.9764,853.22661,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020548,137,,,0,,False,11,test,2
3137,0.0,853.22661,853.47682,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25021452,33,,,0,,False,13,train,0
