stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,contrast,color,size,y_position,x_position,phase,spatial_frequency,stimulus_name,orientation,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,89.231262,89.464781,4.0,0.8,null,"[20.0, 20.0]",-40.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.23351879,1,,,0,,False,0,train,1
2,0.0,89.464781,89.71498,4.0,0.8,null,"[20.0, 20.0]",0.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.2501987,2,,,0,,False,0,train,1
3,0.0,89.71498,89.965179,4.0,0.8,null,"[20.0, 20.0]",20.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.2501987,3,,,0,,False,0,train,1
4,0.0,89.965179,90.215377,4.0,0.8,null,"[20.0, 20.0]",-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.2501987,4,,,0,,False,0,train,2
5,0.0,90.215377,90.465599,4.0,0.8,null,"[20.0, 20.0]",-20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022128,5,,,0,,False,0,train,2
6,0.0,90.465599,90.71582,4.0,0.8,null,"[20.0, 20.0]",-40.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,6,,,0,,False,0,train,1
7,0.0,90.71582,90.966041,4.0,0.8,null,"[20.0, 20.0]",40.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022128,7,,,0,,False,0,train,1
8,0.0,90.966041,91.216262,4.0,0.8,null,"[20.0, 20.0]",0.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022128,8,,,0,,False,0,train,2
9,0.0,91.216262,91.466464,4.0,0.8,null,"[20.0, 20.0]",40.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020122,9,,,0,,False,0,train,0
10,0.0,91.466464,91.716665,4.0,0.8,null,"[20.0, 20.0]",30.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,10,,,0,,False,0,train,2
11,0.0,91.716665,91.966866,4.0,0.8,null,"[20.0, 20.0]",-10.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020122,11,,,0,,False,0,train,1
12,0.0,91.966866,92.217067,4.0,0.8,null,"[20.0, 20.0]",40.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020122,12,,,0,,False,0,train,2
13,0.0,92.217067,92.467276,4.0,0.8,null,"[20.0, 20.0]",0.0,40.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020878,13,,,0,,False,0,train,1
14,0.0,92.467276,92.717485,4.0,0.8,null,"[20.0, 20.0]",-10.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020878,14,,,0,,False,0,train,1
15,0.0,92.717485,92.967694,4.0,0.8,null,"[20.0, 20.0]",-20.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020878,15,,,0,,False,0,train,2
16,0.0,92.967694,93.217902,4.0,0.8,null,"[20.0, 20.0]",-40.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020878,16,,,0,,False,0,train,0
17,0.0,93.217902,93.468111,4.0,0.8,null,"[20.0, 20.0]",10.0,10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020872,17,,,0,,False,0,train,0
18,0.0,93.468111,93.71832,4.0,0.8,null,"[20.0, 20.0]",-20.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,0.0,null,0.25020872,18,,,0,,False,0,train,0
19,0.0,93.71832,93.968529,4.0,0.8,null,"[20.0, 20.0]",40.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25020872,7,,,0,,False,1,train,1
20,0.0,93.968529,94.218737,4.0,0.8,null,"[20.0, 20.0]",-20.0,0.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25020872,5,,,0,,False,1,train,2
21,0.0,94.218737,94.468961,4.0,0.8,null,"[20.0, 20.0]",20.0,-30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,90.0,null,0.25022378,19,,,0,,False,0,train,2
22,0.0,94.468961,94.719185,4.0,0.8,null,"[20.0, 20.0]",-10.0,30.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022378,20,,,0,,False,0,train,1
23,0.0,94.719185,94.969409,4.0,0.8,null,"[20.0, 20.0]",-40.0,-10.0,"[3644.93333333, 3644.93333333]",0.08,gabors,45.0,null,0.25022378,21,,,0,,False,0,train,1
