group,preference,sessions,median_correlation_raw,median_correlation_aligned,median_paired_correlation_change,median_rmse_raw_octaves,median_rmse_aligned_octaves,median_paired_rmse_change_octaves,median_coverage_raw,median_coverage_aligned
HVA pooled,sf,21,0.214032,0.260376,-0.00987104,0.240239,0.23824,0.00179575,1,1
HVA pooled,tf,21,0.484012,0.488514,0.00450217,0.368728,0.369447,-0.00198729,1,1
V1,sf,21,-0.123504,-0.0991528,0.0049641,0.297939,0.298436,-0.00245548,1,1
V1,tf,21,0.597587,0.54188,-0.0152803,0.143014,0.157236,0.000542029,1,1
