stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,contrast,phase,size,temporal_frequency,Dir,frame,coherence,spatial_frequency,color,x_position,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1211,0.0,378.10986,378.36007,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25020775,214,,,0,,False,4,train,2
1212,0.0,378.36007,378.61028,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,45.0,0.25020775,173,,,0,,False,5,test,1
1213,0.0,378.61028,378.8605,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,20.0,null,0.0,0.25021475,243,,,0,,False,2,test,0
1214,0.0,378.8605,379.11071,-40.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,45.0,0.25021475,164,,,0,,False,8,test,1
1215,0.0,379.11071,379.36092,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25021475,194,,,0,,False,3,train,2
1216,0.0,379.36092,379.61114,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,0.0,0.25021475,46,,,0,,False,3,train,0
1217,0.0,379.61114,379.86134,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25020275,148,,,0,,False,3,train,1
1218,0.0,379.86134,380.11154,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-30.0,null,0.0,0.25020275,210,,,0,,False,4,train,0
1219,0.0,380.11154,380.36175,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,0.0,0.25020275,149,,,0,,False,4,train,0
1220,0.0,380.36175,380.61195,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,90.0,0.25020275,184,,,0,,False,7,train,2
1221,0.0,380.61195,380.86216,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,45.0,0.25021225,76,,,0,,False,5,test,1
1222,0.0,380.86216,381.11237,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,45.0,0.25021225,234,,,0,,False,3,train,1
1223,0.0,381.11237,381.36259,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,90.0,0.25021225,242,,,0,,False,2,test,2
1224,0.0,381.36259,381.6128,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,45.0,0.25021225,173,,,0,,False,6,train,1
