stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,color,orientation,frame,temporal_frequency,size,coherence,y_position,spatial_frequency,x_position,stimulus_name,Dir,Speed,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
676,0.0,244.33715,244.58735,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-20.0,gabors,null,null,0.8,0.25020669,152,,,0,,False,5,test,1
677,0.0,244.58735,244.83757,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,-30.0,gabors,null,null,0.8,0.25021331,209,,,0,,False,1,train,1
678,0.0,244.83757,245.08778,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,10.0,gabors,null,null,0.8,0.25021331,12,,,0,,False,4,train,0
679,0.0,245.08778,245.33799,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,0.0,gabors,null,null,0.8,0.25021331,230,,,0,,False,1,train,2
680,0.0,245.33799,245.58821,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,10.0,gabors,null,null,0.8,0.25021331,118,,,0,,False,3,train,0
681,0.0,245.58821,245.83841,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,91,,,0,,False,3,train,1
682,0.0,245.83841,246.08862,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,10.0,gabors,null,null,0.8,0.25020669,146,,,0,,False,3,train,0
683,0.0,246.08862,246.33883,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-30.0,gabors,null,null,0.8,0.25020669,222,,,0,,False,2,test,2
684,0.0,246.33883,246.58903,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,40.0,gabors,null,null,0.8,0.25020669,134,,,0,,False,1,train,2
685,0.0,246.58903,246.83925,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,10.0,gabors,null,null,0.8,0.25021331,139,,,0,,False,1,train,2
686,0.0,246.83925,247.08946,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,0.0,gabors,null,null,0.8,0.25021331,45,,,0,,False,3,train,1
687,0.0,247.08946,247.33967,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,-20.0,gabors,null,null,0.8,0.25021331,17,,,0,,False,1,train,0
688,0.0,247.33967,247.58989,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,20.0,gabors,null,null,0.8,0.25021331,33,,,0,,False,5,test,0
689,0.0,247.58989,247.84009,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,-30.0,gabors,null,null,0.8,0.25020419,137,,,0,,False,2,test,0
690,0.0,247.84009,248.09029,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,30.0,gabors,null,null,0.8,0.25020419,94,,,0,,False,2,test,2
691,0.0,248.09029,248.3405,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,10.0,gabors,null,null,0.8,0.25020419,232,,,0,,False,0,train,0
692,0.0,248.3405,248.5907,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,20.0,gabors,null,null,0.8,0.25020419,1,,,0,,False,3,train,0
693,0.0,248.5907,248.84092,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-10.0,gabors,null,null,0.8,0.25021581,167,,,0,,False,1,train,1
694,0.0,248.84092,249.09113,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,30.0,gabors,null,null,0.8,0.25021581,217,,,0,,False,2,test,2
695,0.0,249.09113,249.34135,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,-20.0,gabors,null,null,0.8,0.25021581,60,,,0,,False,4,train,2
696,0.0,249.34135,249.59157,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,20.0,gabors,null,null,0.8,0.25021581,61,,,0,,False,4,train,1
697,0.0,249.59157,249.84177,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,40.0,gabors,null,null,0.8,0.25019919,233,,,0,,False,0,train,0
698,0.0,249.84177,250.09196,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,0.0,gabors,null,null,0.8,0.25019919,40,,,0,,False,1,train,1
699,0.0,250.09196,250.34216,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,0.0,gabors,null,null,0.8,0.25019919,8,,,0,,False,5,test,0
700,0.0,250.34216,250.59236,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-10.0,gabors,null,null,0.8,0.25019919,131,,,0,,False,4,train,1
701,0.0,250.59236,250.84258,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,40.0,gabors,null,null,0.8,0.25021831,92,,,0,,False,4,train,2
702,0.0,250.84258,251.0928,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,-20.0,gabors,null,null,0.8,0.25021831,149,,,0,,False,3,train,0
703,0.0,251.0928,251.34302,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,0.0,gabors,null,null,0.8,0.25021831,153,,,0,,False,2,test,0
704,0.0,251.34302,251.59324,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,30.0,gabors,null,null,0.8,0.25021831,166,,,0,,False,1,train,2
705,0.0,251.59324,251.84344,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,0.0,gabors,null,null,0.8,0.25020419,153,,,0,,False,3,train,0
706,0.0,251.84344,252.09364,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,-20.0,gabors,null,null,0.8,0.25020419,125,,,0,,False,2,test,0
707,0.0,252.09364,252.34385,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,30.0,gabors,null,null,0.8,0.25020419,132,,,0,,False,1,train,0
708,0.0,252.34385,252.59405,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-30.0,gabors,null,null,0.8,0.25020419,30,,,0,,False,2,test,0
709,0.0,252.59405,252.84427,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-40.0,gabors,null,null,0.8,0.25021331,213,,,0,,False,1,train,1
710,0.0,252.84427,253.09448,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,30.0,gabors,null,null,0.8,0.25021331,94,,,0,,False,3,train,2
711,0.0,253.09448,253.34469,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,-10.0,gabors,null,null,0.8,0.25021331,99,,,0,,False,3,train,2
712,0.0,253.34469,253.59491,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,20.0,gabors,null,null,0.8,0.25021331,114,,,0,,False,2,test,1
713,0.0,253.59491,253.84511,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-30.0,gabors,null,null,0.8,0.25020419,71,,,0,,False,4,train,1
714,0.0,253.84511,254.09531,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-10.0,gabors,null,null,0.8,0.25020419,108,,,0,,False,1,train,1
715,0.0,254.09531,254.34552,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,30.0,gabors,null,null,0.8,0.25020419,77,,,0,,False,3,train,1
716,0.0,254.34552,254.59572,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,30.0,gabors,null,null,0.8,0.25020419,95,,,0,,False,3,train,1
717,0.0,254.59572,254.84593,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,0.0,gabors,null,null,0.8,0.25021081,151,,,0,,False,2,test,1
718,0.0,254.84593,255.09614,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,-30.0,gabors,null,null,0.8,0.25021081,144,,,0,,False,5,test,2
719,0.0,255.09614,255.34636,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,40.0,gabors,null,null,0.8,0.25021081,74,,,0,,False,1,train,2
720,0.0,255.34636,255.59657,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,10.0,gabors,null,null,0.8,0.25021081,146,,,0,,False,4,train,0
721,0.0,255.59657,255.84677,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,10.0,gabors,null,null,0.8,0.25020669,66,,,0,,False,2,test,0
722,0.0,255.84677,256.09698,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,20.0,0.08,0.0,gabors,null,null,0.8,0.25020669,127,,,0,,False,2,test,1
723,0.0,256.09698,256.34719,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,20.0,gabors,null,null,0.8,0.25020669,186,,,0,,False,2,test,0
