ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
715093703,interior_v1_rf_size_translation,-7.17927,-10,0,0,0,0,0.705349,0.394788,0.310561,0.295192,0.665829,6.75,0.5,True,0
719161530,interior_v1_rf_size_translation,-6.66667,9.48392,0,0,0,0,1.63716,0.497347,1.13982,-0.635783,0.556409,0.25,0.5,False,0
721123822,interior_v1_rf_size_translation,9.9974,8,0,0,0,0,1.44591,0.722946,0.722966,-0.444161,0.342634,0.25,2.25,True,0
732592105,interior_v1_rf_size_translation,9.44343,-5.34154,0,0,0,0,1.32463,0.719087,0.605539,-0.324626,0.327998,1.75,1.25,False,0
737581020,interior_v1_rf_size_translation,-9.33365,-4.00655,0,0,0,0,1.50903,0.857587,0.651444,-0.509031,0.183681,0.5,7.25,False,0
739448407,interior_v1_rf_size_translation,8.3654,-8,0,0,0,0,1.04444,0.405137,0.639307,-0.0444437,0.648455,1.5,0.5,False,0
742951821,interior_v1_rf_size_translation,-9.33403,-0.00170082,0,0,0,0,0.865738,0.540854,0.324884,0.135496,0.493995,0.25,1.5,False,0
744228101,interior_v1_rf_size_translation,10,-10,0,0,0,0,1.11214,0.24126,0.870883,-0.112143,0.83874,2,0.75,True,0
746083955,interior_v1_rf_size_translation,-6.69686,-9.33333,0,0,0,0,0.957518,0.347618,0.6099,0.0424819,0.705166,4,0.5,False,0
750332458,interior_v1_rf_size_translation,2.65831,-1.33364,0,0,0,0,0.819549,0.534196,0.285353,0.180451,0.469342,3.25,0.5,False,0
750749662,interior_v1_rf_size_translation,10,10,0,0,0,0,1.11519,0.915743,0.199443,-0.115186,0.164257,2.5,0.5,True,0
751348571,interior_v1_rf_size_translation,-5.34158,9.33357,0,0,0,0,1.34002,0.68423,0.65579,-0.339586,0.362029,5.5,0,False,0
754312389,interior_v1_rf_size_translation,6.66666,-1.47035,0,0,0,0,0.834718,0.689903,0.144816,0.16894,0.32874,3.25,4,False,0
754829445,interior_v1_rf_size_translation,9.99665,6.6667,0,0,0,0,1.05286,0.898343,0.154515,-0.0528574,0.159408,1.75,3.5,True,0
755434585,interior_v1_rf_size_translation,10,10,0,0,0,0,1.54653,0.917506,0.629027,-0.544536,0.162494,1.25,0.5,True,0
756029989,interior_v1_rf_size_translation,10,-10,0,0,0,0,1.17963,0.29833,0.881301,-0.179631,0.78167,0.75,1,True,0
757216464,interior_v1_rf_size_translation,9.98821,-8.60006e-05,0,0,0,0,1.46963,0.971974,0.497652,-0.469626,0.0679321,0.5,1.5,True,0
757970808,interior_v1_rf_size_translation,-7.01786,-10,0,0,0,0,1.07066,0.892943,0.177718,-0.0685906,0.166757,4.25,1.25,True,0
758798717,interior_v1_rf_size_translation,-1.60791,1.33333,0,0,0,0,0.736507,0.656092,0.080416,0.263493,0.345654,3,1.25,False,0
759883607,interior_v1_rf_size_translation,-10,10,0,0,0,0,1.37574,0.962518,0.413219,-0.375737,0.117482,0.5,2,True,0
760345702,interior_v1_rf_size_translation,9.97339,4.00001,0,0,0,0,1.07316,0.593685,0.479478,-0.0731625,0.452503,0.5,2,True,0
760693773,interior_v1_rf_size_translation,9.33322,9.99989,0,0,0,0,1.48865,1.08091,0.407735,-0.488647,-0.00606938,1.5,0.5,True,0
761418226,interior_v1_rf_size_translation,-6.02063,-1.33333,0,0,0,0,0.695044,0.541312,0.153732,0.309629,0.473899,2.75,1.75,False,0
