ecephys_session_id,selection_role,units,probes,ccf_diagonal_span_um,heldout_centered_r2
755434585,strong held-out map progression,27,1,260.4880035625441,0.3705020018366717
760345702,typical anatomical span,9,1,142.41137595009747,0.1902201933262531
754829445,broad multi-probe coverage but failed held-out progression,26,2,698.6887719149349,-0.0792362456203066
