ecephys_session_id,units,probes,ap_span_um,ml_span_um,dv_span_um,ccf_diagonal_span_um,pca1_variance_fraction,azimuth_span_deg,elevation_span_deg,heldout_centered_r2,split_distance_deg
715093703,21,2,200.0,602.0,894.0,1096.1934135908682,0.9375549598402999,76.0,61.538000000000004,0.2968382747044882,11.35422283314783
719161530,22,1,48.0,162.0,124.0,209.5805334471692,0.9999300402439032,33.333,33.333,0.2568736732024782,2.4185142608981343
743475441,8,2,97.0,533.0,528.0,756.4932253497053,0.9714792841332738,65.0,44.666999999999994,0.0447658971234525,30.622966420359816
744228101,3,2,340.0,12.0,183.0,386.3068728355736,0.9994237182074777,45.667,35.417,-0.1641419219689643,27.857698296884184
746083955,18,1,68.0,244.0,331.0,416.79851247335324,0.99987342857203,73.334,50.833999999999996,0.3935871945588931,3.591320678421433
750332458,1,1,0.0,0.0,0.0,0.0,,0.0,0.0,,
750749662,8,2,90.0,452.0,291.0,545.0550430919799,0.9890334385084345,37.5,59.913999999999994,-0.1971154439029794,41.047014283610544
751348571,19,1,8.0,244.0,385.0,455.87827322652697,0.9992273519087815,53.667,66.0,0.2121278593353037,12.838643925225828
754312389,6,2,271.0,537.0,753.0,963.7525616048966,0.9764552952671094,49.25,49.697,0.0292871399802296,24.37132392605827
754829445,26,2,374.0,401.0,433.0,698.6887719149349,0.8730930532342983,75.0,60.0,-0.0792362456203066,12.237030114158282
755434585,27,1,38.0,173.0,191.0,260.4880035625441,0.9999358048820409,65.0,30.0,0.3705020018366717,2.6261591821310333
756029989,14,1,40.0,115.0,186.0,222.3083444227859,0.9993519086165799,47.273,33.333000000000006,0.0539983985553739,6.537722558793546
757970808,14,1,57.0,235.0,314.0,396.32057731084313,0.9989005607962698,23.75,41.667,-0.7384096561926872,3.187198682727188
759883607,1,1,0.0,0.0,0.0,0.0,,0.0,0.0,,
760345702,9,1,34.0,9.0,138.0,142.41137595009747,0.9999416465249976,20.0,36.0,0.1902201933262531,11.291272665588885
761418226,2,1,4.0,3.0,17.0,17.72004514666935,1.0,0.0,15.0,0.0860482809743614,14.34012331818554
763673393,9,1,107.0,35.0,506.0,518.372452971799,0.9993567166655585,43.125,41.667,0.5489145076287019,8.229038961082425
766640955,28,1,31.0,150.0,256.0,298.3236497497307,0.999799144677868,51.667,47.575999999999986,0.3505325738376484,8.223223521045355
768515987,4,1,3.0,28.0,39.0,48.104053883222775,0.9996694504749184,20.0,80.0,0.1278969015084758,38.48882077855102
771990200,22,2,198.0,236.0,333.0,453.63972489190144,0.8136665738069344,61.153999999999996,55.0,-0.1585907651578959,23.546217559177784
778240327,1,1,0.0,0.0,0.0,0.0,,0.0,0.0,,
779839471,4,1,11.0,56.0,110.0,123.92336341465236,0.9998953143405579,30.625,30.0,0.1261653614335949,17.641807412279935
781842082,3,1,24.0,168.0,118.0,206.6978471102203,0.9999924987411143,43.0,20.0,0.0976007296735914,25.96736328475916
791319847,2,1,15.0,1.0,37.0,39.93745109543172,1.0,13.332999999999998,5.667000000000003,-0.0767557826318978,15.033082572850104
799864342,23,1,5.0,167.0,284.0,329.4996206371109,0.9997490454970339,52.857,50.510000000000005,0.2357139527527446,10.122573885067354
819186360,8,1,37.0,110.0,109.0,159.21683328090657,0.9994673322215465,43.509,42.983,0.0595829341167903,19.713883426469067
819701982,3,1,9.0,22.0,34.0,41.48493702538308,0.999515608431083,18.845999999999997,13.077000000000005,-0.2882751256805966,21.395332671518183
835479236,4,1,2.0,20.0,31.0,36.945906403822335,1.0,12.292000000000002,42.857,0.1163540459208742,20.58013857040238
839068429,4,1,2.0,4.0,9.0,10.04987562112089,1.0,42.143,45.588,0.0104503142498704,30.61158820058221
