radius_um,fraction_with_other_animal,fraction_with_three_other_animals,median_other_animals
100,0.5318471337579618,0.03503184713375796,1.0
150,0.9840764331210191,0.3089171974522293,2.0
200,0.9968152866242038,0.7898089171974523,4.0
250,1.0,0.9140127388535032,7.0
300,1.0,0.9808917197452229,10.0
