border_exclusion_deg,sessions,median_azimuth_slope,q25_azimuth_slope,q75_azimuth_slope,median_elevation_slope,q25_elevation_slope,q75_elevation_slope
20,23,-0.0521186,-0.102994,0.0363689,0.0674339,-0.0318591,0.194236
22.5,22,-0.0187859,-0.0839425,0.0781804,0.0658498,-0.062399,0.154142
25,21,-0.0347005,-0.104641,0.0512133,0.0908493,-0.0373867,0.164389
27.5,20,-0.000110579,-0.0956056,0.10107,0.0860466,-0.0264626,0.205856
30,19,-0.0308094,-0.158987,0.0541222,0.0927031,-0.0216392,0.24106
32.5,18,0.0311933,-0.0675029,0.141312,0.0915591,-0.00144502,0.194012
35,16,-0.00017124,-0.102031,0.0319451,0.121208,-0.00274983,0.193833
