border_exclusion_deg,ecephys_session_id,units,standardized_azimuth_slope,standardized_elevation_slope
20,715093703,61,-0.0535592,0.0629095
20,719161530,15,-0.529395,0.309926
20,721123822,47,-0.131839,0.132935
20,744228101,39,0.210736,-0.530182
20,750749662,80,-0.0833991,-0.201302
20,751348571,62,-0.00848974,0.283124
20,754312389,127,0.101684,0.137054
20,754829445,85,-0.0945038,0.0397637
20,755434585,125,-0.111484,0.189018
20,756029989,78,0.0560475,-0.0600732
20,757216464,122,-0.234674,0.235967
20,757970808,89,0.0532361,0.165241
20,758798717,68,0.0158048,0.129411
20,759883607,78,-0.0031636,0.221399
20,760345702,83,-0.0521186,0.000692514
20,761418226,27,0.314113,-0.112449
20,762602078,68,0.0116304,-0.00978795
20,763673393,76,0.181996,0.0503983
20,773418906,87,-0.077651,0.199453
20,791319847,106,-0.118192,-0.0539303
20,797828357,77,-0.289638,-0.225837
20,798911424,112,-0.0642077,0.0674339
20,799864342,108,0.0195017,0.265765
22.5,715093703,39,0.0805988,0.0997723
22.5,721123822,44,-0.117339,-0.0119308
22.5,744228101,30,0.132486,-0.550233
22.5,750749662,77,-0.0871078,-0.218432
22.5,751348571,60,-0.0600272,0.250459
22.5,754312389,125,0.180324,0.155065
22.5,754829445,57,-0.143711,-0.0868695
22.5,755434585,120,-0.0371658,0.120168
22.5,756029989,75,0.0709252,-0.0732286
22.5,757216464,120,-0.271856,0.212017
22.5,757970808,64,0.0490284,0.0826455
22.5,758798717,68,0.0158048,0.129411
22.5,759883607,76,-0.0223997,0.223118
22.5,760345702,80,-0.0649632,-0.0134989
22.5,761418226,13,0.520162,-0.0663563
22.5,762602078,54,-0.00306922,-0.050527
22.5,763673393,67,0.192701,0.049054
22.5,773418906,85,-0.0151721,0.158566
22.5,791319847,102,-0.173272,-0.0479782
22.5,797828357,69,-0.342009,-0.209393
22.5,798911424,103,-0.0744465,0.151371
22.5,799864342,103,0.121803,0.191612
25,715093703,27,0.0790899,0.124031
25,721123822,43,-0.0440983,-0.0185398
25,744228101,26,0.0183864,-0.581347
25,750749662,76,-0.123219,-0.204137
25,751348571,55,-0.104641,0.228579
25,754312389,119,0.177299,0.164389
25,754829445,49,-0.156866,0.0110164
25,755434585,116,-0.0675821,0.192057
25,756029989,72,-0.00778461,-0.0540502
25,757216464,114,-0.343022,0.0908493
25,757970808,59,0.0512133,0.100357
25,758798717,68,0.0158048,0.129411
25,759883607,71,-0.0347005,0.207495
25,760345702,76,-0.0852796,0.0658872
25,762602078,47,0.0678089,-0.0712789
25,763673393,60,0.208341,0.061246
25,773418906,85,-0.0151721,0.158566
25,791319847,96,-0.124243,-0.0373867
25,797828357,63,-0.22474,-0.19406
25,798911424,99,-0.067385,0.183289
25,799864342,102,0.139232,0.230714
27.5,721123822,38,-0.111886,-0.0156983
27.5,744228101,12,0.193541,-0.923997
27.5,750749662,68,-0.0245216,-0.288526
27.5,751348571,36,-0.16322,0.14887
27.5,754312389,91,0.103838,0.0311523
27.5,754829445,27,0.0838532,0.108344
27.5,755434585,100,-0.123473,0.119628
27.5,756029989,58,-0.0176468,-0.218668
27.5,757216464,107,-0.377933,0.0645656
27.5,757970808,32,0.00853982,0.232467
27.5,758798717,63,0.11667,0.20442
27.5,759883607,58,0.100147,0.0787231
27.5,760345702,57,-0.0901789,0.210165
27.5,762602078,17,0.0219695,-0.361873
27.5,763673393,39,0.297987,0.00597082
27.5,773418906,77,-0.00876098,0.233112
27.5,791319847,78,-0.189085,0.0933701
27.5,797828357,41,0.0381354,-0.0587554
27.5,798911424,84,-0.0241823,0.238967
27.5,799864342,93,0.169945,0.27626
30,721123822,34,-0.22985,-0.0149082
30,750749662,67,-0.0308094,-0.288145
30,751348571,29,-0.190954,0.112607
30,754312389,87,0.0440453,0.060458
30,754829445,24,0.0370265,0.309605
30,755434585,93,-0.151488,0.0927031
30,756029989,52,-0.0680252,-0.279634
30,757216464,101,-0.343526,0.153429
30,757970808,28,0.0641991,0.253789
30,758798717,60,0.162149,0.160182
30,759883607,55,0.0247789,0.0768683
30,760345702,47,-0.166485,0.428223
30,762602078,15,0.157188,-0.496679
30,763673393,32,0.218293,-0.0283703
30,773418906,76,-0.0174758,0.233183
30,791319847,73,-0.254499,0.070408
30,797828357,36,-0.039616,-0.194577
30,798911424,75,-0.0942954,0.248937
30,799864342,91,0.160766,0.279307
32.5,721123822,25,-0.213589,0.0278964
32.5,750749662,49,0.129034,0.0937047
32.5,751348571,17,-0.0222863,0.253745
32.5,754312389,61,0.0971012,0.158745
32.5,754829445,15,-0.0551697,0.0894134
32.5,755434585,64,-0.259023,-0.0103932
32.5,756029989,31,-0.071614,-0.234608
32.5,757216464,83,-0.102337,0.326064
32.5,757970808,10,0.334105,0.281205
32.5,758798717,51,0.270393,0.195288
32.5,759883607,37,0.0939375,-0.0025574
32.5,760345702,24,0.152412,0.0962393
32.5,763673393,14,0.195993,-0.0232021
32.5,773418906,68,-0.0466124,0.190184
32.5,791319847,48,-0.0541022,-0.00533356
32.5,797828357,21,0.145404,0.0628936
32.5,798911424,47,-0.11698,0.00189213
32.5,799864342,76,0.0846729,0.247847
35,721123822,21,-0.206611,-0.0169175
35,750749662,36,0.0153015,0.157363
35,751348571,10,1.75542e-17,0
35,754312389,48,0.115958,0.246651
35,754829445,13,-0.0924132,0.0272234
35,755434585,43,-0.175819,-0.0109993
35,756029989,24,0.123071,-0.0754611
35,757216464,72,-0.0390344,0.297045
35,758798717,42,0.219265,0.176227
35,759883607,26,0.081876,0.0851608
35,760345702,18,0.0144046,0.16581
35,773418906,58,-0.130886,0.253486
35,791319847,42,-0.000342481,0.000555629
35,797828357,14,-0.152701,-0.150029
35,798911424,30,-0.0842444,0.157255
35,799864342,63,0.0115261,0.267163
