ecephys_session_id,selected_model,ccf_available,v1_rf_units,raw_translation_azimuth_deg,raw_translation_elevation_deg,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,translation_was_bounded,rf_rmse_before_deg,rf_rmse_after_translation_deg
715093703,ccf_to_v1_rf_translation,True,93,-1.76525,16.3067,-1.76525,15,0,0,0,0,True,15.6887,10.9667
719161530,ccf_to_v1_rf_translation,True,82,-24.2414,1.85844,-15,1.85844,0,0,0,0,True,18.8396,12.0656
721123822,ccf_to_v1_rf_translation,True,58,-5.97088,2.85714,-5.97088,2.85714,0,0,0,0,False,11.944,11.7008
732592105,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
737581020,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
739448407,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
742951821,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
744228101,ccf_to_v1_rf_translation,True,56,-9.53098,-5.9447,-9.53098,-5.9447,0,0,0,0,False,12.143,8.01648
746083955,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
750332458,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
750749662,ccf_to_v1_rf_translation,True,92,-2.32693,-7.77211,-2.32693,-7.77211,0,0,0,0,False,12.2028,10.1697
751348571,ccf_to_v1_rf_translation,True,74,-1.29331,9.55574,-1.29331,9.55574,0,0,0,0,False,12.2652,10.6402
754312389,ccf_to_v1_rf_translation,True,144,-1.43008,3.36301,-1.43008,3.36301,0,0,0,0,False,10.9352,10.6652
754829445,ccf_to_v1_rf_translation,True,141,-15.1535,1.1304,-15,1.1304,0,0,0,0,True,17.7891,15.3476
755434585,ccf_to_v1_rf_translation,True,141,-10.7359,4.90097,-10.7359,4.90097,0,0,0,0,False,12.7823,10.2782
756029989,ccf_to_v1_rf_translation,True,90,2.71129,7.57252,2.71129,7.57252,0,0,0,0,False,11.493,10.0703
757216464,ccf_to_v1_rf_translation,True,149,-0.379466,-6.07977,-0.379466,-6.07977,0,0,0,0,False,12.1833,11.2864
757970808,ccf_to_v1_rf_translation,True,148,11.6321,1.159,11.6321,1.159,0,0,0,0,False,12.8244,9.80618
758798717,ccf_to_v1_rf_translation,True,83,7.82298,-4.59287,7.82298,-4.59287,0,0,0,0,False,11.6404,9.71384
759883607,ccf_to_v1_rf_translation,True,90,6.12118,-1.7066,6.12118,-1.7066,0,0,0,0,False,12.4715,11.6577
760345702,ccf_to_v1_rf_translation,True,92,5.92743,6.26596,5.92743,6.26596,0,0,0,0,False,10.3509,8.68055
760693773,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
761418226,ccf_to_v1_rf_translation,True,58,17.2784,3.09682,15,3.09682,0,0,0,0,True,16.9002,11.2931
762120172,ccf_unavailable_identity,False,,,,0,0,0,0,0,0,,,
762602078,ccf_to_v1_rf_translation,True,106,17.749,-12.8249,15,-12.8249,0,0,0,0,True,19.0948,11.1855
763673393,ccf_to_v1_rf_translation,True,104,12.7406,0.616301,12.7406,0.616301,0,0,0,0,False,14.5963,11.8908
773418906,ccf_to_v1_rf_translation,True,99,0.991098,-3.94172,0.991098,-3.94172,0,0,0,0,False,9.89447,9.93629
791319847,ccf_to_v1_rf_translation,True,127,-2.87197,2.91637,-2.87197,2.91637,0,0,0,0,False,11.595,11.1991
797828357,ccf_to_v1_rf_translation,True,117,-9.27754,-6.22132,-9.27754,-6.22132,0,0,0,0,False,13.8816,11.6756
798911424,ccf_to_v1_rf_translation,True,127,-7.46929,-4.27918,-7.46929,-4.27918,0,0,0,0,False,11.6789,10.1635
799864342,ccf_to_v1_rf_translation,True,127,7.10184,-6.82072,7.10184,-6.82072,0,0,0,0,False,12.4877,10.8128
