ecephys_session_id,specimen_id,units,blocks,offset_az_raw_deg,offset_el_raw_deg,half_a_az_raw_deg,half_a_el_raw_deg,half_b_az_raw_deg,half_b_el_raw_deg,split_distance_deg,heldout_centered_r2,offset_az_relative_deg,half_a_az_relative_deg,half_b_az_relative_deg,offset_el_relative_deg,half_a_el_relative_deg,half_b_el_relative_deg,model,selection,area
715093703,699733581,53,10,52.38902881174462,10.912051231872828,61.33674873309345,5.82123221011887,43.98926018833599,18.082404096618806,21.243156423676492,-0.006907719380934374,2.93154797268825,11.246164052737385,-8.248512749528878,2.7611827864311884,-0.42913495721525674,8.882909142417628,affine,onscreen,LP
719161530,703279284,10,5,55.00248143858242,2.0238191873407816,52.30602568126738,0.8494197624070368,57.154724780803,3.198218612274527,5.387646888482615,-0.01212278443894621,5.545000599526048,2.215441000911312,4.916951842938133,-6.127049258100858,-5.40094740492709,-6.001276341926651,affine,onscreen,LP
721123822,707296982,58,20,48.68023983446568,2.2162519906298948,47.085489238709364,1.1731804861662254,57.52724286099395,12.703843376857142,15.555912233207344,0.005765193617462083,-0.7772410045906923,-3.005095441646702,5.289469923129083,-5.934616454811746,-5.077186681167902,3.504348422655964,affine,onscreen,LP
743475441,722882755,32,10,59.80617749796312,21.750463960705353,61.423609761804826,20.735491392263725,54.16589390664079,21.750463960705353,7.328342837844613,-0.05990068441891405,10.348696658906746,11.33302508144876,1.9281209687759215,13.599595515263713,14.4851242249296,12.550969006504175,affine,onscreen,LP
744228101,719817805,44,13,46.74180292983376,6.001305894892553,43.811116671465626,1.8752141421121586,49.63263771288337,14.05597512237917,13.50040907876739,-0.12445598795916957,-2.715677909222613,-6.27946800889044,-2.6051352249814954,-2.1495625505490867,-4.375153025221968,4.856480168177992,affine,onscreen,LP
750749662,726162197,44,15,43.45480743553831,9.21936002434754,42.569565390053555,10.400374160102778,46.312499656072376,3.1918773047332123,8.122313945767596,-0.051136159109927304,-6.002673403518067,-7.521019290302512,-5.925273281792492,1.0684915789059009,4.150006992768652,-6.007617649467965,affine,onscreen,LP
751348571,732548380,37,19,54.74200190685042,5.199245204243487,42.88011105872435,5.199245204243487,57.885542407854864,7.353117252149188,15.159226061122586,0.006481651789966625,5.284521067794046,-7.210473621631714,5.647769469989996,-2.9516232411981527,-1.0511219630906394,-1.8463777020519903,affine,onscreen,LP
754829445,726298253,44,12,49.37968178708873,10.784019438235163,52.89255062917872,12.940221069767055,40.092659483590914,10.255760927966318,13.07836150256652,0.03707881344291564,-0.07779905196764503,2.801965948822655,-12.145113454273954,2.6331509927935226,6.689853902432929,1.0562659737651394,affine,onscreen,LP
755434585,730760270,5,5,28.77705011487489,6.762779070083014,43.405631780872824,6.762779070083014,22.307261197110613,15.55161121682789,22.8557391434497,-0.00652695713038276,-20.680430724181484,-6.684952899483243,-29.930511740754255,-1.3880893753586259,0.5124119027488874,6.352116262626712,affine,onscreen,LP
756029989,734865738,16,5,53.18677959376342,-3.9763065356531233,51.34425052941847,-3.8157670862232655,53.355803470614156,-3.9763065356531233,2.0179489959006065,-0.01602494776896668,3.7292987547070453,1.2536658490624006,1.1180305327492874,-12.127174981094763,-10.066134253557392,-13.175801489854301,affine,onscreen,LP
757216464,733457989,55,15,60.70581466133987,11.71892364296412,54.40579767811592,12.984271068631546,66.57078796782228,9.200824610121591,12.739758861652827,0.03949120002262052,11.248333822283499,4.315212997759851,14.333015029957416,3.5680551975224795,6.73390390129742,0.0013296559204132308,affine,onscreen,LP
757970808,730756780,20,10,55.84364917445016,5.112213246478575,54.23532354430783,5.604446569862925,60.846410915131116,5.112213246478575,6.629386839618664,-0.1423622589804494,6.3861683353937835,4.1447388639517655,8.608637977266248,-3.038655198963065,-0.6459205974712017,-4.087281707722603,affine,onscreen,LP
758798717,735109609,15,5,55.685588276703356,4.1149260377226575,54.2161680503918,7.056518407741157,55.685588276703356,2.6102319091414903,4.682804654170745,-0.030209091226962137,6.228107437646983,4.125583370035734,3.4478153388384882,-4.0359424077189825,0.8061512404070301,-6.589263045059688,affine,onscreen,LP
760345702,739783171,5,5,40.397479025239306,24.205445608961092,61.87983578410459,-5.716678423707785,38.039964317188875,48.026320403919016,58.79327678013327,0.0017877896791186343,-9.060001813817067,11.789251103748526,-14.197808620675993,16.054577163519454,-11.967045591041913,38.82682544971784,affine,onscreen,LP
761418226,742714475,16,6,69.59573519486347,7.594034801543803,69.59573519486347,3.36777486430235,58.35009730856484,9.199494954201178,12.667806861358622,-0.08061078301468849,20.138254355807092,19.5051505145074,6.112324370699973,-0.5568336438978374,-2.882592303031777,0.0,affine,onscreen,LP
762602078,744915204,2,2,70.52442403337811,19.19225541142477,83.9341079849639,1.7165846091022492,57.11474008179231,36.66792621374729,44.05536034003424,-0.02228984777338594,21.066943194321738,33.843523304607835,4.876967143927445,11.041386965983131,-4.533782558231877,27.468431259546115,affine,onscreen,LP
763673393,742602892,3,3,18.775820541894,-27.891030781034484,14.455014182906863,-4.446666949593402,47.2783779243437,-28.515236229657816,40.702201838376396,-0.11727193141685754,-30.681660297162374,-35.6355704974492,-4.959395013521167,-36.041899226476126,-10.69703411692753,-37.714731183858994,affine,onscreen,LP
766640955,744912849,51,6,57.17748516028158,4.6276156054780415,52.50718992441543,12.725400680552744,59.19713357449314,-2.750748921066522,16.860206182989437,-0.04013803021017148,7.720004321225204,2.4166052440593617,6.9593606366282685,-3.5232528399635985,6.475033513218617,-11.9502438752677,affine,onscreen,LP
767871931,753795610,16,10,62.66471316734962,22.703551690748547,62.66471316734962,22.703551690748547,61.51483773876644,21.535032225772632,1.6394057585866137,-0.05102740066811262,13.207232328293244,12.574128486993551,9.27706480090157,14.552683245306907,16.45318452341442,12.335537271571454,affine,onscreen,LP
768515987,754477358,3,3,26.519009836448053,19.023887116739843,16.878410335502323,27.82639089667717,50.12483372630717,4.607671789409144,40.55161630888305,-0.0005325917664209534,-22.93847100260832,-33.21217434485374,-2.112939211557695,10.873018671298203,21.576023729343046,-4.591823164792034,affine,onscreen,LP
771160300,754488979,12,5,25.66511197363351,9.694867478375217,25.66511197363351,7.007356133310266,23.853867660454576,18.960546082097117,12.089638369852178,0.005020782287257219,-23.792368865422862,-24.425472706722555,-28.383905277410292,1.543999032933577,0.7569889659761389,9.76105112789594,affine,onscreen,LP
771990200,756578435,7,7,40.39636119453094,5.000280990224513,66.41381909852987,-9.607033918933702,36.488195214343456,5.551180135693824,33.545706404601106,-0.07075833670092191,-9.061119644525434,16.323234418173804,-15.749577723521412,-3.150587455217127,-15.857401086267828,-3.6483148185073544,affine,onscreen,LP
