ecephys_session_id,specimen_id_v1,session_type,improved_units,offset_az_raw_deg_v1,offset_el_raw_deg_v1,half_a_az_raw_deg_v1,half_a_el_raw_deg_v1,half_b_az_raw_deg_v1,half_b_el_raw_deg_v1,split_distance_deg_v1,split_az_difference_deg,split_el_difference_deg,offset_az_relative_deg_v1,half_a_az_relative_deg_v1,half_b_az_relative_deg_v1,offset_el_relative_deg_v1,half_a_el_relative_deg_v1,half_b_el_relative_deg_v1,specimen_id_thal,units,blocks,offset_az_raw_deg_thal,offset_el_raw_deg_thal,half_a_az_raw_deg_thal,half_a_el_raw_deg_thal,half_b_az_raw_deg_thal,half_b_el_raw_deg_thal,split_distance_deg_thal,heldout_centered_r2,offset_az_relative_deg_thal,half_a_az_relative_deg_thal,half_b_az_relative_deg_thal,offset_el_relative_deg_thal,half_a_el_relative_deg_thal,half_b_el_relative_deg_thal,model,selection,area
715093703,699733581,brain_observatory_1.1,93,3.250392561713686,-19.798440131765204,3.538790316856552,-20.054650644615627,1.851818413075235,-19.79382164192049,1.707016687907443,1.686971903781317,-0.2608290026951323,3.398305382208189,3.9703252409074135,1.6591462172739375,-17.88639178307408,-17.67760105237066,-17.96883725861109,699733581,21,10,34.75227728810481,14.169288778922322,34.75227728810481,6.56228887590874,31.458801096281277,17.428354894421012,11.35422283314783,0.2968382747044882,-15.947683652333751,-10.637801101572862,-13.84263485344556,5.098345871989462,-0.31732541268746584,11.324885527571126,quadratic,p01_onscreen,LGd
719161530,703279284,brain_observatory_1.1,83,32.46953346758848,-9.057827906761752,32.61941293545681,-8.851712406039226,32.454560790631035,-9.268592230234509,0.4482912194932504,0.1648521448257724,0.4168798241952807,32.61744628808298,33.05094785950767,32.261888594829735,-7.14577955807063,-6.474662813794259,-7.443607846925103,703279284,22,5,54.28261669338148,-2.3446132025072326,54.28261669338148,-1.316429803739092,54.28261669338148,-3.7349440646372263,2.4185142608981343,0.2568736732024782,3.5826557529429195,8.892538303703809,8.98118074365464,-11.415556109440093,-8.196044092335297,-9.838413431487112,quadratic,p01_onscreen,LGd
744228101,719817805,brain_observatory_1.1,56,9.26781519284679,7.144855190465638,9.30813546224632,7.680285415242638,9.19835765475956,6.861665155274304,0.825948120070034,0.1097778074867612,0.8186202599683341,9.415728013341292,9.739670386297185,9.005685458958263,9.05690353915676,10.057335007487604,8.686649538583708,719817805,3,3,64.84364651412496,30.29123943252727,44.80809933181759,39.513244086866216,64.84364651412496,20.15792948064606,27.857698296884184,-0.16414192196896438,14.143685573686398,-0.5819790578600816,19.54221056439812,21.22029652559441,32.63362979827001,14.054460113796175,quadratic,p01_onscreen,LGd
750749662,726162197,brain_observatory_1.1,92,4.339783973568725,5.136218474346244,5.018266465471446,4.627069759894694,4.094280723516095,5.610077784373093,1.3490939283555108,0.9239857419553504,-0.9830080244783987,4.487696794063227,5.449801389522308,3.901608527714798,7.048266823037367,7.004119352139661,7.4350621676824975,726162197,8,5,33.265252799938736,-0.6073084168580127,43.66192679310167,7.587845003787276,21.918219449980466,-27.226930201226253,41.047014283610544,-0.19711544390297941,-17.434708140499822,-1.728151596575998,-23.38321649974637,-9.678251323790873,0.7082307151910703,-33.33039956807614,quadratic,p01_onscreen,LGd
751348571,732548380,brain_observatory_1.1,74,3.029878811464587,-8.842530342436259,2.506941657095118,-10.135375976707133,4.013638033403936,-7.957475700129726,2.648279363114485,-1.5066963763088173,-2.1779002765774065,3.17779163195909,2.9384765811459803,3.8209658376026394,-6.930481993745135,-7.758326384462165,-6.132491316820321,732548380,19,5,52.16956914286339,10.357324744316111,44.06855353036718,15.835732555327624,52.890410968612606,6.508052823582329,12.838643925225828,0.21212785933530376,1.4696082024248298,-1.321524859310486,7.588975018885769,1.2863818373832512,8.95611826673142,0.40458345673244267,quadratic,p01_onscreen,LGd
754312389,719828690,brain_observatory_1.1,144,-3.615977009475789,-7.110401733332624,-3.159309733518464,-7.385293653878839,-4.13320931587155,-6.604998046350929,1.247934946876185,0.973899582353086,-0.7802956075279104,-3.468064188981286,-2.7277748094676024,-4.325881511672847,-5.1983533846415,-5.008244061633873,-4.780013663041524,719828690,6,6,41.32171826693982,16.281971475678986,30.307256151616475,6.738253540154858,52.336180382263166,17.16360375725967,24.37132392605827,0.029287139980229693,-9.37824267349874,-15.082822238061194,7.034744432536328,7.211028568746126,-0.14136074844134772,11.060134390409782,quadratic,p01_onscreen,LGd
754829445,726298253,brain_observatory_1.1,141,27.257727969472448,-10.029133961870814,27.387117569526914,-10.696403840944406,27.24664297276605,-9.821761314656229,0.8858513764322383,0.1404745967608605,-0.8746425262881772,27.405640789966952,27.818652493577776,27.05397077696476,-8.11708561317969,-8.319354248699439,-7.996776931346824,726298253,26,10,62.16286798831007,8.061376884063531,59.66286798831007,14.595258132071722,64.66286798831007,3.4263322206504867,12.237030114158282,-0.07923624562030662,11.46290704787151,14.2727895986324,19.36143203858323,-1.009566022869329,7.715643843475516,-2.6771371461993994,quadratic,p01_onscreen,LGd
755434585,730760270,brain_observatory_1.1,142,2.402237731953563,-3.864944796000697,3.034962877575051,-3.6950425679400993,2.3967718769535638,-4.069330344408839,0.7398507233815271,0.6381910006214877,0.3742877764687398,2.550150552448066,3.4664978016259127,2.204099681152266,-1.9528964473095736,-1.3179929756951323,-2.2443459610994343,730760270,27,5,45.39007838967767,9.974505483711734,45.39007838967767,10.55180325681366,47.451060653935194,8.924208664690958,2.6261591821310333,0.3705020018366717,-5.309882550760889,0.0,2.1496247042083567,0.9035625767788744,3.672188968217454,2.8207392978410724,quadratic,p01_onscreen,LGd
756029989,734865738,brain_observatory_1.1,90,-0.1479128204945028,-7.199384147334168,-0.4315349240508617,-6.367807690999755,1.4698615105519588,-7.314396987348084,2.123991454192211,-1.9013964346028205,0.9465892963483292,0.0,0.0,1.2771893147506614,-5.287335798643045,-3.990758098754789,-5.48941260403868,734865738,14,5,32.9415699431602,-3.685393221246855,32.97270451111908,-2.013298042480879,31.329107219410847,-8.341046788950463,6.537722558793546,0.053998398555373917,-17.75839099727836,-12.417373878558585,-13.97232873031599,-12.756336128179715,-8.892912331077085,-14.444516155800349,quadratic,p01_onscreen,LGd
757970808,730756780,brain_observatory_1.1,150,-23.162249504882528,0.3911913948515086,-25.17129782903649,1.1274044357184438,-21.99523524039209,-0.4329863432307275,3.5386710711814064,-3.176062588644399,1.560390778949171,-23.014336684388024,-24.73976290498563,-22.187907436193388,2.3032397435426324,3.5044540279634107,1.3919980400786771,730756780,14,5,34.982661817729976,6.2567177603818624,35.81616181772998,6.433856861841138,32.7148631956524,5.698885910117443,3.187198682727188,-0.7384096561926872,-15.717299122708582,-9.573916571947692,-12.586572754074439,-2.8142251465509975,-0.44575742675506813,-0.40458345673244267,quadratic,p01_onscreen,LGd
