selection,area,model,sessions,units,median_heldout_centered_r2,positive_r2_sessions,median_split_distance_deg
onscreen,LGd,affine,30,505,-0.028622267841843296,9,14.422796078695036
onscreen,LGd,quadratic,30,505,-0.02442094070889622,10,14.06773772408162
onscreen,LP,affine,42,830,-0.006717338255658567,16,13.07836150256652
onscreen,LP,quadratic,42,830,-0.012645398516689443,13,13.258637325417169
p01_onscreen,LGd,affine,29,314,0.07379315118979479,18,14.732171669235449
p01_onscreen,LGd,quadratic,29,314,0.09182450532397646,19,14.686602945517823
p01_onscreen,LP,affine,35,479,0.04124538875564088,19,12.439658061476722
p01_onscreen,LP,quadratic,35,479,0.031419577746560234,21,12.345209014758307
