ecephys_session_id,specimen_id_v1,session_type,improved_units,offset_az_raw_deg_v1,offset_el_raw_deg_v1,half_a_az_raw_deg_v1,half_a_el_raw_deg_v1,half_b_az_raw_deg_v1,half_b_el_raw_deg_v1,split_distance_deg_v1,split_az_difference_deg,split_el_difference_deg,offset_az_relative_deg_v1,half_a_az_relative_deg_v1,half_b_az_relative_deg_v1,offset_el_relative_deg_v1,half_a_el_relative_deg_v1,half_b_el_relative_deg_v1,specimen_id_thal,units,blocks,offset_az_raw_deg_thal,offset_el_raw_deg_thal,half_a_az_raw_deg_thal,half_a_el_raw_deg_thal,half_b_az_raw_deg_thal,half_b_el_raw_deg_thal,split_distance_deg_thal,heldout_centered_r2,offset_az_relative_deg_thal,half_a_az_relative_deg_thal,half_b_az_relative_deg_thal,offset_el_relative_deg_thal,half_a_el_relative_deg_thal,half_b_el_relative_deg_thal,model,selection,area
715093703,699733581,brain_observatory_1.1,93,3.250392561713686,-19.798440131765204,3.538790316856552,-20.054650644615627,1.851818413075235,-19.79382164192049,1.707016687907443,1.686971903781317,-0.2608290026951323,3.398305382208189,3.9703252409074135,1.6591462172739375,-17.88639178307408,-17.67760105237066,-17.96883725861109,699733581,53,10,52.38902881174462,10.912051231872828,61.33674873309345,5.82123221011887,43.98926018833599,18.082404096618806,21.243156423676492,-0.006907719380934374,2.93154797268825,11.246164052737385,-8.248512749528878,2.7611827864311884,-0.42913495721525674,8.882909142417628,affine,onscreen,LP
719161530,703279284,brain_observatory_1.1,83,32.46953346758848,-9.057827906761752,32.61941293545681,-8.851712406039226,32.454560790631035,-9.268592230234509,0.4482912194932504,0.1648521448257724,0.4168798241952807,32.61744628808298,33.05094785950767,32.261888594829735,-7.14577955807063,-6.474662813794259,-7.443607846925103,703279284,10,5,55.00248143858242,2.0238191873407816,52.30602568126738,0.8494197624070368,57.154724780803,3.198218612274527,5.387646888482615,-0.01212278443894621,5.545000599526048,2.215441000911312,4.916951842938133,-6.127049258100858,-5.40094740492709,-6.001276341926651,affine,onscreen,LP
721123822,707296982,brain_observatory_1.1,58,10.889189627960402,-6.084463738255169,10.866033603255822,-6.293247426431188,11.321155329482972,-5.265177227967823,1.1243060609338036,-0.4551217262271514,-1.0280701984633651,11.037102448454904,11.297568527306684,11.128483133681677,-4.172415389564046,-3.916197834186221,-3.440192844658418,707296982,58,20,48.68023983446568,2.2162519906298948,47.085489238709364,1.1731804861662254,57.52724286099395,12.703843376857142,15.555912233207344,0.005765193617462083,-0.7772410045906923,-3.005095441646702,5.289469923129083,-5.934616454811746,-5.077186681167902,3.504348422655964,affine,onscreen,LP
744228101,719817805,brain_observatory_1.1,56,9.26781519284679,7.144855190465638,9.30813546224632,7.680285415242638,9.19835765475956,6.861665155274304,0.825948120070034,0.1097778074867612,0.8186202599683341,9.415728013341292,9.739670386297185,9.005685458958263,9.05690353915676,10.057335007487604,8.686649538583708,719817805,44,13,46.74180292983376,6.001305894892553,43.811116671465626,1.8752141421121586,49.63263771288337,14.05597512237917,13.50040907876739,-0.12445598795916957,-2.715677909222613,-6.27946800889044,-2.6051352249814954,-2.1495625505490867,-4.375153025221968,4.856480168177992,affine,onscreen,LP
750749662,726162197,brain_observatory_1.1,92,4.339783973568725,5.136218474346244,5.018266465471446,4.627069759894694,4.094280723516095,5.610077784373093,1.3490939283555108,0.9239857419553504,-0.9830080244783987,4.487696794063227,5.449801389522308,3.901608527714798,7.048266823037367,7.004119352139661,7.4350621676824975,726162197,44,15,43.45480743553831,9.21936002434754,42.569565390053555,10.400374160102778,46.312499656072376,3.1918773047332123,8.122313945767596,-0.051136159109927304,-6.002673403518067,-7.521019290302512,-5.925273281792492,1.0684915789059009,4.150006992768652,-6.007617649467965,affine,onscreen,LP
751348571,732548380,brain_observatory_1.1,74,3.029878811464587,-8.842530342436259,2.506941657095118,-10.135375976707133,4.013638033403936,-7.957475700129726,2.648279363114485,-1.5066963763088173,-2.1779002765774065,3.17779163195909,2.9384765811459803,3.8209658376026394,-6.930481993745135,-7.758326384462165,-6.132491316820321,732548380,37,19,54.74200190685042,5.199245204243487,42.88011105872435,5.199245204243487,57.885542407854864,7.353117252149188,15.159226061122586,0.006481651789966625,5.284521067794046,-7.210473621631714,5.647769469989996,-2.9516232411981527,-1.0511219630906394,-1.8463777020519903,affine,onscreen,LP
754829445,726298253,brain_observatory_1.1,141,27.257727969472448,-10.029133961870814,27.387117569526914,-10.696403840944406,27.24664297276605,-9.821761314656229,0.8858513764322383,0.1404745967608605,-0.8746425262881772,27.405640789966952,27.818652493577776,27.05397077696476,-8.11708561317969,-8.319354248699439,-7.996776931346824,726298253,44,12,49.37968178708873,10.784019438235163,52.89255062917872,12.940221069767055,40.092659483590914,10.255760927966318,13.07836150256652,0.03707881344291564,-0.07779905196764503,2.801965948822655,-12.145113454273954,2.6331509927935226,6.689853902432929,1.0562659737651394,affine,onscreen,LP
755434585,730760270,brain_observatory_1.1,142,2.402237731953563,-3.864944796000697,3.034962877575051,-3.6950425679400993,2.3967718769535638,-4.069330344408839,0.7398507233815271,0.6381910006214877,0.3742877764687398,2.550150552448066,3.4664978016259127,2.204099681152266,-1.9528964473095736,-1.3179929756951323,-2.2443459610994343,730760270,5,5,28.77705011487489,6.762779070083014,43.405631780872824,6.762779070083014,22.307261197110613,15.55161121682789,22.8557391434497,-0.00652695713038276,-20.680430724181484,-6.684952899483243,-29.930511740754255,-1.3880893753586259,0.5124119027488874,6.352116262626712,affine,onscreen,LP
756029989,734865738,brain_observatory_1.1,90,-0.1479128204945028,-7.199384147334168,-0.4315349240508617,-6.367807690999755,1.4698615105519588,-7.314396987348084,2.123991454192211,-1.9013964346028205,0.9465892963483292,0.0,0.0,1.2771893147506614,-5.287335798643045,-3.990758098754789,-5.48941260403868,734865738,16,5,53.18677959376342,-3.9763065356531233,51.34425052941847,-3.8157670862232655,53.355803470614156,-3.9763065356531233,2.0179489959006065,-0.01602494776896668,3.7292987547070453,1.2536658490624006,1.1180305327492874,-12.127174981094763,-10.066134253557392,-13.175801489854301,affine,onscreen,LP
757216464,733457989,brain_observatory_1.1,150,-3.624846433707762,5.901137971653048,-4.19431552039029,5.401852435003228,-3.203172921937475,7.074905294270354,1.9446000926590803,-0.9911425984528152,-1.673052859267126,-3.476933613213259,-3.7627805963394287,-3.3958451177387725,7.813186320344172,7.778902027248195,8.89988967757976,733457989,55,15,60.70581466133987,11.71892364296412,54.40579767811592,12.984271068631546,66.57078796782228,9.200824610121591,12.739758861652827,0.03949120002262052,11.248333822283499,4.315212997759851,14.333015029957416,3.5680551975224795,6.73390390129742,0.0013296559204132308,affine,onscreen,LP
757970808,730756780,brain_observatory_1.1,150,-23.162249504882528,0.3911913948515086,-25.17129782903649,1.1274044357184438,-21.99523524039209,-0.4329863432307275,3.5386710711814064,-3.176062588644399,1.560390778949171,-23.014336684388024,-24.73976290498563,-22.187907436193388,2.3032397435426324,3.5044540279634107,1.3919980400786771,730756780,20,10,55.84364917445016,5.112213246478575,54.23532354430783,5.604446569862925,60.846410915131116,5.112213246478575,6.629386839618664,-0.1423622589804494,6.3861683353937835,4.1447388639517655,8.608637977266248,-3.038655198963065,-0.6459205974712017,-4.087281707722603,affine,onscreen,LP
