selection,area,axis,sessions,pearson_r,spearman_rho,median_absolute_half_difference_deg
onscreen,LGd,az,30,0.2527386193310147,0.2912124582869855,10.319040160018151
onscreen,LGd,el,30,0.7724543830491674,0.7201334816462737,4.919547230066215
onscreen,LP,az,41,0.22918610109997892,0.23850174216027878,8.294565364775785
onscreen,LP,el,41,0.24362091192005134,0.34059233449477355,7.119255166284585
p01_onscreen,LGd,az,26,0.5976181528058458,0.5924786324786324,6.351241503780464
p01_onscreen,LGd,el,26,0.42818811933259626,0.4092307692307692,9.472157899836946
p01_onscreen,LP,az,35,0.14753006664349308,0.27815126050420175,8.929808582522334
p01_onscreen,LP,el,35,0.21165399483299163,0.39187675070028016,7.841679861132568
