analysis,axis,sessions,pearson_r,pearson_p,spearman_rho,spearman_p,loo_thalamus_mae_deg,loo_constant_mae_deg,loo_mae_gain_deg,loo_r2
onscreen_LGd,az,24,0.3704552746869295,0.074750588538714,0.27304347826086955,0.1967307228902543,9.628309928202784,10.207356189265735,0.5790462610629508,-0.010957148036525144
onscreen_LGd,el,24,-0.06755363258693388,0.7537980547921721,0.004347826086956522,0.9839134567350358,7.59739934719337,6.585165921688154,-1.0122334255052161,-0.25005910850981716
onscreen_LP,az,38,-0.3232751273038267,0.04773164998719484,-0.3021118284276179,0.06526021346884812,8.953953366771369,8.986132539596094,0.03217917282472449,-0.004961463519213671
onscreen_LP,el,38,0.18311926150521615,0.27113523716466514,0.10340299813984023,0.5367167833460535,7.19585513678141,7.652268383630621,0.4564132468492108,-0.0655738133973729
onscreen_combined,az,40,-0.11476545904518942,0.4807110753646029,-0.13696060037523455,0.3993800761960231,9.03075661054154,8.801682597701324,-0.2290740128402149,-0.09099143642083529
onscreen_combined,el,40,0.07737833669680254,0.6350878945763507,0.08742964352720452,0.5916485886591233,7.026576098376816,7.430315969499335,0.40373987112251886,-0.08391845884411508
p01_onscreen_LGd,az,24,0.19103804022547546,0.37121186864082883,0.040869565217391296,0.8496151500324182,10.623241731274451,10.207356189265735,-0.4158855420087164,-0.1204032226858549
p01_onscreen_LGd,el,24,-0.010944944268752616,0.9595183605840828,0.05913043478260869,0.783735252825447,7.4004399203315465,6.585165921688154,-0.8152739986433923,-0.1837784776494149
p01_onscreen_LP,az,31,-0.12337907490193956,0.5084521542200136,-0.15161290322580648,0.41554302669957277,9.375525625344785,8.732317358492976,-0.6432082668518095,-0.12572218661513967
p01_onscreen_LP,el,31,0.13717934574501017,0.4618007011875709,0.14879032258064517,0.42437898926127526,7.8500645513416325,8.306459497258063,0.45639494591643004,-0.14795320842646542
p01_onscreen_combined,az,38,-0.024986244664673002,0.8816298479091802,-0.020461757303862568,0.9029514251951198,8.753908017852055,8.516596551363039,-0.23731146648901635,-0.09214789138219803
p01_onscreen_combined,el,38,0.09682349443561206,0.5630728147067112,0.18809497756866175,0.25810042947423556,6.867480557524466,6.720534759910206,-0.14694579761426052,-0.07877647728510406
