ecephys_session_id,specimen_id,session_type,improved_units,offset_az_raw_deg,offset_el_raw_deg,half_a_az_raw_deg,half_a_el_raw_deg,half_b_az_raw_deg,half_b_el_raw_deg,split_distance_deg,split_az_difference_deg,split_el_difference_deg,offset_az_relative_deg_v1,half_a_az_relative_deg,half_b_az_relative_deg,offset_el_relative_deg_v1,half_a_el_relative_deg,half_b_el_relative_deg,units,nuclei,offset_az_relative_deg_thal,offset_el_relative_deg_thal,heldout_centered_r2
715093703,699733581,brain_observatory_1.1,93,3.250392561713686,-19.798440131765204,3.538790316856552,-20.054650644615627,1.851818413075235,-19.79382164192049,1.707016687907443,1.686971903781317,-0.2608290026951323,3.398305382208189,3.9703252409074135,1.6591462172739375,-17.88639178307408,-17.67760105237066,-17.96883725861109,64,2,-6.680994052971805,2.6374046246510994,0.18841910921649252
719161530,703279284,brain_observatory_1.1,83,32.46953346758848,-9.057827906761752,32.61941293545681,-8.851712406039226,32.454560790631035,-9.268592230234509,0.4482912194932504,0.1648521448257724,0.4168798241952807,32.61744628808298,33.05094785950767,32.261888594829735,-7.14577955807063,-6.474662813794259,-7.443607846925103,25,2,0.5540078706497134,-12.156565659012053,0.19099136161918046
721123822,707296982,brain_observatory_1.1,58,10.889189627960402,-6.084463738255169,10.866033603255822,-6.293247426431188,11.321155329482972,-5.265177227967823,1.1243060609338036,-0.4551217262271514,-1.0280701984633651,11.037102448454904,11.297568527306684,11.128483133681677,-4.172415389564046,-3.916197834186221,-3.440192844658418,51,1,2.7967623337768392,-0.8236224651006507,0.1506194379771274
744228101,719817805,brain_observatory_1.1,56,9.26781519284679,7.144855190465638,9.30813546224632,7.680285415242638,9.19835765475956,6.861665155274304,0.825948120070034,0.1097778074867612,0.8186202599683341,9.415728013341292,9.739670386297185,9.005685458958263,9.05690353915676,10.057335007487604,8.686649538583708,23,2,3.1394309569555467,4.46392862773532,0.015508081018831298
750749662,726162197,brain_observatory_1.1,92,4.339783973568725,5.136218474346244,5.018266465471446,4.627069759894694,4.094280723516095,5.610077784373093,1.3490939283555108,0.9239857419553504,-0.9830080244783987,4.487696794063227,5.449801389522308,3.901608527714798,7.048266823037367,7.004119352139661,7.4350621676824975,18,2,-3.7815300570723895,-13.362112155475657,-0.10844514961079298
751348571,732548380,brain_observatory_1.1,74,3.029878811464587,-8.842530342436259,2.506941657095118,-10.135375976707133,4.013638033403936,-7.957475700129726,2.648279363114485,-1.5066963763088173,-2.1779002765774065,3.17779163195909,2.9384765811459803,3.8209658376026394,-6.930481993745135,-7.758326384462165,-6.132491316820321,34,2,4.7455849821524225,-0.8562650204032828,0.10956455055341817
754312389,719828690,brain_observatory_1.1,144,-3.615977009475789,-7.110401733332624,-3.159309733518464,-7.385293653878839,-4.13320931587155,-6.604998046350929,1.247934946876185,0.973899582353086,-0.7802956075279104,-3.468064188981286,-2.7277748094676024,-4.325881511672847,-5.1983533846415,-5.008244061633873,-4.780013663041524,6,1,-8.814262420261613,6.387406103645476,0.02928713998022969
754829445,726298253,brain_observatory_1.1,141,27.257727969472448,-10.029133961870814,27.387117569526914,-10.696403840944406,27.24664297276605,-9.821761314656229,0.8858513764322383,0.1404745967608605,-0.8746425262881772,27.405640789966952,27.818652493577776,27.05397077696476,-8.11708561317969,-8.319354248699439,-7.996776931346824,55,2,6.1390049696608875,0.7532379195206405,-0.07935660513463583
755434585,730760270,brain_observatory_1.1,142,2.402237731953563,-3.864944796000697,3.034962877575051,-3.6950425679400993,2.3967718769535638,-4.069330344408839,0.7398507233815271,0.6381910006214877,0.3742877764687398,2.550150552448066,3.4664978016259127,2.204099681152266,-1.9528964473095736,-1.3179929756951323,-2.2443459610994343,27,1,-4.745902297523764,0.07994011167822368,0.3705020018366717
756029989,734865738,brain_observatory_1.1,90,-0.1479128204945028,-7.199384147334168,-0.4315349240508617,-6.367807690999755,1.4698615105519588,-7.314396987348084,2.123991454192211,-1.9013964346028205,0.9465892963483292,0.0,0.0,1.2771893147506614,-5.287335798643045,-3.990758098754789,-5.48941260403868,25,2,-6.083515238661197,-13.077587801232958,-0.20900475234565938
