stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,color,phase,x_position,spatial_frequency,orientation,size,frame,stimulus_name,temporal_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,89.06557,89.299092,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.23352246,1,,,0,,False,0,train,2
2,0.0,89.299092,89.549295,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25020263,2,,,0,,False,0,train,1
3,0.0,89.549295,89.799498,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25020263,3,,,0,,False,0,train,0
4,0.0,89.799498,90.0497,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25020263,4,,,0,,False,0,train,1
5,0.0,90.0497,90.29992,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25021991,5,,,0,,False,0,train,0
6,0.0,90.29992,90.55014,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25021991,6,,,0,,False,0,train,0
7,0.0,90.55014,90.80036,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25021991,7,,,0,,False,0,train,2
8,0.0,90.80036,91.05058,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021991,8,,,0,,False,0,train,0
9,0.0,91.05058,91.300775,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25019509,9,,,0,,False,0,train,1
10,0.0,91.300775,91.55097,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25019509,10,,,0,,False,0,train,2
11,0.0,91.55097,91.801165,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25019509,11,,,0,,False,0,train,0
12,0.0,91.801165,92.05136,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25019509,12,,,0,,False,0,train,1
13,0.0,92.05136,92.301583,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25022241,13,,,0,,False,0,train,1
14,0.0,92.301583,92.551805,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25022241,14,,,0,,False,0,train,0
15,0.0,92.551805,92.802027,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25022241,8,,,0,,False,1,train,0
16,0.0,92.802027,93.05225,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25022241,15,,,0,,False,0,train,1
17,0.0,93.05225,93.302445,0.8,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25019509,16,,,0,,False,0,train,2
18,0.0,93.302445,93.55264,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25019509,17,,,0,,False,0,train,1
19,0.0,93.55264,93.802835,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25019509,18,,,0,,False,0,train,0
20,0.0,93.802835,94.05303,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25019509,19,,,0,,False,0,train,1
21,0.0,94.05303,94.303248,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021741,20,,,0,,False,0,train,0
22,0.0,94.303248,94.553465,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25021741,21,,,0,,False,0,train,0
23,0.0,94.553465,94.803682,0.8,null,"[3644.93333333, 3644.93333333]",20.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25021741,22,,,0,,False,0,train,2
24,0.0,94.803682,95.0539,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25021741,23,,,0,,False,0,train,1
25,0.0,95.0539,95.3041,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25020009,24,,,0,,False,0,train,2
26,0.0,95.3041,95.5543,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,20.0,0.25020009,25,,,0,,False,0,train,2
27,0.0,95.5543,95.8045,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,0.0,0.25020009,26,,,0,,False,0,train,1
28,0.0,95.8045,96.0547,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25020009,27,,,0,,False,0,train,2
29,0.0,96.0547,96.304915,0.8,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-40.0,0.25021491,28,,,0,,False,0,train,2
30,0.0,96.304915,96.55513,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021491,29,,,0,,False,0,train,1
31,0.0,96.55513,96.805345,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25021491,30,,,0,,False,0,train,1
32,0.0,96.805345,97.05556,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25021491,17,,,0,,False,1,train,1
33,0.0,97.05556,97.305765,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,45.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25020509,31,,,0,,False,0,train,1
34,0.0,97.305765,97.55597,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25020509,14,,,0,,False,1,train,0
35,0.0,97.55597,97.806175,0.8,null,"[3644.93333333, 3644.93333333]",0.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,10.0,0.25020509,32,,,0,,False,0,train,0
36,0.0,97.806175,98.05638,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25020509,33,,,0,,False,0,train,2
37,0.0,98.05638,98.306593,0.8,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-10.0,0.25021241,33,,,0,,False,1,train,2
38,0.0,98.306593,98.556805,0.8,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,-20.0,0.25021241,34,,,0,,False,0,train,2
39,0.0,98.556805,98.807017,0.8,null,"[3644.93333333, 3644.93333333]",10.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,40.0,0.25021241,35,,,0,,False,0,train,0
40,0.0,98.807017,99.05723,0.8,null,"[3644.93333333, 3644.93333333]",40.0,0.08,0.0,"[20.0, 20.0]",null,gabors,4.0,-30.0,0.25021241,36,,,0,,False,0,train,0
41,0.0,99.05723,99.307432,0.8,null,"[3644.93333333, 3644.93333333]",30.0,0.08,90.0,"[20.0, 20.0]",null,gabors,4.0,30.0,0.25020259,37,,,0,,False,0,train,2
