stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,color,size,spatial_frequency,x_position,frame,contrast,stimulus_name,orientation,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2272,0.0,652.83126,653.08147,-30.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25020816,43,,,0,,False,6,train,2
2273,0.0,653.08147,653.33168,-20.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021184,206,,,0,,False,9,train,0
2274,0.0,653.33168,653.58189,40.0,null,"[20.0, 20.0]",0.08,40.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021184,104,,,0,,False,6,train,2
2275,0.0,653.58189,653.83211,30.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021184,161,,,0,,False,8,test,0
2276,0.0,653.83211,654.08232,20.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021184,27,,,0,,False,10,train,2
2277,0.0,654.08232,654.33253,30.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021066,61,,,0,,False,10,train,0
2278,0.0,654.33253,654.58274,-20.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021066,73,,,0,,False,11,test,0
2279,0.0,654.58274,654.83295,-20.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021066,196,,,0,,False,9,train,0
2280,0.0,654.83295,655.08316,-10.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021066,147,,,0,,False,6,train,1
2281,0.0,655.08316,655.33337,0.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,20,,,0,,False,8,test,2
2282,0.0,655.33337,655.58357,-20.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,50,,,0,,False,10,train,0
