stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,size,contrast,coherence,frame,spatial_frequency,orientation,color,phase,y_position,stimulus_name,x_position,Speed,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3159,0.0,859.13775,859.38796,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,-40.0,null,null,0.25020711,100,,,0,,False,11,test,0
3160,0.0,859.38796,859.63816,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-10.0,null,null,0.25020711,203,,,0,,False,12,train,1
3161,0.0,859.63816,859.88838,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,30.0,null,null,0.25021289,98,,,0,,False,10,train,0
3162,0.0,859.88838,860.13859,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,10.0,null,null,0.25021289,79,,,0,,False,14,test,2
3163,0.0,860.13859,860.3888,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-20.0,null,null,0.25021289,31,,,0,,False,13,train,1
3164,0.0,860.3888,860.63902,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,40.0,null,null,0.25021289,36,,,0,,False,12,train,1
3165,0.0,860.63902,860.88923,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,-10.0,null,null,0.25021461,115,,,0,,False,11,test,1
3166,0.0,860.88923,861.13944,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,0.0,null,null,0.25021461,157,,,0,,False,13,train,1
3167,0.0,861.13944,861.38966,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-40.0,null,null,0.25021461,113,,,0,,False,11,test,2
3168,0.0,861.38966,861.63987,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,-30.0,null,null,0.25021461,141,,,0,,False,12,train,2
3169,0.0,861.63987,861.89006,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,-20.0,null,null,0.25019039,33,,,0,,False,13,train,2
3170,0.0,861.89006,862.14025,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,20.0,null,null,0.25019039,73,,,0,,False,13,train,0
3171,0.0,862.14025,862.39045,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,10.0,null,null,0.25019039,94,,,0,,False,11,test,0
3172,0.0,862.39045,862.64064,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,0.0,null,null,0.25019039,7,,,0,,False,12,train,0
3173,0.0,862.64064,862.89085,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,10.0,null,null,0.25021711,11,,,0,,False,12,train,1
3174,0.0,862.89085,863.14107,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,-40.0,null,null,0.25021711,47,,,0,,False,12,train,1
3175,0.0,863.14107,863.39129,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,-20.0,null,null,0.25021711,190,,,0,,False,11,test,0
3176,0.0,863.39129,863.6415,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,-40.0,null,null,0.25021711,129,,,0,,False,11,test,0
3177,0.0,863.6415,863.89171,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,null,null,0.25020539,232,,,0,,False,10,train,2
3178,0.0,863.89171,864.14191,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,40.0,null,null,0.25020539,36,,,0,,False,13,train,1
3179,0.0,864.14191,864.39212,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,40.0,null,null,0.25020539,206,,,0,,False,12,train,0
3180,0.0,864.39212,864.64233,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,-40.0,null,null,0.25020539,45,,,0,,False,14,test,0
3181,0.0,864.64233,864.89255,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,20.0,null,null,0.25022711,73,,,0,,False,14,test,0
3182,0.0,864.89255,865.14278,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,10.0,null,null,0.25022711,9,,,0,,False,12,train,0
