ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
715093703,interior_v1_rf_size_translation,-6.04434,-14.6666,0,0,0,0,0.705349,0.276219,0.429129,0.295192,0.824438,4.875,0,False,0
719161530,interior_v1_rf_size_translation,-4.14675,13.3334,0,0,0,0,1.63716,0.435239,1.20192,-0.635783,0.642751,4.125,0,False,0
721123822,interior_v1_rf_size_translation,14.9998,9.33332,0,0,0,0,1.44591,0.488524,0.957388,-0.444161,0.636318,0.375,1.5,True,0
732592105,interior_v1_rf_size_translation,-13.3336,-10.6666,0,0,0,0,1.32463,0.693672,0.630954,-0.324626,0.422953,4.125,3,False,0
737581020,interior_v1_rf_size_translation,14.9975,-11.9999,0,0,0,0,1.50903,0.710037,0.798994,-0.509031,0.437532,0.375,2.25,True,0
739448407,interior_v1_rf_size_translation,8.23303,-8.00001,0,0,0,0,1.04444,0.405095,0.639349,-0.0444437,0.647618,1.5,0.75,False,0
742951821,interior_v1_rf_size_translation,-9.33395,-0.00168125,0,0,0,0,0.865738,0.540802,0.324936,0.135496,0.494047,0.375,1.5,False,0
744228101,interior_v1_rf_size_translation,9.33343,-13.3786,0,0,0,0,1.11214,0.198052,0.914091,-0.112143,0.908388,7.125,3.75,False,0
746083955,interior_v1_rf_size_translation,-12.751,1.33155,0,0,0,0,0.957518,0.306764,0.650754,0.0424819,0.758981,1.125,0.75,False,0
750332458,interior_v1_rf_size_translation,3.9574,-1.33336,0,0,0,0,0.819549,0.533069,0.286479,0.180451,0.473906,2.625,0.375,False,0
750749662,interior_v1_rf_size_translation,14.6669,14.9984,0,0,0,0,1.11519,0.696221,0.418965,-0.115186,0.479807,2.625,0.375,True,0
751348571,interior_v1_rf_size_translation,-14.1721,9.33352,0,0,0,0,1.34002,0.629834,0.710186,-0.339586,0.485351,2.25,0.375,False,0
754312389,interior_v1_rf_size_translation,6.66666,-1.47741,0,0,0,0,0.834718,0.689903,0.144815,0.16894,0.328748,3,4.125,False,0
754829445,interior_v1_rf_size_translation,14.6679,5.33349,0,0,0,0,1.05286,0.835635,0.217223,-0.0528574,0.261803,1.5,3.75,False,0
755434585,interior_v1_rf_size_translation,14.9901,14.6667,0,0,0,0,1.54653,0.674191,0.872341,-0.544536,0.501735,1.5,1.5,True,0
756029989,interior_v1_rf_size_translation,13.3334,-8.64789,0,0,0,0,1.17963,0.257213,0.922417,-0.179631,0.843813,3,2.25,False,0
757216464,interior_v1_rf_size_translation,14.6957,-1.33335,0,0,0,0,1.46963,0.75721,0.712416,-0.469626,0.329886,0,1.125,False,0
757970808,interior_v1_rf_size_translation,-12.0001,-14.9999,0,0,0,0,1.07066,0.692493,0.378168,-0.0685906,0.455106,1.875,0,True,0
758798717,interior_v1_rf_size_translation,-1.35842,1.33329,0,0,0,0,0.736507,0.656138,0.0803695,0.263493,0.345311,3,0.375,False,0
759883607,interior_v1_rf_size_translation,-14.9916,8.00002,0,0,0,0,1.37574,0.809095,0.566641,-0.375737,0.306404,0.375,3,True,0
760345702,interior_v1_rf_size_translation,13.3349,5.33411,0,0,0,0,1.07316,0.487196,0.585967,-0.0731625,0.595313,1.5,1.875,False,0
