stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3060,0.0,854.90857,855.15878,0.8,"[20.0, 20.0]",null,null,4.0,20.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020993,12,,,0,,False,10,train,0
3061,0.0,855.15878,855.40899,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,32,,,0,,False,12,train,0
3062,0.0,855.40899,855.6592,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,106,,,0,,False,12,train,0
3063,0.0,855.6592,855.9094,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,95,,,0,,False,12,train,0
3064,0.0,855.9094,856.15961,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020757,190,,,0,,False,8,test,0
3065,0.0,856.15961,856.40982,0.8,"[20.0, 20.0]",null,null,4.0,40.0,0.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,85,,,0,,False,12,train,1
3066,0.0,856.40982,856.66003,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,7,,,0,,False,14,test,0
3067,0.0,856.66003,856.91023,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,162,,,0,,False,14,test,2
3068,0.0,856.91023,857.16044,0.8,"[20.0, 20.0]",null,null,4.0,40.0,20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,151,,,0,,False,11,test,1
3069,0.0,857.16044,857.41065,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021007,142,,,0,,False,12,train,0
