stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,orientation,phase,contrast,stimulus_name,color,x_position,size,y_position,spatial_frequency,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.693035,84.92656,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",10.0,0.08,null,0.2335247,1,,,0,,False,0,train,2
2,0.0,84.92656,85.176765,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020503,2,,,0,,False,0,train,1
3,0.0,85.176765,85.42697,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-10.0,0.08,null,0.25020503,3,,,0,,False,0,train,2
4,0.0,85.42697,85.677175,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",0.0,0.08,null,0.25020503,4,,,0,,False,0,train,0
5,0.0,85.677175,85.92739,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",20.0,0.08,null,0.25021505,5,,,0,,False,0,train,1
6,0.0,85.92739,86.177605,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021505,6,,,0,,False,0,train,1
7,0.0,86.177605,86.42782,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25021505,7,,,0,,False,0,train,2
8,0.0,86.42782,86.678035,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021505,8,,,0,,False,0,train,0
9,0.0,86.678035,86.928235,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",0.0,0.08,null,0.25019995,9,,,0,,False,0,train,1
10,0.0,86.928235,87.178435,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",0.0,0.08,null,0.25019995,9,,,0,,False,1,train,1
11,0.0,87.178435,87.428635,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-10.0,0.08,null,0.25019995,10,,,0,,False,0,train,1
12,0.0,87.428635,87.678835,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",10.0,0.08,null,0.25019995,11,,,0,,False,0,train,0
13,0.0,87.678835,87.92906,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",10.0,0.08,null,0.25022505,12,,,0,,False,0,train,2
14,0.0,87.92906,88.179285,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-30.0,0.08,null,0.25022505,13,,,0,,False,0,train,0
15,0.0,88.179285,88.42951,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25022505,14,,,0,,False,0,train,1
16,0.0,88.42951,88.679735,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-40.0,0.08,null,0.25022505,15,,,0,,False,0,train,1
17,0.0,88.679735,88.92993,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",10.0,0.08,null,0.25019495,11,,,0,,False,1,train,0
18,0.0,88.92993,89.180125,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25019495,7,,,0,,False,1,train,2
19,0.0,89.180125,89.43032,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",40.0,0.08,null,0.25019495,16,,,0,,False,0,train,1
20,0.0,89.43032,89.680515,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",-20.0,0.08,null,0.25019495,17,,,0,,False,0,train,0
21,0.0,89.680515,89.930728,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021255,18,,,0,,False,0,train,2
22,0.0,89.930728,90.18094,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",10.0,0.08,null,0.25021255,19,,,0,,False,0,train,2
23,0.0,90.18094,90.431153,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",40.0,0.08,null,0.25021255,20,,,0,,False,0,train,1
24,0.0,90.431153,90.681365,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",10.0,0.08,null,0.25021255,21,,,0,,False,0,train,0
25,0.0,90.681365,90.93157,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",0.0,0.08,null,0.25020495,22,,,0,,False,0,train,0
26,0.0,90.93157,91.181775,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,23,,,0,,False,0,train,2
27,0.0,91.181775,91.43198,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020495,24,,,0,,False,0,train,2
28,0.0,91.43198,91.682185,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",0.0,0.08,null,0.25020495,25,,,0,,False,0,train,0
29,0.0,91.682185,91.93241,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",0.0,0.08,null,0.25022505,26,,,0,,False,0,train,2
30,0.0,91.93241,92.182635,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-30.0,0.08,null,0.25022505,27,,,0,,False,0,train,2
31,0.0,92.182635,92.43286,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",40.0,0.08,null,0.25022505,28,,,0,,False,0,train,0
32,0.0,92.43286,92.683085,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",40.0,0.08,null,0.25022505,29,,,0,,False,0,train,1
33,0.0,92.683085,92.93328,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",40.0,0.08,null,0.25019495,30,,,0,,False,0,train,2
34,0.0,92.93328,93.183475,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-20.0,0.08,null,0.25019495,31,,,0,,False,0,train,2
35,0.0,93.183475,93.43367,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",40.0,0.08,null,0.25019495,32,,,0,,False,0,train,2
36,0.0,93.43367,93.683865,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-40.0,0.08,null,0.25019495,33,,,0,,False,0,train,1
37,0.0,93.683865,93.934078,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021255,34,,,0,,False,0,train,1
38,0.0,93.934078,94.18429,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021255,35,,,0,,False,0,train,0
39,0.0,94.18429,94.434503,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021255,36,,,0,,False,0,train,0
40,0.0,94.434503,94.684715,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021255,37,,,0,,False,0,train,0
41,0.0,94.684715,94.934915,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",10.0,0.08,null,0.25019995,38,,,0,,False,0,train,0
42,0.0,94.934915,95.185115,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25019995,39,,,0,,False,0,train,0
43,0.0,95.185115,95.435315,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-20.0,0.08,null,0.25019995,40,,,0,,False,0,train,2
44,0.0,95.435315,95.685515,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",0.0,0.08,null,0.25019995,22,,,0,,False,1,train,0
45,0.0,95.685515,95.93573,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",40.0,0.08,null,0.25021505,41,,,0,,False,0,train,2
46,0.0,95.93573,96.185945,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25021505,7,,,0,,False,2,test,2
47,0.0,96.185945,96.43616,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",40.0,0.08,null,0.25021505,20,,,0,,False,1,train,1
48,0.0,96.43616,96.686375,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021505,42,,,0,,False,0,train,1
49,0.0,96.686375,96.93658,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,43,,,0,,False,0,train,2
50,0.0,96.93658,97.186785,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",0.0,0.08,null,0.25020495,4,,,0,,False,1,train,0
51,0.0,97.186785,97.43699,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",30.0,0.08,null,0.25020495,44,,,0,,False,0,train,0
52,0.0,97.43699,97.687195,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,7,,,0,,False,3,train,2
53,0.0,97.687195,97.93741,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",10.0,0.08,null,0.25021505,45,,,0,,False,0,train,0
54,0.0,97.93741,98.187625,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",20.0,0.08,null,0.25021505,46,,,0,,False,0,train,0
55,0.0,98.187625,98.43784,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021505,47,,,0,,False,0,train,1
56,0.0,98.43784,98.688055,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-10.0,0.08,null,0.25021505,48,,,0,,False,0,train,2
57,0.0,98.688055,98.938258,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020245,49,,,0,,False,0,train,0
58,0.0,98.938258,99.18846,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-20.0,0.08,null,0.25020245,50,,,0,,False,0,train,0
