stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,orientation,phase,contrast,stimulus_name,color,x_position,size,y_position,spatial_frequency,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
59,0.0,99.18846,99.438663,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",-10.0,0.08,null,0.25020245,48,,,0,,False,1,train,2
60,0.0,99.438663,99.688865,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",10.0,0.08,null,0.25020245,38,,,0,,False,1,train,0
61,0.0,99.688865,99.939083,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",40.0,0.08,null,0.25021755,51,,,0,,False,0,train,1
62,0.0,99.939083,100.1893,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",40.0,0.08,null,0.25021755,52,,,0,,False,0,train,0
63,0.0,100.1893,100.43952,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",20.0,0.08,null,0.25021755,53,,,0,,False,0,train,2
64,0.0,100.43952,100.68974,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",20.0,0.08,null,0.25021755,54,,,0,,False,0,train,1
65,0.0,100.68974,100.93994,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",0.0,0.08,null,0.25019995,55,,,0,,False,0,train,2
66,0.0,100.93994,101.19014,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",30.0,0.08,null,0.25019995,56,,,0,,False,0,train,2
67,0.0,101.19014,101.44034,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",20.0,0.08,null,0.25019995,57,,,0,,False,0,train,1
68,0.0,101.44034,101.69054,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",20.0,0.08,null,0.25019995,58,,,0,,False,0,train,2
69,0.0,101.69054,101.94075,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021755,59,,,0,,False,0,train,1
70,0.0,101.94075,102.19097,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",0.0,0.08,null,0.25021755,60,,,0,,False,0,train,2
71,0.0,102.19097,102.44119,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021755,33,,,0,,False,1,train,1
72,0.0,102.44119,102.69141,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021755,61,,,0,,False,0,train,2
73,0.0,102.69141,102.94161,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020495,15,,,0,,False,1,train,1
74,0.0,102.94161,103.19182,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",10.0,0.08,null,0.25020495,1,,,0,,False,1,train,2
75,0.0,103.19182,103.44202,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",40.0,0.08,null,0.25020495,62,,,0,,False,0,train,1
76,0.0,103.44202,103.69223,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",0.0,0.08,null,0.25020495,63,,,0,,False,0,train,0
77,0.0,103.69223,103.94244,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021755,13,,,0,,False,1,train,0
78,0.0,103.94244,104.19266,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021755,64,,,0,,False,0,train,0
79,0.0,104.19266,104.44288,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021755,65,,,0,,False,0,train,2
80,0.0,104.44288,104.6931,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",40.0,0.08,null,0.25021755,66,,,0,,False,0,train,0
81,0.0,104.6931,104.94329,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",-20.0,0.08,null,0.25019745,67,,,0,,False,0,train,2
82,0.0,104.94329,105.19349,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-20.0,0.08,null,0.25019745,68,,,0,,False,0,train,0
83,0.0,105.19349,105.44369,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",40.0,0.08,null,0.25019745,69,,,0,,False,0,train,1
84,0.0,105.44369,105.69389,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",0.0,0.08,null,0.25019745,9,,,0,,False,2,test,1
85,0.0,105.69389,105.9441,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021255,70,,,0,,False,0,train,2
86,0.0,105.9441,106.19431,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",10.0,0.08,null,0.25021255,21,,,0,,False,1,train,0
87,0.0,106.19431,106.44452,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021255,33,,,0,,False,2,test,1
88,0.0,106.44452,106.69474,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",40.0,0.08,null,0.25021255,29,,,0,,False,1,train,1
89,0.0,106.69474,106.94494,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,71,,,0,,False,0,train,1
90,0.0,106.94494,107.19515,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",0.0,0.08,null,0.25020495,72,,,0,,False,0,train,2
91,0.0,107.19515,107.44535,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,73,,,0,,False,0,train,0
92,0.0,107.44535,107.69556,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",20.0,0.08,null,0.25020495,74,,,0,,False,0,train,2
93,0.0,107.69556,107.94576,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",-10.0,0.08,null,0.25020755,75,,,0,,False,0,train,1
94,0.0,107.94576,108.19597,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020755,76,,,0,,False,0,train,1
95,0.0,108.19597,108.44618,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-10.0,0.08,null,0.25020755,77,,,0,,False,0,train,1
96,0.0,108.44618,108.69639,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",30.0,0.08,null,0.25020755,78,,,0,,False,0,train,0
97,0.0,108.69639,108.9466,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",10.0,0.08,null,0.25021245,79,,,0,,False,0,train,1
98,0.0,108.9466,109.19681,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021245,2,,,0,,False,1,train,1
99,0.0,109.19681,109.44702,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021245,80,,,0,,False,0,train,2
100,0.0,109.44702,109.69724,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",10.0,0.08,null,0.25021245,81,,,0,,False,0,train,0
101,0.0,109.69724,109.94744,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",40.0,0.08,null,0.25020755,20,,,0,,False,2,test,1
102,0.0,109.94744,110.19765,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",10.0,0.08,null,0.25020755,82,,,0,,False,0,train,1
103,0.0,110.19765,110.44786,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020755,83,,,0,,False,0,train,1
104,0.0,110.44786,110.69807,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",10.0,0.08,null,0.25020755,84,,,0,,False,0,train,2
105,0.0,110.69807,110.94828,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020995,85,,,0,,False,0,train,1
106,0.0,110.94828,111.19849,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020995,83,,,0,,False,1,train,1
107,0.0,111.19849,111.4487,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",40.0,0.08,null,0.25020995,86,,,0,,False,0,train,0
108,0.0,111.4487,111.69891,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020995,87,,,0,,False,0,train,0
109,0.0,111.69891,111.94911,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",30.0,0.08,null,0.25020755,88,,,0,,False,0,train,0
110,0.0,111.94911,112.19932,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020755,89,,,0,,False,0,train,2
111,0.0,112.19932,112.44953,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",30.0,0.08,null,0.25020755,90,,,0,,False,0,train,2
112,0.0,112.44953,112.69974,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",40.0,0.08,null,0.25020755,52,,,0,,False,1,train,0
113,0.0,112.69974,112.94994,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",10.0,0.08,null,0.25020745,91,,,0,,False,0,train,1
114,0.0,112.94994,113.20015,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-40.0,0.08,null,0.25020745,59,,,0,,False,1,train,1
115,0.0,113.20015,113.45036,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",30.0,0.08,null,0.25020745,92,,,0,,False,0,train,1
116,0.0,113.45036,113.70057,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",0.0,0.08,null,0.25020745,93,,,0,,False,0,train,2
117,0.0,113.70057,113.95078,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",0.0,0.08,null,0.25021755,4,,,0,,False,2,test,0
118,0.0,113.95078,114.201,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",0.0,0.08,null,0.25021755,94,,,0,,False,0,train,2
119,0.0,114.201,114.45122,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",30.0,0.08,null,0.25021755,95,,,0,,False,0,train,1
120,0.0,114.45122,114.70144,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",30.0,0.08,null,0.25021755,92,,,0,,False,1,train,1
121,0.0,114.70144,114.95164,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",40.0,0.08,null,0.25020245,96,,,0,,False,0,train,2
122,0.0,114.95164,115.20184,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",0.0,0.08,null,0.25020245,97,,,0,,False,0,train,0
123,0.0,115.20184,115.45204,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",40.0,0.08,null,0.25020245,98,,,0,,False,0,train,1
124,0.0,115.45204,115.70225,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,40.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020245,99,,,0,,False,0,train,2
125,0.0,115.70225,115.95246,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",40.0,0.08,null,0.25021255,100,,,0,,False,0,train,0
126,0.0,115.95246,116.20267,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,30.0,"[20.0, 20.0]",30.0,0.08,null,0.25021255,101,,,0,,False,0,train,0
127,0.0,116.20267,116.45288,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,10.0,"[20.0, 20.0]",-10.0,0.08,null,0.25021255,102,,,0,,False,0,train,2
128,0.0,116.45288,116.7031,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",0.0,0.08,null,0.25021255,103,,,0,,False,0,train,2
129,0.0,116.7031,116.9533,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-30.0,0.08,null,0.25019995,104,,,0,,False,0,train,1
130,0.0,116.9533,117.2035,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,20.0,"[20.0, 20.0]",10.0,0.08,null,0.25019995,38,,,0,,False,2,test,0
131,0.0,117.2035,117.4537,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",0.0,0.08,null,0.25019995,55,,,0,,False,1,train,2
132,0.0,117.4537,117.7039,4.0,45.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",20.0,0.08,null,0.25019995,105,,,0,,False,0,train,1
133,0.0,117.7039,117.95411,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-10.0,"[20.0, 20.0]",-20.0,0.08,null,0.25021255,80,,,0,,False,1,train,2
134,0.0,117.95411,118.20432,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-40.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021255,106,,,0,,False,0,train,0
135,0.0,118.20432,118.45453,4.0,90.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,0.0,"[20.0, 20.0]",-40.0,0.08,null,0.25021255,107,,,0,,False,0,train,2
136,0.0,118.45453,118.70475,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-30.0,"[20.0, 20.0]",-30.0,0.08,null,0.25021255,64,,,0,,False,1,train,0
137,0.0,118.70475,118.95495,4.0,0.0,"[3644.93333333, 3644.93333333]",0.8,gabors,null,-20.0,"[20.0, 20.0]",-30.0,0.08,null,0.25020495,108,,,0,,False,0,train,0
