stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
583,0.0,235.99903,236.24924,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021459,217,,,0,,False,1,train,2
584,0.0,236.24924,236.49946,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",0.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021459,66,,,0,,False,2,test,1
585,0.0,236.49946,236.74966,0.8,gabors,0.0,null,null,"[20.0, 20.0]",30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,1,,,0,,False,5,test,0
586,0.0,236.74966,236.99987,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",-40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,172,,,0,,False,4,train,2
587,0.0,236.99987,237.25008,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,95,,,0,,False,4,train,2
588,0.0,237.25008,237.50028,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,9,,,0,,False,2,test,1
589,0.0,237.50028,237.75049,0.8,gabors,10.0,null,null,"[20.0, 20.0]",10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,7,,,0,,False,4,train,1
590,0.0,237.75049,238.0007,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",-20.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,163,,,0,,False,2,test,0
591,0.0,238.0007,238.25091,0.8,gabors,0.0,null,null,"[20.0, 20.0]",10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,224,,,0,,False,1,train,1
592,0.0,238.25091,238.50112,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,167,,,0,,False,2,test,0
593,0.0,238.50112,238.75133,0.8,gabors,10.0,null,null,"[20.0, 20.0]",30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,204,,,0,,False,1,train,1
594,0.0,238.75133,239.00154,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,56,,,0,,False,1,train,0
595,0.0,239.00154,239.25175,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",10.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,73,,,0,,False,3,train,0
596,0.0,239.25175,239.50196,0.8,gabors,0.0,null,null,"[20.0, 20.0]",40.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,114,,,0,,False,1,train,0
597,0.0,239.50196,239.75217,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,148,,,0,,False,2,test,1
598,0.0,239.75217,240.00238,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-30.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,29,,,0,,False,3,train,2
599,0.0,240.00238,240.25259,0.8,gabors,10.0,null,null,"[20.0, 20.0]",10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,53,,,0,,False,3,train,2
600,0.0,240.25259,240.5028,0.8,gabors,40.0,null,null,"[20.0, 20.0]",-40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020959,225,,,0,,False,0,train,1
601,0.0,240.5028,240.75301,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,212,,,0,,False,1,train,1
602,0.0,240.75301,241.00321,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,62,,,0,,False,4,train,1
603,0.0,241.00321,241.25342,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",20.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,135,,,0,,False,2,test,0
604,0.0,241.25342,241.50363,0.8,gabors,-10.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020791,203,,,0,,False,1,train,1
605,0.0,241.50363,241.75384,0.8,gabors,10.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020709,67,,,0,,False,5,test,2
606,0.0,241.75384,242.00404,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020709,189,,,0,,False,2,test,2
607,0.0,242.00404,242.25425,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020709,12,,,0,,False,4,train,2
608,0.0,242.25425,242.50446,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020709,62,,,0,,False,5,test,1
609,0.0,242.50446,242.75467,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",0.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,11,,,0,,False,3,train,0
610,0.0,242.75467,243.00488,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",-30.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,130,,,0,,False,1,train,1
