group,units,sessions,stratified_rho,session_area_groups,median_group_rho,sign_agreement
V1,3186,31,-0.168164,31,-0.175448,0.806452
HVA pooled,7733,31,0.536962,117,0.631775,0.940171
LM,1211,23,0.390256,22,0.348709,0.863636
RL,1642,27,0.619577,27,0.67032,1
AL,2036,24,0.667534,24,0.772089,0.958333
PM,1107,19,0.394965,19,0.485189,0.842105
AM,1737,25,0.500348,25,0.481021,1
