ecephys_session_id,selected_model,translation_azimuth_deg,translation_elevation_deg,rotation_deg,log_scale_azimuth,log_scale_elevation,shear,identity_regularized_loss,aligned_regularized_loss,regularized_loss_gain,identity_rf_size_correlation,aligned_rf_size_correlation,azimuth_profile_width_deg,elevation_profile_width_deg,translation_at_bound,split_half
715093703,interior_v1_rf_size_translation,-6.22426,-14.6667,0,0,0,0,0.705349,0.219891,0.485457,0.295192,0.825238,4.875,0,False,0
719161530,interior_v1_rf_size_translation,-4.19874,13.3339,0,0,0,0,1.63716,0.392647,1.24452,-0.635783,0.642095,2.625,0.375,False,0
721123822,interior_v1_rf_size_translation,14.9991,9.33332,0,0,0,0,1.44591,0.419156,1.02676,-0.444161,0.636326,0.375,2.25,True,0
732592105,interior_v1_rf_size_translation,-15,-10.6429,0,0,0,0,1.32463,0.623903,0.700723,-0.324626,0.436234,2.625,3.375,True,0
737581020,interior_v1_rf_size_translation,14.9894,-11.9981,0,0,0,0,1.50903,0.628563,0.880468,-0.509031,0.436973,0.375,3,True,0
739448407,interior_v1_rf_size_translation,8.0761,-8.00001,0,0,0,0,1.04444,0.376722,0.667722,-0.0444437,0.646251,3,1.5,False,0
742951821,interior_v1_rf_size_translation,-9.33379,-0.00241249,0,0,0,0,0.865738,0.521498,0.34424,0.135496,0.49399,0.75,1.5,False,0
744228101,interior_v1_rf_size_translation,13.3341,-12,0,0,0,0,1.11214,0.120854,0.99129,-0.112143,0.936355,3,4.125,False,0
746083955,interior_v1_rf_size_translation,-8.40801,-9.33334,0,0,0,0,0.957518,0.316322,0.641196,0.0424819,0.711732,3.75,0.375,False,0
750332458,interior_v1_rf_size_translation,3.92701,-1.33348,0,0,0,0,0.819549,0.529322,0.290227,0.180451,0.473736,3,0.375,False,0
750749662,interior_v1_rf_size_translation,15,15,0,0,0,0,1.11519,0.597351,0.517835,-0.115186,0.482649,1.5,0.375,True,0
751348571,interior_v1_rf_size_translation,-14.9823,9.33344,0,0,0,0,1.34002,0.560333,0.779687,-0.339586,0.49506,1.5,0.75,True,0
