outer_session_id,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
715093703,ccf_anatomy,0.2,13,0.3490465915723961
715093703,ccf_anatomy,0.35,13,0.3883948118313814
715093703,ccf_anatomy,0.55,13,0.38331902551963626
715093703,ccf_anatomy,0.8,13,0.35972485259659787
715093703,ccf_anatomy,1.15,13,0.37272452372630865
715093703,registered_map,0.2,13,0.3939554687250622
715093703,registered_map,0.35,13,0.3843455472163028
715093703,registered_map,0.55,13,0.35551766426353537
715093703,registered_map,0.8,13,0.36694495509082553
715093703,registered_map,1.15,13,0.3757565118212702
715093703,observed_rf,0.2,13,0.1159090909090909
715093703,observed_rf,0.35,13,0.19983770258999617
715093703,observed_rf,0.55,13,0.23405627670724827
715093703,observed_rf,0.8,13,0.19163477818641894
715093703,observed_rf,1.15,13,0.08890731909599835
755434585,ccf_anatomy,0.2,13,0.3724488245852169
755434585,ccf_anatomy,0.35,13,0.3504046903702631
755434585,ccf_anatomy,0.55,13,0.38450311581302765
755434585,ccf_anatomy,0.8,13,0.3588887242648452
755434585,ccf_anatomy,1.15,13,0.3715802351051266
755434585,registered_map,0.2,13,0.3395976087047306
755434585,registered_map,0.35,13,0.3646400758031138
755434585,registered_map,0.55,13,0.3563413577381725
755434585,registered_map,0.8,13,0.36689595702223504
755434585,registered_map,1.15,13,0.3766247547397572
755434585,observed_rf,0.2,13,0.13221024258760106
755434585,observed_rf,0.35,13,0.15179348952933858
755434585,observed_rf,0.55,13,0.2003755731148181
755434585,observed_rf,0.8,13,0.15419863155712213
755434585,observed_rf,1.15,13,0.09936061843008347
756029989,ccf_anatomy,0.2,13,0.3405731625457272
756029989,ccf_anatomy,0.35,13,0.4029403196006411
756029989,ccf_anatomy,0.55,13,0.3893030915354294
756029989,ccf_anatomy,0.8,13,0.37106608421906584
756029989,ccf_anatomy,1.15,13,0.37143480830565523
756029989,registered_map,0.2,13,0.35474285542895223
756029989,registered_map,0.35,13,0.4036153984303343
756029989,registered_map,0.55,13,0.3868456483541556
756029989,registered_map,0.8,13,0.3727420504525907
756029989,registered_map,1.15,13,0.37609795566561904
756029989,observed_rf,0.2,13,0.154001404001404
756029989,observed_rf,0.35,13,0.19238329238329238
756029989,observed_rf,0.55,13,0.21710564822944106
756029989,observed_rf,0.8,13,0.1709108838432389
756029989,observed_rf,1.15,13,0.11800746423387933
757216464,ccf_anatomy,0.2,13,0.42528441006789464
757216464,ccf_anatomy,0.35,13,0.4028056897297393
757216464,ccf_anatomy,0.55,13,0.3797221381849215
757216464,ccf_anatomy,0.8,13,0.3754308152819547
757216464,ccf_anatomy,1.15,13,0.3815840828381993
757216464,registered_map,0.2,13,0.39950434253268824
757216464,registered_map,0.35,13,0.40332078559862977
757216464,registered_map,0.55,13,0.3798001824922012
757216464,registered_map,0.8,13,0.3736102933710777
757216464,registered_map,1.15,13,0.3818166728784883
757216464,observed_rf,0.2,13,0.14428778768401412
757216464,observed_rf,0.35,13,0.20211686664715642
757216464,observed_rf,0.55,13,0.18863636363636363
757216464,observed_rf,0.8,13,0.14407494464738682
757216464,observed_rf,1.15,13,0.07707979626485569
768515987,ccf_anatomy,0.2,13,0.4239838461227328
768515987,ccf_anatomy,0.35,13,0.3954451216393645
768515987,ccf_anatomy,0.55,13,0.3850340288491481
768515987,ccf_anatomy,0.8,13,0.3727420504525907
768515987,ccf_anatomy,1.15,13,0.3817877714574847
768515987,registered_map,0.2,13,0.39941908138542065
768515987,registered_map,0.35,13,0.3919019278897643
768515987,registered_map,0.55,13,0.39406961573717497
768515987,registered_map,0.8,13,0.3727420504525907
768515987,registered_map,1.15,13,0.3818730960040239
768515987,observed_rf,0.2,13,0.12750951126719345
768515987,observed_rf,0.35,13,0.1917865917865918
